	0.0000-0.0000	0.0000-0.0020	0.0020-0.0084	0.0084-0.0085	0.0250-0.0330	0.0330-0.0331	0.0331-0.0333	0.0334-0.0336	0.0336-0.0339	0.0339-0.0462	0.0462-0.0463	0.0463-0.0484	0.0486-0.0486	0.0486-0.0487	0.0487-0.0488	0.0489-0.0493	0.0493-0.0494	0.0494-0.0496	0.0496-0.0496	0.0496-0.0748	0.0748-0.0751	0.0751-0.0752	0.1457-0.1475	0.1475-0.1476	0.1476-0.1477	0.1477-0.1479	0.1479-0.1540	0.1540-0.1540	0.1540-0.1687	0.1687-0.1691	0.1693-0.1693	0.1693-0.1794	0.1935-0.2068	0.2068-0.2074	0.2074-0.2835	0.3107-0.3217	0.3217-0.3448	0.3923-0.4390	0.4390-0.4390	0.4390-0.4965	0.4965-0.5260	0.5260-0.5585	0.5585-0.5585	0.5585-0.5665	0.5665-0.5665	0.5665-1.0530	1.0530-1.1083	1.1083-5.2447	5.2447-6.1540	6.1540-7.8481	7.8481-8.7234	8.7234-15.9502	15.9502-20.0000	Source	Target
Blautia_coccoides_YL58##Flavonifractor_plautii_YL31##Riboflavin	-126.68907411730473	-126.68907411730467	-126.68907411797943	-126.6890741180222	-126.68907411847147	-126.68907411756904	-126.68907411752555	-126.68907411701237	-126.68907411745369	-126.68907411749801	-126.68907411734318	-126.68907411734297	-126.68907411831603	-126.68907411837549	-126.68907411843091	-126.68907411824377	-126.68907411792789	-126.68907411800306	-126.6890741182139	-126.68907411806093	-126.68907411766912	-126.6890741179595	-126.68907411937082	-126.68907412128763	-126.68907411904051	-126.68907412124558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-126.68907411768623	-126.6890741176867	Blautia_coccoides_YL58	Flavonifractor_plautii_YL31
Flavonifractor_plautii_YL31##Blautia_coccoides_YL58##PAN	-96.79614652125876	-96.79614652328908	-96.79614652168712	-96.79614652150663	-96.79614652194249	-96.7961465211271	-96.79614652105606	-96.79614652025104	-96.79614652090062	-96.79614652100118	-96.7961465201555	-96.79614651899122	-96.79614652079626	-96.79614652087243	-96.79614652090218	-96.796146519567	-96.79614651968016	-96.79614651999505	-96.79614651960884	-96.79614651990214	-96.79614651935339	-96.79614651981122	-96.79614652225013	-96.79614652503113	-96.7961465212471	-96.7961465249402	-0.6207508444089141	-193.5922930389342	-193.59229303754157	-193.59229303901293	-96.79614652105549	-96.79614651862815	-96.79614652241015	-96.79614652236158	-96.79614652150217	-96.79614652233359	-96.79614652239638	-96.79614652046112	-96.79614651954283	-96.79614651898366	-96.7961465294229	-96.79614652099063	-96.79614652028899	-96.79614652021205	-96.79614652090842	-96.79614652338016	-96.79614652329991	-3.572988343821658	-3.572988343824831	-3.572988343690326	-3.5729883436941186	-96.79614651960445	-96.79614651959626	Flavonifractor_plautii_YL31	Blautia_coccoides_YL58
Blautia_coccoides_YL58##Flavonifractor_plautii_YL31##Inosine-e0.Succinate-e0.L-Threonine-e0.L-Arginine-e0.Spermidine-e0.O2-e0.Puryvate.5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.08927618249454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Blautia_coccoides_YL58	Flavonifractor_plautii_YL31
Blautia_coccoides_YL58##Flavonifractor_plautii_YL31##Spermidine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-126.68907411686365	-126.68907411681103	-126.68907411742299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Blautia_coccoides_YL58	Flavonifractor_plautii_YL31
Blautia_coccoides_YL58##Flavonifractor_plautii_YL31##5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3382056075703	2.3382056075707616	2.3382056075852753	2.338205607584866	0.0	0.0	Blautia_coccoides_YL58	Flavonifractor_plautii_YL31
