	Avg_bc1009	Var_bc1009	Avg_bc1015	Var_bc1015	Avg_bc1001	Var_bc1001	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	0.0	0.0	0.9999937753495866	3.8746031587591275e-11	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Cl-	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Co2+	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
CoA	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Cu2+	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
D-Glucose	0.13216246164056591	0.017515842938153555	0.14633937840451847	0.01937300717576068	0.14578238415413897	0.019228748676087818	2.9999813260487596	3.4871428429246785e-10	1.5750215182884613	2.2442801925874103	4.575002844337222	2.244280193302282	bc1001.bc1009.bc1015	1	.bc1015.bc1001.bc1009.bc1015	3	bc1001.bc1009.bc1015.bc1015bc1001.bc1009.bc1015.bc1001.bc1009.bc1015bc1001.bc1009.bc1015	3
Deoxycytidine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Deoxyguanosine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Formate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
GTP	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Glycerol	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
H+	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
H2O	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
Heme	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
K+	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Aspartate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Cysteine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Glutamate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Inositol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	0.0	0.0	2.9999813260487596	3.4871428429246785e-10	bc1001.bc1009.bc1015	1		1	bc1001.bc1009.bc1015	1
L-Lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
