	Source	Target	SourceType	Weight	Variance	Cofactor	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Muribaculum_intestinale_YL27	Metabolite	0.7250412809609256	91.32909663861341	None	0.7250412809609256	1.0	0.8514935589662	0.8514935589662
1	Muribaculum_intestinale_YL27	Phosphate-e0	Microbe	-0.7294404396570725	92.44073004627306	PAN	0.7294404396570725	-1.0	0.8540728538345382	-0.8540728538345382
2	Muribaculum_intestinale_YL27	Mn2+-e0	Microbe	-0.005288686625894474	0.004859363215987699	PAN	0.005288686625894474	-1.0	0.07272335681123689	-0.07272335681123689
3	Muribaculum_intestinale_YL27	Zn2+-e0	Microbe	-0.005288686625888409	0.004859363215976552	PAN	0.005288686625888409	-1.0	0.07272335681119518	-0.07272335681119518
4	Muribaculum_intestinale_YL27	Co2+-e0	Microbe	-0.005288686625886918	0.004859363215973814	PAN	0.005288686625886918	-1.0	0.07272335681118493	-0.07272335681118493
5	Muribaculum_intestinale_YL27	fe3-e0	Microbe	-0.005288686625820233	0.00485936321585127	PAN	0.005288686625820233	-1.0	0.07272335681072645	-0.07272335681072645
6	Muribaculum_intestinale_YL27	H+-e0	Microbe	0.005550771790336277	0.024578275997114183	Neu5Ac-e0	0.005550771790336277	1.0	0.07450350186626314	0.07450350186626314
7	Muribaculum_intestinale_YL27	H+-e0	Microbe	-0.0075851800301876965	0.021763740714276815	O2-e0	0.0075851800301876965	-1.0	0.08709293903748855	-0.08709293903748855
8	Muribaculum_intestinale_YL27	H+-e0	Microbe	4.005672146468131	0.04118617291459407	Sucrose	4.005672146468131	1.0	2.0014175342661837	2.0014175342661837
9	Muribaculum_intestinale_YL27	H+-e0	Microbe	-2.1878126239216016	2.646103036691727	Folate	2.1878126239216016	-1.0	1.4791256281741594	-1.4791256281741594
10	Muribaculum_intestinale_YL27	H+-e0	Microbe	-614.6408973471724	54359.30483280798	Riboflavin	614.6408973471724	-1.0	24.791952269782474	-24.791952269782474
11	Muribaculum_intestinale_YL27	H+-e0	Microbe	-8.036866355644772	23979.92145007528	PAN	8.036866355644772	-1.0	2.834936746321648	-2.834936746321648
12	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	0.004541329289501434	0.013599354169764445	Neu5Ac-e0	0.004541329289501434	1.0	0.06738938558483401	0.06738938558483401
13	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	-0.004247161342168925	0.004421900946019932	O2-e0	0.004247161342168925	-1.0	0.06517024890369014	-0.06517024890369014
14	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	0.012099061941647043	0.028297088555282044	Sucrose	0.012099061941647043	1.0	0.10999573601575219	0.10999573601575219
15	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	0.022855150435467934	0.09431102175115227	Folate	0.022855150435467934	1.0	0.15117919974476626	0.15117919974476626
16	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	0.014848797318978769	0.04354383872296585	Riboflavin	0.014848797318978769	1.0	0.12185564130962	0.12185564130962
17	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	-8.745591166979045	13429.652850556111	PAN	8.745591166979045	-1.0	2.95729456885496	-2.95729456885496
18	Muribaculum_intestinale_YL27	L-Cysteine-e0	Microbe	-0.07447626481943136	0.9636503165829501	PAN	0.07447626481943136	-1.0	0.27290339832884336	-0.27290339832884336
19	Muribaculum_intestinale_YL27	L-Histidine-e0	Microbe	-0.06520372696530538	0.7386327057444324	PAN	0.06520372696530538	-1.0	0.25535020455309093	-0.25535020455309093
20	Muribaculum_intestinale_YL27	L-Arginine-e0	Microbe	-0.20930352301219624	7.610913224008726	PAN	0.20930352301219624	-1.0	0.4574970196757529	-0.4574970196757529
21	Muribaculum_intestinale_YL27	L-Lysine-e0	Microbe	-0.2361823887857949	9.691225856287845	PAN	0.2361823887857949	-1.0	0.48598599649145746	-0.48598599649145746
22	Muribaculum_intestinale_YL27	Inosine-e0	Microbe	0.9996835573346228	4.0378810459957214e-05	Folate	0.9996835573346228	1.0	0.9998417661483355	0.9998417661483355
23	Muribaculum_intestinale_YL27	Inosine-e0	Microbe	-58.63384552746727	26.69740058544965	Riboflavin	58.63384552746727	-1.0	7.6572740271892625	-7.6572740271892625
24	Muribaculum_intestinale_YL27	Inosine-e0	Microbe	-0.3438650904296475	20.54281094610529	PAN	0.3438650904296475	-1.0	0.5864001112121718	-0.5864001112121718
25	Muribaculum_intestinale_YL27	NH3-e0	Microbe	-0.0030308623878165237	0.0060525381755623005	Neu5Ac-e0	0.0030308623878165237	-1.0	0.05505326863880585	-0.05505326863880585
26	Muribaculum_intestinale_YL27	NH3-e0	Microbe	-0.013102661300664462	0.02824865935335658	Sucrose	0.013102661300664462	-1.0	0.11446685677812797	-0.11446685677812797
27	Muribaculum_intestinale_YL27	NH3-e0	Microbe	0.7055972600772719	0.7572892638864783	Folate	0.7055972600772719	1.0	0.839998369092031	0.839998369092031
28	Muribaculum_intestinale_YL27	NH3-e0	Microbe	-324.72052340449466	13659.199384114334	Riboflavin	324.72052340449466	-1.0	18.02000342409775	-18.02000342409775
29	Muribaculum_intestinale_YL27	NH3-e0	Microbe	6.73804904141032	8035.58001239515	PAN	6.73804904141032	1.0	2.595775229369893	2.595775229369893
30	Muribaculum_intestinale_YL27	Neu5Ac-e0	Microbe	-0.001515431193899994	0.001513134543874064	Neu5Ac-e0	0.001515431193899994	-1.0	0.038928539580878115	-0.038928539580878115
