	0.2601	0.2687	0.2722	0.2733	0.3685	1.2105	Source	Target
Fumarate##bc1012##Metabolite##None	-0.8169116955427158	3.0905278336490483e-12	1.249522707524875e-11	0.7829132233056058	0.0	0.0	Fumarate	bc1012
O2##bc1012##Metabolite##None	-1.7188195716391668	6.353140236114996e-12	2.542166477326191e-11	1.5875578962245152	-0.021731449614055286	0.0	O2	bc1012
bc1012##L-Proline##Microbe##Fumarate_e0	0.15060148224411773	-6.126765761393926e-13	-2.3148705174946826e-12	-0.14433370527271952	0.0	0.0	bc1012	L-Proline
bc1012##L-Proline##Microbe##O2_e0	0.31687240690939844	-1.2596035325884714e-12	-4.709066470098833e-12	-0.29267370466625175	0.004006294120953172	0.0	bc1012	L-Proline
bc1012##ddca##Microbe##Fumarate_e0	0.020431449782540714	-3.930883396563445e-14	-4.1272193995745e-13	-0.019581127670569853	0.0	0.0	bc1012	ddca
bc1012##ddca##Microbe##O2_e0	0.04298870484387323	-8.079648061709577e-14	-8.397796347203723e-13	-0.039705771885090724	0.0005435165439711905	0.0	bc1012	ddca
bc1012##Fumarate##Microbe##Fumarate_e0	2.6978419498391304e-14	-3.907985046680551e-14	-1.1235457009206584e-13	1.0000000000001232	0.0	0.0	bc1012	Fumarate
bc1012##Mg##Microbe##Fumarate_e0	0.002292384237019893	-4.814725007573628e-15	-5.0015980940232296e-14	-0.002196979112728535	0.0	0.0	bc1012	Mg
bc1012##Mg##Microbe##O2_e0	0.00482328128462986	-9.484600604903193e-15	-1.0170076586435428e-13	-0.004454940131840118	6.098190638586394e-05	0.0	bc1012	Mg
bc1012##L-Glutamate##Microbe##Fumarate_e0	0.20857666128176114	-1.0997036614668332e-12	-2.81830114801096e-12	-0.1998960561851065	0.0	0.0	bc1012	L-Glutamate
bc1012##L-Glutamate##Microbe##O2_e0	0.43885483529535063	-2.2604140781368187e-12	-5.733302721466771e-12	-0.405340659697775	0.005548547327750744	0.0	bc1012	L-Glutamate
bc1012##CoA##Microbe##Fumarate_e0	0.004584768474054862	-1.581616781987094e-13	5.745404152435185e-15	-0.004393958225430389	0.0	0.0	bc1012	CoA
bc1012##CoA##Microbe##O2_e0	0.009646562569292628	-3.2510799607976537e-13	1.169724039851161e-14	-0.008909880263626302	0.00012196381277116551	0.0	bc1012	CoA
bc1012##O2##Microbe##O2_e0	-5.651035195342047e-14	8.126832540256146e-14	1.504352198367087e-13	-1.8463008899516353e-13	1.0000000000000004	0.0	bc1012	O2
bc1012##Spermidine##Microbe##Fumarate_e0	0.0022923842370253765	-7.095192489092739e-14	-1.0029433880620608e-13	-0.0021969791126178486	0.0	0.0	bc1012	Spermidine
bc1012##Spermidine##Microbe##O2_e0	0.004823281284641992	-1.4576534423937915e-13	-2.0421771912415565e-13	-0.004454940131615668	6.098190638547974e-05	0.0	bc1012	Spermidine
bc1012##L-Leucine##Microbe##Fumarate_e0	0.30665953993182715	-1.165012530890408e-12	-4.778955009498986e-12	-0.2938968926205201	0.0	0.0	bc1012	L-Leucine
bc1012##L-Leucine##Microbe##O2_e0	0.6452256981270335	-2.394640041814e-12	-9.722445071247421e-12	-0.5959515290667526	0.008157743825997469	0.0	bc1012	L-Leucine
bc1012##TRHL##Microbe##Fumarate_e0	0.04838705324848332	-2.2473689575974731e-13	-1.4925005675792136e-12	-0.0463732665734637	0.0	0.0	bc1012	TRHL
bc1012##TRHL##Microbe##O2_e0	0.10180857318022178	-4.620054339099511e-13	-3.0365016057132266e-12	-0.09403372344586075	0.001287190298999721	0.0	bc1012	TRHL
bc1012##dATP##Microbe##Fumarate_e0	0.009737887280051373	-6.788319906192442e-14	1.2944506577738935e-14	-0.009332613011070873	0.0	0.0	bc1012	dATP
