	Source	Target	Metabolites	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
10	bc1008	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl.4-Hydroxybenzoate.5-Aminolevulinate.AMP.BET.BIOT.CMP.Ca2+.Chorismate.Cl-.Co2+.CoA.Cu2+.D-Arabinose.D-Glucose.Deoxycytidine.Folate.Formate.GTP.Glycerol.Glycine.Heme.K+.L-Alanine.L-Arginine.L-Asparagine.L-Aspartate.L-Cysteine.L-Glutamate.L-Glutamine.L-Histidine.L-Isoleucine.L-Leucine.L-Lysine.L-Methionine.L-Phenylalanine.L-Proline.L-Serine.L-Threonine.L-Tryptophan.L-Tyrosine.L-Valine.Mg.Mn2+.Myristic acid.NADP.O2.Oxidized glutathione.Putrescine.Pyridoxal.Riboflavin.S-Adenosyl-L-methionine.Spermidine.Sulfate.TRHL.TTP.Thiamin.Zn2+.dATP.dGTP.ddca.fe3.meso-2,6-Diaminopimelate	-592.8805408970411	967877.832820426	592.8805408970411	-1.0	24.349138401533658	-24.349138401533658
11	bc1016	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl.4-Hydroxybenzoate.5-Aminolevulinate.AMP.BET.BIOT.CMP.Ca2+.Chorismate.Cl-.Co2+.CoA.Cu2+.D-Arabinose.D-Glucose.Deoxycytidine.Folate.Formate.GTP.Glycerol.Glycine.Heme.K+.L-Alanine.L-Arginine.L-Asparagine.L-Aspartate.L-Cysteine.L-Glutamate.L-Glutamine.L-Histidine.L-Isoleucine.L-Leucine.L-Lysine.L-Methionine.L-Phenylalanine.L-Proline.L-Serine.L-Threonine.L-Tryptophan.L-Tyrosine.L-Valine.Mg.Mn2+.Myristic acid.NADP.O2.Oxidized glutathione.Putrescine.Pyridoxal.Riboflavin.S-Adenosyl-L-methionine.Spermidine.Sulfate.TRHL.TTP.Thiamin.Zn2+.dATP.dGTP.ddca.fe3.meso-2,6-Diaminopimelate	-594.4710921997112	973077.950674445	594.4710921997112	-1.0	24.38177787200333	-24.38177787200333
12	bc1003	bc1002	Acetate.CO2.H+.H2O	-2.947359999999999e-15	2.4148146597519353e-29	2.947359999999999e-15	-1.0	5.428959384633485e-08	-5.428959384633485e-08
13	bc1008	bc1002	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
14	bc1016	bc1002	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
15	bc1002	bc1016	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
16	bc1003	bc1016	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
17	bc1008	bc1016	Acetate.H+.H2O.L-Lactate	-1.3519999999999993e-15	5.081252966399997e-30	1.3519999999999993e-15	-1.0	3.676955262170046e-08	-3.676955262170046e-08
18	bc1002	bc1008	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
19	bc1003	bc1008	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
20	bc1016	bc1008	Acetate.H+.H2O.L-Lactate	-1.3519999999999993e-15	5.081252966399997e-30	1.3519999999999993e-15	-1.0	3.676955262170046e-08	-3.676955262170046e-08
21	bc1002	bc1003	Acetate.CO2.H+.H2O	-2.947359999999999e-15	2.4148146597519353e-29	2.947359999999999e-15	-1.0	5.428959384633485e-08	-5.428959384633485e-08
22	bc1008	bc1003	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
23	bc1016	bc1003	Acetate.H+.H2O	-1.0275199999999998e-15	2.9349317133926393e-30	1.0275199999999998e-15	-1.0	3.2054952815438674e-08	-3.2054952815438674e-08
