	Name	Type	In	Out	All	IntrinsicGrowth
bc1011	bc1011	Microbe	O2_e0	1,2-Diacyl-sn-glycerol dioctadecanoyl_e0.4-Hydroxybenzoate_e0.5-Aminolevulinate_e0.AMP_e0.Acetate_e0.Adenosine_e0.BET_e0.BIOT_e0.CMP_e0.CO2_e0.Ca2+_e0.Chorismate_e0.Cl-_e0.Co2+_e0.CoA_e0.Cu2+_e0.D-Alanine_e0.D-Arabinose_e0.D-Glucose_e0.Deoxycytidine_e0.Deoxyguanosine_e0.Folate_e0.Formate_e0.GTP_e0.Glycerol_e0.Glycine_e0.H+_e0.H2O_e0.Heme_e0.K+_e0.L-Alanine_e0.L-Arginine_e0.L-Asparagine_e0.L-Aspartate_e0.L-Cysteine_e0.L-Glutamate_e0.L-Glutamine_e0.L-Histidine_e0.L-Isoleucine_e0.L-Leucine_e0.L-Lysine_e0.L-Methionine_e0.L-Phenylalanine_e0.L-Proline_e0.L-Serine_e0.L-Threonine_e0.L-Tryptophan_e0.L-Tyrosine_e0.L-Valine_e0.Mg_e0.Mn2+_e0.Myristic acid_e0.NADP_e0.Niacin_e0.Nicotinamide ribonucleotide_e0.Nitrite_e0.O2_e0.Oxidized glutathione_e0.Putrescine_e0.Pyridoxal_e0.Riboflavin_e0.S-Adenosyl-L-methionine_e0.Spermidine_e0.Sulfate_e0.TRHL_e0.TTP_e0.Thiamin_e0.UMP_e0.Zn2+_e0.dATP_e0.dGTP_e0.ddca_e0.fe3_e0.meso-2,6-Diaminopimelate_e0	1,2-Diacyl-sn-glycerol dioctadecanoyl_e0.4-Hydroxybenzoate_e0.5-Aminolevulinate_e0.AMP_e0.Acetate_e0.Adenosine_e0.BET_e0.BIOT_e0.CMP_e0.CO2_e0.Ca2+_e0.Chorismate_e0.Cl-_e0.Co2+_e0.CoA_e0.Cu2+_e0.D-Alanine_e0.D-Arabinose_e0.D-Glucose_e0.Deoxycytidine_e0.Deoxyguanosine_e0.Folate_e0.Formate_e0.GTP_e0.Glycerol_e0.Glycine_e0.H+_e0.H2O_e0.Heme_e0.K+_e0.L-Alanine_e0.L-Arginine_e0.L-Asparagine_e0.L-Aspartate_e0.L-Cysteine_e0.L-Glutamate_e0.L-Glutamine_e0.L-Histidine_e0.L-Isoleucine_e0.L-Leucine_e0.L-Lysine_e0.L-Methionine_e0.L-Phenylalanine_e0.L-Proline_e0.L-Serine_e0.L-Threonine_e0.L-Tryptophan_e0.L-Tyrosine_e0.L-Valine_e0.Mg_e0.Mn2+_e0.Myristic acid_e0.NADP_e0.Niacin_e0.Nicotinamide ribonucleotide_e0.Nitrite_e0.O2_e0.Oxidized glutathione_e0.Putrescine_e0.Pyridoxal_e0.Riboflavin_e0.S-Adenosyl-L-methionine_e0.Spermidine_e0.Sulfate_e0.TRHL_e0.TTP_e0.Thiamin_e0.UMP_e0.Zn2+_e0.dATP_e0.dGTP_e0.ddca_e0.fe3_e0.meso-2,6-Diaminopimelate_e0O2_e0	0.0
bc1015	bc1015	Microbe	O2_e0	1,2-Diacyl-sn-glycerol dioctadecanoyl_e0.4-Hydroxybenzoate_e0.5-Aminolevulinate_e0.AMP_e0.Acetate_e0.Ala-Ala_e0.Arsenate_e0.Arsenite_e0.BET_e0.BIOT_e0.CMP_e0.CO2_e0.Ca2+_e0.Chorismate_e0.Cl-_e0.Co2+_e0.CoA_e0.Cu2+_e0.D-Arabinose_e0.D-Glucose_e0.Deoxycytidine_e0.Deoxyguanosine_e0.Folate_e0.Formate_e0.GTP_e0.Glycerol_e0.Glycine_e0.H+_e0.H2O_e0.Heme_e0.K+_e0.L-Alanine_e0.L-Arginine_e0.L-Asparagine_e0.L-Aspartate_e0.L-Cysteine_e0.L-Glutamate_e0.L-Glutamine_e0.L-Histidine_e0.L-Isoleucine_e0.L-Leucine_e0.L-Lysine_e0.L-Methionine_e0.L-Phenylalanine_e0.L-Proline_e0.L-Serine_e0.L-Threonine_e0.L-Tryptophan_e0.L-Tyrosine_e0.L-Valine_e0.Mg_e0.Mn2+_e0.Myristic acid_e0.N-Acetyl-D-glucosamine_e0.NADP_e0.NH3_e0.Niacin_e0.Nicotinamide ribonucleotide_e0.O2_e0.Oxidized glutathione_e0.PPi_e0.Putrescine_e0.Pyridoxal_e0.Riboflavin_e0.S-Adenosyl-L-methionine_e0.Spermidine_e0.Sulfate_e0.TRHL_e0.TTP_e0.Thiamin_e0.UMP_e0.Zn2+_e0.dATP_e0.dGTP_e0.ddca_e0.fe3_e0.meso-2,6-Diaminopimelate_e0	1,2-Diacyl-sn-glycerol dioctadecanoyl_e0.4-Hydroxybenzoate_e0.5-Aminolevulinate_e0.AMP_e0.Acetate_e0.Ala-Ala_e0.Arsenate_e0.Arsenite_e0.BET_e0.BIOT_e0.CMP_e0.CO2_e0.Ca2+_e0.Chorismate_e0.Cl-_e0.Co2+_e0.CoA_e0.Cu2+_e0.D-Arabinose_e0.D-Glucose_e0.Deoxycytidine_e0.Deoxyguanosine_e0.Folate_e0.Formate_e0.GTP_e0.Glycerol_e0.Glycine_e0.H+_e0.H2O_e0.Heme_e0.K+_e0.L-Alanine_e0.L-Arginine_e0.L-Asparagine_e0.L-Aspartate_e0.L-Cysteine_e0.L-Glutamate_e0.L-Glutamine_e0.L-Histidine_e0.L-Isoleucine_e0.L-Leucine_e0.L-Lysine_e0.L-Methionine_e0.L-Phenylalanine_e0.L-Proline_e0.L-Serine_e0.L-Threonine_e0.L-Tryptophan_e0.L-Tyrosine_e0.L-Valine_e0.Mg_e0.Mn2+_e0.Myristic acid_e0.N-Acetyl-D-glucosamine_e0.NADP_e0.NH3_e0.Niacin_e0.Nicotinamide ribonucleotide_e0.O2_e0.Oxidized glutathione_e0.PPi_e0.Putrescine_e0.Pyridoxal_e0.Riboflavin_e0.S-Adenosyl-L-methionine_e0.Spermidine_e0.Sulfate_e0.TRHL_e0.TTP_e0.Thiamin_e0.UMP_e0.Zn2+_e0.dATP_e0.dGTP_e0.ddca_e0.fe3_e0.meso-2,6-Diaminopimelate_e0O2_e0	0.0
1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
4-Hydroxybenzoate_e0	4-Hydroxybenzoate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
5-Aminolevulinate_e0	5-Aminolevulinate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
AMP_e0	AMP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Acetate_e0	Acetate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Adenine_e0	Adenine_e0	Metabolite				0.0
Adenosine_e0	Adenosine_e0	Metabolite	bc1011		bc1011	0.0
Ala-Ala_e0	Ala-Ala_e0	Metabolite	bc1015		bc1015	0.0
