	0.0000-0.5208	0.5214-1.2579	1.2579-2.0000	Source	Target
D-Glucose##bc1016##Metabolite##None	0.05745328770557882	0.05745328770557882	0.05745328770557882	D-Glucose	bc1016
bc1016##L-Alanine##Microbe##D-Glucose_e0	-0.026023178129174693	-0.026023178129174693	-0.026023178129174693	bc1016	L-Alanine
bc1016##L-Glutamate##Microbe##D-Glucose_e0	-0.014024275753891109	-0.014024275753891109	-0.014024275753891109	bc1016	L-Glutamate
bc1016##Riboflavin##Microbe##D-Glucose_e0	-0.0004836692086271653	-0.0004836692086271653	-0.0004836692086271653	bc1016	Riboflavin
bc1016##Zn2+##Microbe##D-Glucose_e0	-0.00016122306954357782	-0.00016122306954357782	-0.00016122306954357782	bc1016	Zn2+
bc1016##L-Histidine##Microbe##D-Glucose_e0	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	bc1016	L-Histidine
bc1016##Co2+##Microbe##D-Glucose_e0	-0.00016122306954343272	-0.00016122306954343272	-0.00016122306954343272	bc1016	Co2+
bc1016##D-Glucose##Microbe##D-Glucose_e0	-1.000000000000001	-1.000000000000001	-1.000000000000001	bc1016	D-Glucose
bc1016##K+##Microbe##D-Glucose_e0	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	bc1016	K+
bc1016##L-Proline##Microbe##D-Glucose_e0	-0.01059178162764525	-0.01059178162764525	-0.01059178162764525	bc1016	L-Proline
bc1016##L-Glutamine##Microbe##D-Glucose_e0	-0.012587334687932916	-0.012587334687932916	-0.012587334687932916	bc1016	L-Glutamine
bc1016##Pyridoxal##Microbe##D-Glucose_e0	-0.00016122306954381856	-0.00016122306954381856	-0.00016122306954381856	bc1016	Pyridoxal
bc1016##TRHL##Microbe##D-Glucose_e0	-0.0034030548303741236	-0.0034030548303741236	-0.0034030548303741236	bc1016	TRHL
bc1016##AMP##Microbe##D-Glucose_e0	-0.006088123683416382	-0.006088123683416382	-0.006088123683416382	bc1016	AMP
bc1016##Deoxycytidine##Microbe##D-Glucose_e0	-0.0006896832404021166	-0.0006896832404021166	-0.0006896832404021166	bc1016	Deoxycytidine
bc1016##L-Cysteine##Microbe##D-Glucose_e0	-0.004374866324462453	-0.004374866324462453	-0.004374866324462453	bc1016	L-Cysteine
bc1016##Mn2+##Microbe##D-Glucose_e0	-0.00016122306954408536	-0.00016122306954408536	-0.00016122306954408536	bc1016	Mn2+
bc1016##D-Alanine##Microbe##D-Glucose_e0	-0.002873882131944701	-0.002873882131944701	-0.002873882131944701	bc1016	D-Alanine
bc1016##Chorismate##Microbe##D-Glucose_e0	-0.0003224461390862265	-0.0003224461390862265	-0.0003224461390862265	bc1016	Chorismate
bc1016##Glycerol##Microbe##D-Glucose_e0	-0.00357880492740255	-0.00357880492740255	-0.00357880492740255	bc1016	Glycerol
bc1016##4-Hydroxybenzoate##Microbe##D-Glucose_e0	-0.00016122306953369583	-0.00016122306953369583	-0.00016122306953369583	bc1016	4-Hydroxybenzoate
bc1016##L-Leucine##Microbe##D-Glucose_e0	-0.021567323459189224	-0.021567323459189224	-0.021567323459189224	bc1016	L-Leucine
bc1016##L-Aspartate##Microbe##D-Glucose_e0	-0.011538390130598736	-0.011538390130598736	-0.011538390130598736	bc1016	L-Aspartate
bc1016##L-Arginine##Microbe##D-Glucose_e0	-0.014173543530711782	-0.014173543530711782	-0.014173543530711782	bc1016	L-Arginine
bc1016##CMP##Microbe##D-Glucose_e0	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	bc1016	CMP
bc1016##Sulfate##Microbe##D-Glucose_e0	-0.00016122306954377354	-0.00016122306954377354	-0.00016122306954377354	bc1016	Sulfate
bc1016##Acetate##Microbe##D-Glucose_e0	1.4964829358497282	1.4964829358497282	1.4964829358497282	bc1016	Acetate
bc1016##Putrescine##Microbe##D-Glucose_e0	-0.00016122306954374587	-0.00016122306954374587	-0.00016122306954374587	bc1016	Putrescine
bc1016##L-Phenylalanine##Microbe##D-Glucose_e0	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	bc1016	L-Phenylalanine
bc1016##Oxidized glutathione##Microbe##D-Glucose_e0	-8.061153477201887e-05	-8.061153477201887e-05	-8.061153477201887e-05	bc1016	Oxidized glutathione
bc1016##2-Oxoglutarate##Microbe##D-Glucose_e0	-0.00032244613908655705	-0.00032244613908655705	-0.00032244613908655705	bc1016	2-Oxoglutarate
bc1016##Uridine##Microbe##D-Glucose_e0	-0.0053798146350004464	-0.0053798146350004464	-0.0053798146350004464	bc1016	Uridine
bc1016##Ca2+##Microbe##D-Glucose_e0	-0.0001612230695431647	-0.0001612230695431647	-0.0001612230695431647	bc1016	Ca2+
bc1016##L-Tyrosine##Microbe##D-Glucose_e0	-0.006933267683796765	-0.006933267683796765	-0.006933267683796765	bc1016	L-Tyrosine
bc1016##Spermidine##Microbe##D-Glucose_e0	-0.00016122306954302794	-0.00016122306954302794	-0.00016122306954302794	bc1016	Spermidine
bc1016##Pimelate##Microbe##D-Glucose_e0	-0.0004252393321438339	-0.0004252393321438339	-0.0004252393321438339	bc1016	Pimelate
bc1016##NH3##Microbe##D-Glucose_e0	0.0008061153477152456	0.0008061153477152456	0.0008061153477152456	bc1016	NH3
bc1016##Glucose-1-phosphate##Microbe##D-Glucose_e0	-0.0037816504994862025	-0.0037816504994862025	-0.0037816504994862025	bc1016	Glucose-1-phosphate
bc1016##Cl-##Microbe##D-Glucose_e0	-0.00016122306954406752	-0.00016122306954406752	-0.00016122306954406752	bc1016	Cl-
bc1016##BET##Microbe##D-Glucose_e0	-0.00032244613907769646	-0.00032244613907769646	-0.00032244613907769646	bc1016	BET
bc1016##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe##D-Glucose_e0	-0.007157609854813912	-0.007157609854813912	-0.007157609854813912	bc1016	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1016##fe3##Microbe##D-Glucose_e0	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	bc1016	fe3
bc1016##L-Valine##Microbe##D-Glucose_e0	-0.0202369547523353	-0.0202369547523353	-0.0202369547523353	bc1016	L-Valine
bc1016##H+##Microbe##D-Glucose_e0	2.4287077039340965	2.4287077039340965	2.4287077039340965	bc1016	H+
bc1016##Cytidine##Microbe##D-Glucose_e0	-0.0034771406771894027	-0.0034771406771894027	-0.0034771406771894027	bc1016	Cytidine
bc1016##L-Methionine##Microbe##D-Glucose_e0	-0.007342611901289777	-0.007342611901289777	-0.007342611901289777	bc1016	L-Methionine
bc1016##BIOT##Microbe##D-Glucose_e0	-0.0001612230695442464	-0.0001612230695442464	-0.0001612230695442464	bc1016	BIOT
bc1016##Glycine##Microbe##D-Glucose_e0	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	bc1016	Glycine
bc1016##L-Isoleucine##Microbe##D-Glucose_e0	-0.01389211938118603	-0.01389211938118603	-0.01389211938118603	bc1016	L-Isoleucine
bc1016##ddca##Microbe##D-Glucose_e0	-0.002712659062405162	-0.002712659062405162	-0.002712659062405162	bc1016	ddca
bc1016##Myristic acid##Microbe##D-Glucose_e0	-0.005908987333427748	-0.005908987333427748	-0.005908987333427748	bc1016	Myristic acid
bc1016##dGTP##Microbe##D-Glucose_e0	-0.0006896832404011108	-0.0006896832404011108	-0.0006896832404011108	bc1016	dGTP
bc1016##NADP##Microbe##D-Glucose_e0	-0.0004836692086210254	-0.0004836692086210254	-0.0004836692086210254	bc1016	NADP
bc1016##D-Arabinose##Microbe##D-Glucose_e0	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	bc1016	D-Arabinose
bc1016##5-Aminolevulinate##Microbe##D-Glucose_e0	-0.0012897845563457336	-0.0012897845563457336	-0.0012897845563457336	bc1016	5-Aminolevulinate
bc1016##TTP##Microbe##D-Glucose_e0	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	bc1016	TTP
bc1016##GTP##Microbe##D-Glucose_e0	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	bc1016	GTP
bc1016##hexadecenoate##Microbe##D-Glucose_e0	-0.0064803013567696684	-0.0064803013567696684	-0.0064803013567696684	bc1016	hexadecenoate
bc1016##Formate##Microbe##D-Glucose_e0	-0.00016122306954430076	-0.00016122306954430076	-0.00016122306954430076	bc1016	Formate
bc1016##CoA##Microbe##D-Glucose_e0	-0.0003224461390883423	-0.0003224461390883423	-0.0003224461390883423	bc1016	CoA
bc1016##Cu2+##Microbe##D-Glucose_e0	-0.00016122306954341776	-0.00016122306954341776	-0.00016122306954341776	bc1016	Cu2+
