	0.0000-0.0000	0.0000-0.0805	0.0805-0.0872	0.0872-0.0992	0.0992-0.1103	0.1103-0.2235	0.2235-0.2314	0.2315-0.2318	0.2318-0.2327	0.2327-0.2327	0.2330-0.3291	0.3291-0.3615	0.3663-0.3705	0.3705-0.4851	0.4866-0.4866	0.4866-6.1042	6.1042-6.1784	6.1784-6.8178	6.8178-6.9191	7.0891-7.2286	7.2291-19.1458	19.1458-19.3982	19.3982-20.0000	Source	Target
PAN##Phosphate-e0##Muribaculum_intestinale_YL27	-127.45775496005653	-127.45775496012782	-127.45775495876536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
PAN##Mn2+-e0##Muribaculum_intestinale_YL27	-0.9241112603260884	-0.92411126032656	-0.9241112603156837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Muribaculum_intestinale_YL27	-0.9241112603244502	-0.9241112603252393	-0.9241112603138362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Zn2+-e0
PAN##Co2+-e0##Muribaculum_intestinale_YL27	-0.9241112603252524	-0.9241112603257592	-0.9241112603128387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Co2+-e0
PAN##fe3-e0##Muribaculum_intestinale_YL27	-0.9241112603212659	-0.924111260317251	-0.9241112602958075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	fe3-e0
Neu5Ac-e0##H+-e0##Muribaculum_intestinale_YL27	0.2886597938071402	-3.0000000000297677	0.0	0.0	0.0	1.9999999999938576	3.6666666666579593	6.999999999991699	23.59799095992106	-0.4999999999995279	4.499999999998967	2.0000000000000435	2.000000000000447	-3.000000000000715	2.0000000000088423	2.0000000000026863	2.0000000000026863	2.0000000000026863	2.0000000000026863	2.0000000000026863	2.0000000000026863	2.0000000000026863	2.0000000000026152	Neu5Ac-e0	H+-e0
Sucrose##H+-e0##Muribaculum_intestinale_YL27	0.2680412371127975	-1.0000000000076066	4.0000000000003215	3.656524325688228	0.0	3.99999999999133	6.666666666654618	11.999999999988775	38.556785535874695	0.0	7.999999999997456	3.9999999999997176	4.000000000000437	-4.0000000000002665	7.000000000019029	7.000000000005483	7.000000000005483	7.000000000005483	7.000000000005483	7.000000000005483	7.000000000005483	7.000000000005483	7.000000000005455	Sucrose	H+-e0
Folate##H+-e0##Muribaculum_intestinale_YL27	-4.8831615120327285	-6.000000000014722	-7.000000000000852	-6.5706554071089	-2.000000000015411	-1.6666666666562109	-1.1111111110907692	-1.999999999981294	-19.704523690587955	-41.83260874346073	-36.858407900680405	-18.422556612843845	-17.798495451054663	21.211880086630135	-8.333333333339688	-8.333333333335588	-8.333333333335588	-8.333333333335588	-8.333333333335588	-8.333333333335588	-8.333333333335588	-8.333333333335588	-8.333333333335599	Folate	H+-e0
Riboflavin##H+-e0##Muribaculum_intestinale_YL27	-5.326460481100238	-3.9999999999925824	-8.000000000000291	-7.570655407109019	1160.106219211738	-882.4970500335116	-1749.3710873113826	-1526.429822246892	12.852261845290057	0.0	2.666666666666472	-0.6666666666657708	-0.6666666666653702	-7.333333333334555	509.47321357919935	509.4732135801206	509.4732135801206	509.4732135801206	509.4732135801206	509.4732135801206	509.4732135801206	509.4732135801206	494.3833397213619	Riboflavin	H+-e0
PAN##H+-e0##Muribaculum_intestinale_YL27	1684.0479022820955	1859.7129465071455	-109.25640235225978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	H+-e0
