	bc1003	bc1016	bc1012	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
2-Oxoglutarate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
5-Aminolevulinate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
AMP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
ARSENOBETAINE	0.0	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Adenine	0.0	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	0.0	bc1011	1		0	bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	bc1003.bc1012	2		0	bc1003.bc1012	2
Arsenate	0.0	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
BIOT	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
CMP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
CO2	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Ca2+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Cbl	0.0	0.0	0.0	0.0		0		0		0
Chitobiose	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Chorismate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Citrate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Cl-	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Co2+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
CoA	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Cu2+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Cytidine	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
D-Alanine	0.0	0.0	0.0	0.0	bc1011.bc1016	2		0	bc1011.bc1016	2
D-Arabinose	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
D-Galacturonate	0.0	0.0	0.0	0.0		0		0		0
D-Glucose	0.0	0.05745328770557882	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4	bc1016	1	bc1016bc1003.bc1011.bc1012.bc1016	5
D-Serine	0.0	0.0	0.0	0.0		0		0		0
Deoxyadenosine	0.0	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Deoxyguanosine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012	3		0	bc1003.bc1011.bc1012	3
Deoxyinosine	0.0	0.0	0.0	0.0		0		0		0
Deoxyuridine	0.0	0.0	0.0	0.0		0		0		0
Enterobactin	0.0	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0	0.0		0		0		0
