	Avg_bc1008	Var_bc1008	Avg_bc1001	Var_bc1001	Avg_bc1009	Var_bc1009	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.999999965899047	1.1628749524641879e-15	0.0	0.0	0.999999965899047	1.1628749524641879e-15	bc1008	1		1	bc1008	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.999999965899047	1.1628749524641879e-15	0.0	0.0	0.999999965899047	1.1628749524641879e-15	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	1.999999931798094	4.6514998098567515e-15	0.0	0.0	1.999999931798094	4.6514998098567515e-15	bc1001.bc1009	1		1	bc1001.bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	0.0	0.0	2.9999998976971414	1.0465874526746094e-14	bc1001.bc1008.bc1009	1		1	bc1001.bc1008.bc1009	1
