	Avg_bc1008	Var_bc1008	Avg_bc1011	Var_bc1011	Avg_bc1015	Var_bc1015	Avg_bc1003	Var_bc1003	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9992326762997289	5.883338718056777e-07	0.0	0.0	0.9992326762997289	5.883338718056777e-07	bc1008	1		1	bc1008	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9992326762997289	5.883338718056777e-07	0.0	0.0	0.9992326762997289	5.883338718056777e-07	bc1011	1		1	bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9984653525994578	2.353335487222711e-06	0.0	0.0	1.9984653525994578	2.353335487222711e-06	bc1003.bc1015	1		1	bc1003.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9992326762997289	5.883338718056777e-07	0.0	0.0	0.9992326762997289	5.883338718056777e-07	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9992326762997289	5.883338718056777e-07	0.0	0.0	0.9992326762997289	5.883338718056777e-07	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9969307051989156	9.413341948890843e-06	0.0	0.0	3.9969307051989156	9.413341948890843e-06	bc1003.bc1008.bc1011.bc1015	1		1	bc1003.bc1008.bc1011.bc1015	1
