	0.0000-0.2601	0.2601-0.2687	0.2687-0.2722	0.2722-0.2733	0.2733-0.3685	0.3762-1.2105	1.2105-2.0000	Source	Target
bc1008##bc1012##O2	-0.003429652795845292	0.0	0.0	0.0	0.0	0.0	0.0	bc1008	bc1012
bc1010##bc1012##Fumarate.O2	-0.153007677089941	0.0	0.0	0.0	0.0	0.0	0.0	bc1010	bc1012
bc1008##bc1010##O2	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	0.0	0.0	bc1008	bc1010
bc1012##bc1010##O2	-0.15252946972194373	-0.15252946972195233	-0.15252946972193995	-0.152529469721917	-0.15252946972194514	0.0	0.0	bc1012	bc1010
bc1010##bc1008##D-Glucose	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.05745328811845302	-0.05745328811845302	bc1010	bc1008
bc1012##bc1008##D-Glucose	-0.04652051298431076	-0.05745328811846115	-0.057453288118437376	-0.05745328811845801	-0.05745328811845334	-0.05745328811845316	-0.05745328811845316	bc1012	bc1008
bc1008##bc1012##D-Glucose.O2	0.0	-3.0965517013144095	-3.0965517013026993	-3.09655170125536	-0.13087585242982785	0.0	0.0	bc1008	bc1012
bc1010##bc1012##D-Glucose.Fumarate.O2	0.0	-0.20492039833861475	-0.20492039833826614	-0.20492039833659836	0.0	0.0	0.0	bc1010	bc1012
bc1010##bc1012##D-Glucose.O2	0.0	0.0	0.0	0.0	-0.09547176397716327	0.0	0.0	bc1010	bc1012
bc1008##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.17146149851900122	-0.17146149851900122	bc1008	bc1012
bc1010##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.17146149851900253	-0.17146149851900253	bc1010	bc1012
bc1008##bc1010##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.269704829539217	-0.269704829539217	bc1008	bc1010
bc1012##bc1010##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.2697048295392197	-0.2697048295392197	bc1012	bc1010
