	0.7927	0.7938	0.7942	Source	Target
bc1015##L-Aspartate##Microbe	0.0	-0.2780987359268931	0.25860735389220124	bc1015	L-Aspartate
bc1011##NADP##Microbe	-0.0006587219426003305	0.0	0.0	bc1011	NADP
bc1015##CO2##Microbe	0.0	0.9648854259993931	-0.060004913816931627	bc1015	CO2
bc1015##Deoxycytidine##Microbe	0.0	-0.020244704055092738	0.018825793395175962	bc1015	Deoxycytidine
bc1011##H+##Microbe	0.6014001351385828	0.0	0.0	bc1011	H+
bc1015##Pyridoxal##Microbe	0.0	-0.003885804807721427	0.0036134565506683878	bc1015	Pyridoxal
bc1015##UMP##Microbe	0.0	-0.12966450541022853	0.1205765805663109	bc1015	UMP
bc1015##Heme##Microbe	0.0	-0.003885804807726207	0.003613456550673878	bc1015	Heme
bc1011##Oxidized glutathione##Microbe	-0.00016468048565199093	0.0	0.0	bc1011	Oxidized glutathione
bc1011##CoA##Microbe	-0.0006587219426226943	0.0	0.0	bc1011	CoA
bc1015##L-Histidine##Microbe	0.0	-0.10975958978935282	0.10206676051623731	bc1015	L-Histidine
bc1011##L-Glutamine##Microbe	-0.0371272264565324	0.0	0.0	bc1011	L-Glutamine
bc1015##L-Proline##Microbe	0.0	-0.2552835402965161	0.23739122951522473	bc1015	L-Proline
bc1011##5-Aminolevulinate##Microbe	-0.002634887770431584	0.0	0.0	bc1011	5-Aminolevulinate
bc1015##L-Lysine##Microbe	0.0	-0.3952578486233453	0.3675550196117301	bc1015	L-Lysine
bc1011##BET##Microbe	-0.0006587219426097459	0.0	0.0	bc1011	BET
O2##bc1015##Metabolite	0.0	-1.691238488419875	1.5379899521223486	O2	bc1015
bc1015##Cl-##Microbe	0.0	-0.0038858048077000345	0.0036134565506464275	bc1015	Cl-
bc1011##Co2+##Microbe	-0.0003293609713042093	0.0	0.0	bc1011	Co2+
bc1015##H2O##Microbe	0.0	9.212757001784158	-7.729799730924624	bc1015	H2O
bc1011##L-Isoleucine##Microbe	-0.028380069588213444	0.0	0.0	bc1011	L-Isoleucine
O2##bc1011##Metabolite	-0.15278557913560206	0.0	0.0	O2	bc1011
bc1015##Niacin##Microbe	0.0	0.0038858048077230305	-0.0036134565506702374	bc1015	Niacin
