	bc1011	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
2-Oxoglutarate	0.0	0.0	bc1010	1		0	bc1010	1
4-Hydroxybenzoate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
5-Aminolevulinate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
AMP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Acetate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Adenine	0.0	0.0		0		0		0
Adenosine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Ala-Ala	0.0	0.0	bc1010	1		0	bc1010	1
Arsenate	0.0	0.0		0		0		0
Arsenite	0.0	0.0		0		0		0
BET	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
BIOT	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
CMP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
CO2	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Ca2+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Carnitine	0.0	0.0		0		0		0
Cbl	0.0	0.0		0		0		0
Chorismate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Cl-	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Co2+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
CoA	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Cu2+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
D-Alanine	0.0	0.0	bc1011	1		0	bc1011	1
D-Arabinose	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
D-Glucose	0.2701563170637754	0.0	bc1010.bc1011	2	bc1011	1	bc1011bc1010.bc1011	3
D-Serine	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Deoxyguanosine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Enterobactin	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0		0		0		0
Folate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Formate	0.0	0.0	bc1011	1		0	bc1011	1
