	0.0000-0.2604	0.2604-0.2690	0.2690-0.2724	0.2724-0.3688	0.3688-0.3758	0.3758-1.2030	1.2030-2.0000	Source	Target
bc1002##bc1008##D-Glucose	-0.032431086224845515	-0.032431086224845515	-0.032431086224845515	-0.032431086224845515	-0.05745328811845321	-0.05745328811845321	-0.05745328811845321	bc1002	bc1008
bc1012##bc1008##D-Glucose	-0.04652051298431076	-0.05745328811845745	-0.05745328811842349	-0.05745328811845315	-0.05745328811845315	-0.05745328811845289	-0.05745328811845289	bc1012	bc1008
bc1002##bc1012##O2	-0.15299312499693235	0.0	0.0	0.0	0.0	0.0	0.0	bc1002	bc1012
bc1008##bc1012##O2	-0.003429652795845292	0.0	0.0	0.0	0.0	0.0	0.0	bc1008	bc1012
bc1008##bc1002##O2	-0.003427576436975438	-0.003427576436975438	-0.003427576436975438	-0.003427576436975438	0.0	0.0	0.0	bc1008	bc1002
bc1012##bc1002##O2	-0.15290050085943804	-0.15290050085944631	-0.15290050085944687	-0.1529005008594391	0.0	0.0	0.0	bc1012	bc1002
bc1002##bc1012##O2.D-Glucose	0.0	-0.20192102847134863	-0.2019210284713815	-0.10076195266843688	-0.17850482891327274	0.0	0.0	bc1002	bc1012
bc1008##bc1012##D-Glucose.O2	0.0	-3.0965517013030937	-3.096551701303971	-0.13099264850290038	-0.13099264850290038	0.0	0.0	bc1008	bc1012
bc1008##bc1002##D-Glucose	0.0	0.0	0.0	0.0	-0.27087086964738133	-0.27087086964738133	-0.27087086964738133	bc1008	bc1002
bc1012##bc1002##D-Glucose	0.0	0.0	0.0	0.0	-0.270870869647384	-0.2708708696473828	-0.2708708696473828	bc1012	bc1002
bc1002##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.18156064653432827	-0.18156064653432827	bc1002	bc1012
bc1008##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.1815606465343263	-0.1815606465343263	bc1008	bc1012
