	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
63	Enterocloster_clostridioformis_YL32	PAN	Microbe	-1.0000000000002238	1.0000000000002238	-1.0	1.000000000000112	-1.000000000000112
67	Bifidobacterium_animalis_YL2	PAN	Microbe	-0.9999999999999589	0.9999999999999589	-1.0	0.9999999999999795	-0.9999999999999795
72	PAN	Bifidobacterium_animalis_YL2	Metabolite	96.79614651761115	96.79614651761115	1.0	9.838503266127992	9.838503266127992
92	PAN	Enterocloster_clostridioformis_YL32	Metabolite	126.68907411987142	126.68907411987142	1.0	11.255624110633377	11.255624110633377
