	Proportion MetConSIN Shared	Proportion DirectDFBA Shared	Number Different Sign	Average ABS Difference
0.17335	1.0	0.5313588850174216	0.0	10.155507739101875
0.34975	1.0	0.5331010452961672	2.0	1.729596669228364
0.39155	1.0	0.5313588850174216	0.0	0.8022610109691704
0.4328	1.0	0.5331010452961672	3.0	0.44634043109650057
0.4333	1.0	0.5348432055749129	6.0	0.4327248339387069
0.4339	1.0	0.5331010452961672	3.0	0.4197238515057482
0.43495	1.0	0.5278745644599303	3.0	0.38833253025310543
0.8229	1.0	0.5288966725043783	0.0	0.17015486394834867
1.6052	0.026490066225165563	1.0	0.0	2.637366795521039
Average	1.0	0.5383275261324042	0.0	2.6964182628297357
