	0.0000-0.3350	0.3350-0.3390	0.3390-0.3407	0.3407-0.3946	0.3946-0.3997	0.3997-1.2010	1.2010-2.0000	Source	Target
Fumarate##bc1012##Metabolite##None	0.03399847222152429	-0.7829132233182038	-0.7829132233184389	0.0	0.0	0.0	0.0	Fumarate	bc1012
O2##bc1012##Metabolite##None	0.152993124996932	-1.5658264466359455	-1.565826446636414	0.027163276724813598	0.027163276724813598	0.0	0.0	O2	bc1012
bc1012##L-Proline##Microbe##Fumarate_e0	-0.0062677769684706805	0.14433370527509706	0.14433370527509676	0.0	0.0	0.0	0.0	bc1012	L-Proline
bc1012##L-Proline##Microbe##O2_e0	-0.028204996358131198	0.28866741055010964	0.2886674105501064	-0.005007676790141426	-0.005007676790141426	0.0	0.0	bc1012	L-Proline
bc1012##ddca##Microbe##Fumarate_e0	-0.0008503221115188308	0.019581127670966484	0.019581127670991384	0.0	0.0	0.0	0.0	bc1012	ddca
bc1012##ddca##Microbe##O2_e0	-0.003826449501833117	0.03916225534192324	0.03916225534197387	-0.0006793697866721806	-0.0006793697866721806	0.0	0.0	bc1012	ddca
bc1012##Fumarate##Microbe##Fumarate_e0	-0.9999999999999988	-0.9999999999999919	-1.0000000000000757	0.0	0.0	0.0	0.0	bc1012	Fumarate
bc1012##Mg##Microbe##Fumarate_e0	-9.540512423652745e-05	0.002196979112758357	0.0021969791127804546	0.0	0.0	0.0	0.0	bc1012	Mg
bc1012##Mg##Microbe##O2_e0	-0.0004293230590644204	0.00439395822551313	0.004393958225557763	-7.622447778670986e-05	-7.622447778670986e-05	0.0	0.0	bc1012	Mg
bc1012##L-Glutamate##Microbe##Fumarate_e0	-0.008680605092736644	0.19989605618817416	0.19989605618801007	0.0	0.0	0.0	0.0	bc1012	L-Glutamate
bc1012##L-Glutamate##Microbe##O2_e0	-0.039062722917332635	0.3997921123762282	0.39979211237588763	-0.006935419825240076	-0.006935419825240076	0.0	0.0	bc1012	L-Glutamate
bc1012##CoA##Microbe##Fumarate_e0	-0.00019081024847205676	0.0043939582255700825	0.004393958225426536	0.0	0.0	0.0	0.0	bc1012	CoA
bc1012##CoA##Microbe##O2_e0	-0.0008586461181240802	0.00878791645114176	0.008787916450846627	-0.00015244895557091047	-0.00015244895557091047	0.0	0.0	bc1012	CoA
bc1012##O2##Microbe##O2_e0	-0.999999999999991	-1.000000000000045	-1.0000000000000486	-0.9999999999999978	-0.9999999999999978	0.0	0.0	bc1012	O2
bc1012##Spermidine##Microbe##Fumarate_e0	-9.540512423628146e-05	0.002196979112764892	0.002196979112718926	0.0	0.0	0.0	0.0	bc1012	Spermidine
bc1012##Spermidine##Microbe##O2_e0	-0.0004293230590618204	0.004393958225529313	0.004393958225434982	-7.622447778549228e-05	-7.622447778549228e-05	0.0	0.0	bc1012	Spermidine
bc1012##L-Leucine##Microbe##Fumarate_e0	-0.012762647305363105	0.29389689262532553	0.2938968926254263	0.0	0.0	0.0	0.0	bc1012	L-Leucine
