	0.5555	Source	Target
O2##O2##bc1015	0.9999999999998326	O2	O2
O2##Mg##bc1015	-0.004315844591581179	O2	Mg
O2##NH3##bc1015	0.021579222957600147	O2	NH3
O2##AMP##bc1015	-0.16513333112874018	O2	AMP
O2##L-Asparagine##bc1015	-0.30887576313245746	O2	L-Asparagine
O2##4-Hydroxybenzoate##bc1015	-0.004315844590588679	O2	4-Hydroxybenzoate
O2##N-Acetyl-D-glucosamine##bc1015	-0.15818003649562162	O2	N-Acetyl-D-glucosamine
O2##ddca##bc1015	-0.10048096453233524	O2	ddca
O2##L-Isoleucine##bc1015	-0.37188367933686167	O2	L-Isoleucine
O2##CoA##bc1015	-0.008631689182688586	O2	CoA
O2##L-Glutamine##bc1015	-0.3283236887796623	O2	L-Glutamine
O2##BET##bc1015	-0.008631689182202978	O2	BET
O2##Glycine##bc1015	-0.7712270755091554	O2	Glycine
O2##dGTP##bc1015	-0.018169329221125387	O2	dGTP
O2##fe3##bc1015	-0.012947533774278602	O2	fe3
O2##Arsenate##bc1015	0.0021579222958096893	O2	Arsenate
O2##meso-2,6-Diaminopimelate##bc1015	-0.03846604797594522	O2	meso-2,6-Diaminopimelate
O2##Deoxycytidine##bc1015	-0.02248517381270255	O2	Deoxycytidine
O2##D-Glucose##bc1015	0.0	O2	D-Glucose
O2##Heme##bc1015	-0.004315844591568256	O2	Heme
O2##Nicotinamide ribonucleotide##bc1015	-0.004315844591486934	O2	Nicotinamide ribonucleotide
O2##Mn2+##bc1015	-0.0043158445914850685	O2	Mn2+
O2##Co2+##bc1015	-0.004315844591569481	O2	Co2+
O2##L-Glutamate##bc1015	-0.39268480430443486	O2	L-Glutamate
O2##L-Serine##bc1015	-0.3282191398908472	O2	L-Serine
O2##Ala-Ala##bc1015	-0.038466047975937265	O2	Ala-Ala
O2##Thiamin##bc1015	-0.004315844591411506	O2	Thiamin
O2##Spermidine##bc1015	-0.004315844591530022	O2	Spermidine
O2##L-Proline##bc1015	-0.28353562291981727	O2	L-Proline
O2##PPi##bc1015	0.04246765518961	O2	PPi
O2##Zn2+##bc1015	-0.004315844591590549	O2	Zn2+
O2##dATP##bc1015	-0.02679631878506468	O2	dATP
O2##K+##bc1015	-0.004315844591525876	O2	K+
O2##Chorismate##bc1015	-0.008631689182968312	O2	Chorismate
O2##L-Cysteine##bc1015	-0.11711253990161903	O2	L-Cysteine
O2##L-Leucine##bc1015	-0.5773442756555244	O2	L-Leucine
O2##CMP##bc1015	-0.12935051581361143	O2	CMP
O2##Putrescine##bc1015	-0.00431584459158178	O2	Putrescine
O2##L-Valine##bc1015	-0.5417311056268302	O2	L-Valine
O2##Cu2+##bc1015	-0.004315844591494324	O2	Cu2+
O2##L-Methionine##bc1015	-0.18792561462931553	O2	L-Methionine
O2##Niacin##bc1015	0.00431584459156405	O2	Niacin
O2##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1015	-0.1916049103112156	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl
O2##5-Aminolevulinate##bc1015	-0.034526756732184374	O2	5-Aminolevulinate
O2##Glycerol##bc1015	-0.09580245515555953	O2	Glycerol
O2##L-Aspartate##bc1015	-0.3088757631324724	O2	L-Aspartate
O2##H+##bc1015	-3.199879088547145	O2	H+
O2##Ca2+##bc1015	-0.004315844591577632	O2	Ca2+
O2##BIOT##bc1015	-0.004315844591533264	O2	BIOT
O2##Formate##bc1015	-0.004315844591515923	O2	Formate
O2##CO2##bc1015	0.07166874130974568	O2	CO2
O2##L-Tryptophan##bc1015	-0.07259607736594494	O2	L-Tryptophan
O2##TTP##bc1015	-0.026796318785024465	O2	TTP
O2##Arsenite##bc1015	-0.002157922295735792	O2	Arsenite
O2##Sulfate##bc1015	-0.004315844591436684	O2	Sulfate
O2##Oxidized glutathione##bc1015	-0.002157922295732528	O2	Oxidized glutathione
O2##L-Threonine##bc1015	-0.3246277421834686	O2	L-Threonine
O2##L-Histidine##bc1015	-0.12190662048246888	O2	L-Histidine
O2##Cl-##bc1015	-0.004315844591535791	O2	Cl-
O2##Pyridoxal##bc1015	-0.004315844591561663	O2	Pyridoxal
O2##S-Adenosyl-L-methionine##bc1015	-0.01294753377384693	O2	S-Adenosyl-L-methionine
