	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
9	Putrescine-e0	Flavonifractor_plautii_YL31	Metabolite	126.6890741173704	126.6890741173704	1.0	11.255624110522277	11.255624110522277
21	PAN	Blautia_coccoides_YL58	Metabolite	96.79614652174774	96.79614652174774	1.0	9.838503266338217	9.838503266338217
32	Flavonifractor_plautii_YL31	PAN	Microbe	-1.0000000000160354	1.0000000000160354	-1.0	1.0000000000080176	-1.0000000000080176
40	Blautia_coccoides_YL58	PAN	Microbe	-0.9999999999998702	0.9999999999998702	-1.0	0.999999999999935	-0.999999999999935
64	Flavonifractor_plautii_YL31	Putrescine-e0	Microbe	-0.999999999999747	0.999999999999747	-1.0	0.9999999999998734	-0.9999999999998734
