	0.0000-0.0000	0.0000-20.0000	Source	Target
Putrescine-e0##H2O-e0##Enterococcus_faecalis_KB1	-0.8124999999249382	-0.812499999929842	Putrescine-e0	H2O-e0
Spermidine-e0##H2O-e0##Enterococcus_faecalis_KB1	0.2500000001188432	0.2500000001024052	Spermidine-e0	H2O-e0
Thiamin-e0##H2O-e0##Enterococcus_faecalis_KB1	-3.1874999998151226	-3.1874999998261875	Thiamin-e0	H2O-e0
Riboflavin-e0##H2O-e0##Enterococcus_faecalis_KB1	-188.88232824359932	-188.35278134027877	Riboflavin-e0	H2O-e0
N-Acetyl-D-glucosamine-e0##H2O-e0##Enterococcus_faecalis_KB1	-0.687499999973877	-0.6874999999724241	N-Acetyl-D-glucosamine-e0	H2O-e0
Folate-e0##H2O-e0##Enterococcus_faecalis_KB1	-4.562500000010032	-4.562500000011975	Folate-e0	H2O-e0
Riboflavin-e0##Phosphate-e0##Enterococcus_faecalis_KB1	-129.86418562724282	-129.86418562632105	Riboflavin-e0	Phosphate-e0
Thiamin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-1.9999999999837679	-1.9999999999846851	Thiamin-e0	L-Glutamate-e0
Riboflavin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-16.852516679469446	-16.852516679355986	Riboflavin-e0	L-Glutamate-e0
N-Acetyl-D-glucosamine-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-0.999999999997708	-0.9999999999975666	N-Acetyl-D-glucosamine-e0	L-Glutamate-e0
Riboflavin-e0##D-Glucose-e0##Enterococcus_faecalis_KB1	-31.32176771158102	-31.321767711331606	Riboflavin-e0	D-Glucose-e0
Riboflavin-e0##Mn2+-e0##Enterococcus_faecalis_KB1	-0.7060625360181426	-0.7060625360130597	Riboflavin-e0	Mn2+-e0
Riboflavin-e0##Zn2+-e0##Enterococcus_faecalis_KB1	-0.7060625360153495	-0.7060625360102238	Riboflavin-e0	Zn2+-e0
Riboflavin-e0##L-Lysine-e0##Enterococcus_faecalis_KB1	-36.35966193684157	-36.35966193658258	Riboflavin-e0	L-Lysine-e0
Putrescine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.0000000000116713	1.0000000000109304	Putrescine-e0	L-Aspartate-e0
Spermidine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.0000000000184133	1.0000000000158786	Spermidine-e0	L-Aspartate-e0
Thiamin-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.0000000000287346	1.00000000002707	Thiamin-e0	L-Aspartate-e0
Riboflavin-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	-28.84811919836133	-28.848119198157832	Riboflavin-e0	L-Aspartate-e0
Riboflavin-e0##Sulfate-e0##Enterococcus_faecalis_KB1	-0.7060625360192379	-0.706062536014014	Riboflavin-e0	Sulfate-e0
Putrescine-e0##L-Arginine-e0##Enterococcus_faecalis_KB1	1.000000000009122	1.0000000000085458	Putrescine-e0	L-Arginine-e0
Spermidine-e0##L-Arginine-e0##Enterococcus_faecalis_KB1	1.0000000000144027	1.0000000000124243	Spermidine-e0	L-Arginine-e0
Riboflavin-e0##L-Arginine-e0##Enterococcus_faecalis_KB1	-22.723747385124124	-22.72374738496287	Riboflavin-e0	L-Arginine-e0
Thiamin-e0##L-Glutamine-e0##Enterococcus_faecalis_KB1	2.0000000000515414	2.000000000048526	Thiamin-e0	L-Glutamine-e0
Riboflavin-e0##L-Glutamine-e0##Enterococcus_faecalis_KB1	-51.96635953759769	-51.96635953722312	Riboflavin-e0	L-Glutamine-e0
N-Acetyl-D-glucosamine-e0##L-Glutamine-e0##Enterococcus_faecalis_KB1	1.0000000000073768	1.0000000000077989	N-Acetyl-D-glucosamine-e0	L-Glutamine-e0
Folate-e0##L-Glutamine-e0##Enterococcus_faecalis_KB1	0.9999999999971604	0.9999999999965947	Folate-e0	L-Glutamine-e0
Putrescine-e0##Putrescine-e0##Enterococcus_faecalis_KB1	-1.0000000000000007	-1.0000000000000004	Putrescine-e0	Putrescine-e0
Riboflavin-e0##L-Histidine-e0##Enterococcus_faecalis_KB1	-9.204977705530457	-9.204977705465097	Riboflavin-e0	L-Histidine-e0
Riboflavin-e0##L-Proline-e0##Enterococcus_faecalis_KB1	-18.087781191365664	-18.087781191237173	Riboflavin-e0	L-Proline-e0
Riboflavin-e0##Co2+-e0##Enterococcus_faecalis_KB1	-0.7060625360181998	-0.7060625360130736	Riboflavin-e0	Co2+-e0
Riboflavin-e0##L-Valine-e0##Enterococcus_faecalis_KB1	-34.56469128424291	-34.564691283999665	Riboflavin-e0	L-Valine-e0
Riboflavin-e0##L-Threonine-e0##Enterococcus_faecalis_KB1	-71.58423504716946	-71.58423504665696	Riboflavin-e0	L-Threonine-e0
Folate-e0##L-Threonine-e0##Enterococcus_faecalis_KB1	-1.0000000000040086	-1.0000000000047833	Folate-e0	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Enterococcus_faecalis_KB1	-0.9999999999999993	-0.9999999999999999	Spermidine-e0	Spermidine-e0
Thiamin-e0##Thiamin-e0##Enterococcus_faecalis_KB1	-0.9999999999999993	-0.999999999999998	Thiamin-e0	Thiamin-e0
Riboflavin-e0##fe3-e0##Enterococcus_faecalis_KB1	-0.7060625360109613	0.0	Riboflavin-e0	fe3-e0
Putrescine-e0##H+-e0##Enterococcus_faecalis_KB1	2.812499999572019	2.812499999599313	Putrescine-e0	H+-e0
Spermidine-e0##H+-e0##Enterococcus_faecalis_KB1	3.749999999323917	3.7499999994172573	Spermidine-e0	H+-e0
Thiamin-e0##H+-e0##Enterococcus_faecalis_KB1	-4.812500001053317	-4.812500000991498	Thiamin-e0	H+-e0
Riboflavin-e0##H+-e0##Enterococcus_faecalis_KB1	1068.8798152309778	1067.9972370534078	Riboflavin-e0	H+-e0
N-Acetyl-D-glucosamine-e0##H+-e0##Enterococcus_faecalis_KB1	-0.31250000015022167	-0.3125000001588838	N-Acetyl-D-glucosamine-e0	H+-e0
Folate-e0##H+-e0##Enterococcus_faecalis_KB1	-5.437499999939057	-5.437499999927755	Folate-e0	H+-e0
Putrescine-e0##Uracil-e0##Enterococcus_faecalis_KB1	-0.9999999999982887	-0.9999999999984006	Putrescine-e0	Uracil-e0
Spermidine-e0##Uracil-e0##Enterococcus_faecalis_KB1	-0.9999999999972675	-0.9999999999976423	Spermidine-e0	Uracil-e0
Riboflavin-e0##Uracil-e0##Enterococcus_faecalis_KB1	-4.5851148930062555	-4.585114892978323	Riboflavin-e0	Uracil-e0
Spermidine-e0##L-Methionine-e0##Enterococcus_faecalis_KB1	1.0000000000093263	1.0000000000080453	Spermidine-e0	L-Methionine-e0
Riboflavin-e0##L-Methionine-e0##Enterococcus_faecalis_KB1	-14.748894122273411	-14.748894122168963	Riboflavin-e0	L-Methionine-e0
Riboflavin-e0##Riboflavin-e0##Enterococcus_faecalis_KB1	-0.999999999999995	-0.9999999999999089	Riboflavin-e0	Riboflavin-e0
Thiamin-e0##L-Cysteine-e0##Enterococcus_faecalis_KB1	1.0000000000073421	1.0000000000069158	Thiamin-e0	L-Cysteine-e0
Riboflavin-e0##L-Cysteine-e0##Enterococcus_faecalis_KB1	-7.397459505424651	-7.397459505371431	Riboflavin-e0	L-Cysteine-e0
Riboflavin-e0##L-Leucine-e0##Enterococcus_faecalis_KB1	-47.22328715810772	-47.2232871577698	Riboflavin-e0	L-Leucine-e0
Riboflavin-e0##L-Isoleucine-e0##Enterococcus_faecalis_KB1	-38.57060811488612	-38.57060811461231	Riboflavin-e0	L-Isoleucine-e0
Thiamin-e0##L-Tyrosine-e0##Enterococcus_faecalis_KB1	1.0000000000128544	1.0000000000121096	Thiamin-e0	L-Tyrosine-e0
Riboflavin-e0##L-Tyrosine-e0##Enterococcus_faecalis_KB1	-12.972744791031674	-12.972744790939574	Riboflavin-e0	L-Tyrosine-e0
Riboflavin-e0##L-Phenylalanine-e0##Enterococcus_faecalis_KB1	-19.790702066894553	-19.790702066752935	Riboflavin-e0	L-Phenylalanine-e0
Putrescine-e0##L-Serine-e0##Enterococcus_faecalis_KB1	-0.9999999999744459	-0.9999999999760644	Putrescine-e0	L-Serine-e0
Spermidine-e0##L-Serine-e0##Enterococcus_faecalis_KB1	-0.9999999999595399	-0.999999999965091	Spermidine-e0	L-Serine-e0
