	0.0000-0.0000	0.0000-0.0007	0.0007-0.0009	0.0009-0.0009	0.0009-0.0010	0.0010-0.0012	0.0018-0.0031	0.0031-0.0043	0.0043-0.0069	0.0069-0.0070	0.0070-0.0110	0.0110-0.0111	0.0111-0.0111	0.0111-0.0415	0.0415-0.0417	0.0417-0.0417	0.0417-0.0779	0.0933-0.1544	0.1544-0.1550	0.1550-0.1612	0.1612-0.1630	0.1984-0.1984	0.1984-0.1996	0.1996-0.1997	0.1997-0.2010	0.2010-0.2018	0.2018-0.2035	0.2039-0.2039	0.2039-0.2058	0.2068-0.2069	0.2069-0.2229	0.2229-0.2446	0.2446-0.2459	0.2460-0.2461	0.2461-0.2541	0.2541-0.2548	0.2548-0.2550	0.2550-0.2625	0.2625-7.9004	7.9004-20.0000	Source	Target
PAN##Phosphate-e0##Clostridium_innocuum_I46	-127.45775495872242	-127.45775495872242	-127.45775495872242	-127.45775495872242	-127.45775496109079	-127.457754960298	-127.45775496027346	-127.45775495942286	-127.4577549594354	-127.4577549594354	-127.4577549593941	-127.45775495939988	-127.45775495939058	-127.45775495939058	-127.45775495939058	-127.45775495939058	-127.45775495939058	-127.45775495964567	-127.45775495903489	-127.45775495883558	-127.4577549580897	-127.45775496119462	-127.4577549608126	-127.45775496069872	-127.4577549598762	-127.45775495936914	-127.45775495979316	-127.45775495970327	-127.45775495970797	-127.45775495993968	-127.45775495959728	-127.4577549596821	-127.45775495916043	-127.45775495930417	-127.4577549593037	-127.45775495910824	-127.45775495848989	-127.45775495927313	-127.45775495918613	-127.45775495918613	PAN	Phosphate-e0
L-Aspartate-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.05555555557294457	0.05555555557294457	0.05555555557294457	0.05555555557294457	-0.49999999999697536	-0.49999999999733896	0.12500000002932657	-0.49999999999790895	-0.49999999999959854	-0.49999999999959854	-0.49999999999930606	-0.49999999999917216	-0.4999999999992048	-0.4999999999992048	-0.4999999999992048	-0.4999999999992048	-0.4999999999992048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L-Aspartate-e0	D-Glucose-e0
Spermidine-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.4722222222294139	0.4722222222294139	0.4722222222294139	0.4722222222294139	0.7500000000002356	0.7500000000004181	1.4374999999950087	0.0	3.874999999998064	3.874999999998064	2.124999999999296	-0.7500000000013377	-0.20833333333391815	-0.20833333333391815	-0.20833333333391815	-0.20833333333391815	-0.20833333333391815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Thiamin-e0##D-Glucose-e0##Clostridium_innocuum_I46	4.97222222214843	4.97222222214843	4.97222222214843	4.97222222214843	-1.249999999994292	-1.249999999998388	8.250000000002226	0.24999999999472688	-2.250000000002477	-2.250000000002477	-1.2500000000032654	-1.2500000000023466	-1.2500000000025446	-1.2500000000025446	-1.2500000000025446	-1.2500000000025446	-1.2500000000025446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	D-Glucose-e0
N-Acetyl-D-glucosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.499999999984102	1.499999999984102	1.499999999984102	1.499999999984102	-0.49999999999728983	-0.4999999999985762	1.7500000000161713	0.5000000000006304	-1.9999999999995515	-1.9999999999995515	-1.0000000000003253	-0.17857142857157013	-0.33333333333370674	-0.33333333333370674	-0.33333333333370674	-0.33333333333370674	-0.33333333333370674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	D-Glucose-e0
D-Mannose-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.000000000004771	1.000000000004771	1.000000000004771	1.000000000004771	1.0000000000005396	1.0000000000005458	1.0000000000056923	1.0000000000005262	1.0000000000002223	1.0000000000002223	1.0000000000002556	1.00000000000021	1.0000000000002254	1.0000000000002254	1.0000000000002254	1.0000000000002254	1.0000000000002254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Mannose-e0	D-Glucose-e0
Folate-e0##D-Glucose-e0##Clostridium_innocuum_I46	6.583333333296586	6.583333333296586	6.583333333296586	6.583333333296586	-0.24999999998921332	-0.2499999999937024	5.937500000086426	0.5000000000038971	-6.374999999996293	-6.374999999996293	-4.124999999998623	-1.2499999999989728	-1.7916666666662797	-1.7916666666662797	-1.7916666666662797	-1.7916666666662797	-1.7916666666662797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	D-Glucose-e0
N-Acetyl-D-chondrosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.0555555555423586	1.0555555555423586	1.0555555555423586	1.0555555555423586	1.4999999999976201	1.499999999997876	0.9999999999772949	1.4999999999983564	0.2499999999998216	0.2499999999998216	0.24999999999950456	0.24999999999941314	0.24999999999942799	0.24999999999942799	0.24999999999942799	0.24999999999942799	0.24999999999942799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-chondrosamine-e0	D-Glucose-e0
Riboflavin##D-Glucose-e0##Clostridium_innocuum_I46	2.52777777768366	2.52777777768366	2.52777777768366	2.52777777768366	-3.7499999999961333	-3.750000000000288	4.312499999993294	-2.5000000000051434	-8.125000000000798	-8.125000000000798	-5.875000000003247	-2.178571428573133	-2.8750000000029106	-2.8750000000029106	-2.8750000000029106	-2.8750000000029106	-2.8750000000029106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Clostridium_innocuum_I46	-2774.460073332106	-2774.460073332106	-2774.460073332106	-2774.460073332106	-289.1821438776663	-289.1821438760463	-3146.160393266046	-272.60120080715825	-40.60106220186862	-40.60106220186862	-83.95089612831056	-105.16603383196517	-100.62731223560867	-100.62731223560867	-100.62731223560867	-100.62731223560867	-100.62731223560867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##Mn2+-e0##Clostridium_innocuum_I46	-0.9241112603138921	-0.9241112603138921	-0.9241112603138921	-0.9241112603138921	-0.924111260329299	-0.9241112603238631	-0.9241112603256297	-0.9241112603200169	-0.9241112603201188	-0.9241112603201188	-0.924111260319794	-0.9241112603198457	-0.9241112603197698	-0.9241112603197698	-0.9241112603197698	-0.9241112603197698	-0.9241112603197698	-0.9241112603217227	-0.9241112603170999	-0.9241112603158281	-0.9241112603103493	-0.9241112603337777	-0.9241112603302595	-0.9241112603292203	-0.9241112603233015	-0.9241112603197298	-0.92411126032272	-0.9241112603221214	-0.9241112603221537	-0.9241112603220117	-0.9241112603211618	-0.924111260321845	-0.9241112603181625	-0.9241112603196537	-0.9241112603196487	-0.9241112603180665	-0.9241112603133727	-0.9241112603189574	-0.9241112603183407	-0.9241112603183407	PAN	Mn2+-e0
