	In	InAmount	Out	OutAmount	All	AllAmount	Type
1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
4-Hydroxybenzoate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
5-Aminolevulinate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
AMP	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Acetate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Adenosine	bc1011.bc1011	2		0	bc1011.bc1011	2	Metabolite
Ala-Ala	bc1012.bc1012.bc1015.bc1012.bc1015	5		0	bc1012.bc1012.bc1015.bc1012.bc1015	5	Metabolite
Arsenate	bc1015.bc1015	2		0	bc1015.bc1015	2	Metabolite
Arsenite	bc1015.bc1015	2		0	bc1015.bc1015	2	Metabolite
BET	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
BIOT	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
CMP	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
CO2	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Ca2+	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Chorismate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Cl-	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Co2+	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
CoA	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Cu2+	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
D-Alanine	bc1011.bc1011	2		0	bc1011.bc1011	2	Metabolite
D-Arabinose	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
D-Glucose	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	bc1012.bc1011.bc1015	3	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015bc1012.bc1011.bc1015	10	Metabolite
Deoxycytidine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Deoxyguanosine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Folate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Formate	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Fumarate	bc1012.bc1012.bc1012	3	bc1012	1	bc1012.bc1012.bc1012bc1012	4	Metabolite
GTP	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Glycerol	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Glycine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
H+	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
H2O	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
Heme	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
K+	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
L-Alanine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
L-Arginine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
L-Asparagine	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7		0	bc1011.bc1012.bc1012.bc1015.bc1012.bc1011.bc1015	7	Metabolite
