	Avg_bc1008	Var_bc1008	Avg_bc1012	Var_bc1012	Avg_bc1010	Var_bc1010	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	1.9885567358404679	0.00013019905666151622	0.0	0.0	1.9885567358404679	0.00013019905666151622	bc1008.bc1010	1		1	bc1008.bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.9942783679202339	3.2549764165379056e-05	0.0	0.0	0.9942783679202339	3.2549764165379056e-05	bc1010	1		1	bc1010	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	1.9885567358404679	0.00013019905666151622	0.0	0.0	1.9885567358404679	0.00013019905666151622	bc1010.bc1012	1		1	bc1010.bc1012	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	2.9828351037607015	0.0002929478774884228	0.0	0.0	2.9828351037607015	0.0002929478774884228	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
