	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	bc1010	L-Arginine	Microbe	-0.0665353245145314	0.0665353245145314	-1.0	0.25794442136733914	-0.25794442136733914
1	bc1001	N-Acetyl-D-glucosamine	Microbe	-0.028559360732135518	0.028559360732135518	-1.0	0.16899515002548304	-0.16899515002548304
2	bc1010	GTP	Microbe	-0.036519873631197027	0.036519873631197027	-1.0	0.19110173633747293	-0.19110173633747293
3	bc1009	CO2	Microbe	2.0116781685769234	2.0116781685769234	1.0	1.4183364088173593	1.4183364088173593
4	bc1001	L-Aspartate	Microbe	-0.05576743144181081	0.05576743144181081	-1.0	0.23615128930795784	-0.23615128930795784
5	bc1009	Deoxycytidine	Microbe	-0.003663879753492842	0.003663879753492842	-1.0	0.06052999052942964	-0.06052999052942964
6	bc1010	D-Glucose	Microbe	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
7	bc1010	4-Hydroxybenzoate	Microbe	-0.0007568346777989839	0.0007568346777989839	-1.0	0.027510628451545484	-0.027510628451545484
8	bc1010	Deoxyguanosine	Microbe	-0.0007568346777975913	0.0007568346777975913	-1.0	0.027510628451520174	-0.027510628451520174
9	D-Glucose	bc1001	Metabolite	0.277683649708704	0.277683649708704	1.0	0.5269569714015595	0.5269569714015595
10	bc1001	CO2	Microbe	2.0129397709210712	2.0129397709210712	1.0	1.4187810863276515	1.4187810863276515
11	bc1009	Pyridoxal	Microbe	-0.000703251651499841	0.000703251651499841	-1.0	0.026518892350545883	-0.026518892350545883
12	bc1009	UMP	Microbe	-0.02346663872330184	0.02346663872330184	-1.0	0.15318824603507228	-0.15318824603507228
13	bc1010	Acetate	Microbe	1.545785182895604	1.545785182895604	1.0	1.2432960962279276	1.2432960962279276
14	bc1010	dATP	Microbe	-0.0029348416328475297	0.0029348416328475297	-1.0	0.05417417865411094	-0.05417417865411094
15	bc1009	Riboflavin	Microbe	-0.0021097549549688017	0.0021097549549688017	-1.0	0.04593206891670352	-0.04593206891670352
16	bc1009	Heme	Microbe	-0.0007032516515037929	0.0007032516515037929	-1.0	0.026518892350620396	-0.026518892350620396
17	bc1001	Formate	Microbe	-0.0007792245171018526	0.0007792245171018526	-1.0	0.027914593264130726	-0.027914593264130726
18	bc1001	D-Arabinose	Microbe	-0.020835102161297206	0.020835102161297206	-1.0	0.14434369456715873	-0.14434369456715873
19	bc1001	Pyridoxal	Microbe	-0.0007792245170993398	0.0007792245170993398	-1.0	0.02791459326408572	-0.02791459326408572
20	bc1001	K+	Microbe	-0.0007792245171003466	0.0007792245171003466	-1.0	0.027914593264103754	-0.027914593264103754
21	bc1001	UMP	Microbe	-0.026001759381609944	0.026001759381609944	-1.0	0.1612506104844566	-0.1612506104844566
22	bc1009	L-Histidine	Microbe	-0.019864253766695924	0.019864253766695924	-1.0	0.14094060368359404	-0.14094060368359404
23	bc1010	L-Aspartate	Microbe	-0.054165038548835406	0.054165038548835406	-1.0	0.23273383627834482	-0.23273383627834482
24	bc1001	Heme	Microbe	-0.0007792245170977323	0.0007792245170977323	-1.0	0.027914593264056927	-0.027914593264056927
25	bc1009	L-Proline	Microbe	-0.046201129547265705	0.046201129547265705	-1.0	0.21494448015072568	-0.21494448015072568
26	bc1001	L-Histidine	Microbe	-0.02201020575752186	0.02201020575752186	-1.0	0.1483583693544852	-0.1483583693544852
27	bc1010	CMP	Microbe	-0.02268315132372412	0.02268315132372412	-1.0	0.15060926705792083	-0.15060926705792083
28	bc1010	S-Adenosyl-L-methionine	Microbe	-0.0022705040333897207	0.0022705040333897207	-1.0	0.04764980622615081	-0.04764980622615081
29	bc1009	H2O	Microbe	3.5033203240517694	3.5033203240517694	1.0	1.8717158769566948	1.8717158769566948
30	bc1001	L-Lysine	Microbe	-0.07926147129534021	0.07926147129534021	-1.0	0.28153413877421724	-0.28153413877421724
31	bc1001	TTP	Microbe	-0.0024867785933065938	0.0024867785933065938	-1.0	0.04986761066370229	-0.04986761066370229
