	Avg_bc1010	Var_bc1010	Avg_bc1001	Var_bc1001	Avg_bc1009	Var_bc1009	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.9997956166691573	4.1764008314289205e-08	0.0	0.0	0.9997956166691573	4.1764008314289205e-08	bc1010	1		1	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	1.9995912333383146	1.6705603325715682e-07	0.0	0.0	1.9995912333383146	1.6705603325715682e-07	bc1001.bc1010	1		1	bc1001.bc1010	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	2.999386850007472	3.7587607482860283e-07	0.0	0.0	2.999386850007472	3.7587607482860283e-07	bc1001.bc1009.bc1010	1		1	bc1001.bc1009.bc1010	1
