	Source	Target	SourceType	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
2	bc1010	D-Glucose	Microbe	-0.710548041566613	0.048055077815151274	0.710548041566613	-1.0	0.8429401174262695	-0.8429401174262695
20	bc1016	D-Glucose	Microbe	-0.8997281752706137	0.00904626190598955	0.8997281752706137	-1.0	0.9485400230199112	-0.9485400230199112
47	bc1010	O2	Microbe	-1.2564013942977557	0.15024817678258112	1.2564013942977557	-1.0	1.1208931234947226	-1.1208931234947226
85	O2	bc1015	Metabolite	0.06684866678309488	0.005327626947008739	0.06684866678309488	1.0	0.2585510912432877	0.2585510912432877
122	D-Glucose	bc1016	Metabolite	0.05169234171063797	2.986062742626928e-05	0.05169234171063797	1.0	0.2273594988352982	0.2273594988352982
157	bc1016	O2	Microbe	-0.020169241132041684	4.545960230583821e-06	0.020169241132041684	-1.0	0.1420184534912336	-0.1420184534912336
200	bc1011	D-Glucose	Microbe	-0.7105492893526918	0.04805453814013993	0.7105492893526918	-1.0	0.8429408575651627	-0.8429408575651627
231	O2	bc1011	Metabolite	0.0665288965552228	0.0052947493830765024	0.0665288965552228	1.0	0.2579319610967644	0.2579319610967644
240	bc1015	D-Glucose	Microbe	-0.7033552531148585	0.05107134032218939	0.7033552531148585	-1.0	0.8386627767552692	-0.8386627767552692
254	bc1011	O2	Microbe	-1.2563972345415915	0.1502449668708311	1.2563972345415915	-1.0	1.1208912679388627	-1.1208912679388627
298	bc1015	O2	Microbe	-1.2878097793632803	0.17606387578345556	1.2878097793632803	-1.0	1.134817068678155	-1.134817068678155
307	O2	bc1010	Metabolite	0.0664173763660505	0.005277013434053321	0.0664173763660505	1.0	0.25771568901805436	0.25771568901805436
311	D-Glucose	bc1011	Metabolite	0.12543048254858408	0.016575474099529402	0.12543048254858408	1.0	0.3541616616018511	0.3541616616018511
312	D-Glucose	bc1010	Metabolite	0.12522086206409835	0.016520118248469152	0.12522086206409835	1.0	0.3538655988706706	0.3538655988706706
313	D-Glucose	bc1015	Metabolite	0.11601945643629351	0.014229710085385807	0.11601945643629351	1.0	0.34061628915290226	0.34061628915290226
