	Avg_bc1001	Var_bc1001	Avg_bc1002	Var_bc1002	Avg_bc1003	Var_bc1003	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1001.bc1011	1		1	bc1001.bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Cl-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Co2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
CoA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
