	0.2694	0.2764	0.3908	0.3926	0.3936	0.3946	1.2358	Source	Target
Fumarate##bc1012##Metabolite##None	-0.8169116955427158	0.7829132233211915	0.0	0.0	0.0	0.0	0.0	Fumarate	bc1012
O2##bc1012##Metabolite##None	-1.7188195716391668	1.609282720754186	0.0	-1.609282720725605	1.5658264466136538	0.0	0.0	O2	bc1012
bc1012##L-Proline##Microbe##Fumarate_e0	0.15060148224411773	-0.14433370527564707	0.0	0.0	0.0	0.0	0.0	bc1012	L-Proline
bc1012##L-Proline##Microbe##O2_e0	0.31687240690939844	-0.29667877742209925	0.0	0.29667877741671966	-0.2886674105458877	0.0	0.0	bc1012	L-Proline
bc1012##ddca##Microbe##Fumarate_e0	0.020431449782540714	-0.019581127671021884	0.0	0.0	0.0	0.0	0.0	bc1012	ddca
bc1012##ddca##Microbe##O2_e0	0.04298870484387323	-0.04024912273186824	0.0	0.0402491227310272	-0.039162255341199076	0.0	0.0	bc1012	ddca
bc1012##Fumarate##Microbe##Fumarate_e0	2.6978419498391304e-14	0.9999999999999718	0.0	0.0	0.0	0.0	0.0	bc1012	Fumarate
bc1012##Mg##Microbe##Fumarate_e0	0.002292384237019893	-0.0021969791127833655	0.0	0.0	0.0	0.0	0.0	bc1012	Mg
bc1012##Mg##Microbe##O2_e0	0.00482328128462986	-0.004515903447206413	0.0	0.004515903447104467	-0.004393958225463493	0.0	0.0	bc1012	Mg
bc1012##L-Glutamate##Microbe##Fumarate_e0	0.20857666128176114	-0.1998960561890245	0.0	0.0	0.0	0.0	0.0	bc1012	L-Glutamate
bc1012##L-Glutamate##Microbe##O2_e0	0.43885483529535063	-0.4108875154864147	0.0	0.4108875154792366	-0.39979211237083984	0.0	0.0	bc1012	L-Glutamate
bc1012##CoA##Microbe##Fumarate_e0	0.004584768474054862	-0.004393958225582805	0.0	0.0	0.0	0.0	0.0	bc1012	CoA
bc1012##CoA##Microbe##O2_e0	0.009646562569292628	-0.009031806894447093	0.0	0.009031806894151577	-0.008787916450873031	0.0	0.0	bc1012	CoA
bc1012##O2##Microbe##O2_e0	-5.651035195342047e-14	5.162537064506978e-14	0.0	1.0891287871572786e-13	0.999999999999887	0.0	0.0	bc1012	O2
bc1012##Spermidine##Microbe##Fumarate_e0	0.0022923842370253765	-0.002196979112789095	0.0	0.0	0.0	0.0	0.0	bc1012	Spermidine
bc1012##Spermidine##Microbe##O2_e0	0.004823281284641992	-0.004515903447218729	0.0	0.004515903446877834	-0.004393958225239277	0.0	0.0	bc1012	Spermidine
bc1012##L-Leucine##Microbe##Fumarate_e0	0.30665953993182715	-0.29389689262646407	0.0	0.0	0.0	0.0	0.0	bc1012	L-Leucine
bc1012##L-Leucine##Microbe##O2_e0	0.6452256981270335	-0.6041067859101457	0.0	0.6041067858992288	-0.5877937852419555	0.0	0.0	bc1012	L-Leucine
bc1012##TRHL##Microbe##Fumarate_e0	0.04838705324848332	-0.04637326657518094	0.0	0.0	0.0	0.0	0.0	bc1012	TRHL
bc1012##TRHL##Microbe##O2_e0	0.10180857318022178	-0.09532052133158336	0.0	0.09532052132827415	-0.09274653314705032	0.0	0.0	bc1012	TRHL
bc1012##dATP##Microbe##Fumarate_e0	0.009737887280051373	-0.009332613011125812	0.0	0.0	0.0	0.0	0.0	bc1012	dATP
