	bc1003	bc1016	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
2-Oxoglutarate	0.0	0.0	0.0	bc1010.bc1016	2		0	bc1010.bc1016	2
4-Hydroxybenzoate	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
5-Aminolevulinate	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
AMP	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
ARSENOBETAINE	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
Adenine	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Ala-Ala	0.0	0.0	0.0	bc1003.bc1010	2		0	bc1003.bc1010	2
Arsenate	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
BIOT	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
CMP	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
CO2	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
Ca2+	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
Carnitine	0.0	0.0	0.0		0		0		0
Cbl	0.0	0.0	0.0		0		0		0
Chitobiose	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Chorismate	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
Citrate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Cl-	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
Co2+	0.0	0.0	0.0	bc1003.bc1010.bc1016	3		0	bc1003.bc1010.bc1016	3
