	0.0000-0.0000	0.0000-0.0806	0.0873-0.0993	0.0993-0.1103	0.1103-0.2238	0.2238-0.2317	0.2317-0.2319	0.2319-0.3330	0.3655-0.3656	0.3705-0.3747	0.4872-0.4873	0.4873-0.4920	0.4920-0.7412	0.7412-0.7416	0.7416-0.9613	0.9613-0.9613	0.9613-0.9867	0.9867-0.9892	0.9892-0.9892	0.9892-1.0076	1.0844-1.3346	1.3346-1.3930	1.3935-1.6640	1.6640-1.6640	1.7342-1.7342	1.7342-1.7345	1.7345-1.7345	1.7432-1.7436	1.7436-1.7436	1.7436-1.7527	1.7527-1.7528	1.7760-1.8084	1.8084-1.8084	1.8084-15.4168	15.4168-20.0000	Source	Target
PAN##Muribaculum_intestinale_YL27##Metabolite##None	126.68907411838202	126.6890741184173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Muribaculum_intestinale_YL27
Muribaculum_intestinale_YL27##Phosphate-e0##Microbe##PAN	-127.4577549600714	-127.4577549601063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Phosphate-e0
Muribaculum_intestinale_YL27##Mn2+-e0##Microbe##PAN	-0.9241112603261428	-0.9241112603264292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Mn2+-e0
Muribaculum_intestinale_YL27##Zn2+-e0##Microbe##PAN	-0.9241112603241213	-0.9241112603252306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Zn2+-e0
Muribaculum_intestinale_YL27##Co2+-e0##Microbe##PAN	-0.9241112603247587	-0.9241112603258432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Co2+-e0
Muribaculum_intestinale_YL27##fe3-e0##Microbe##PAN	-0.9241112603181956	-0.9241112603186425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	fe3-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Neu5Ac-e0	0.2886597938068354	-3.0000000000290843	0.0	0.0	1.9999999999938285	3.6666666666578247	6.999999999991934	4.500000000025428	-0.5000000000003223	1.9999999999969031	12.000000000067802	-1.3333333333332469	2.0000000000003215	1.999999999994531	1.9999999999946938	2.0000000000028764	2.000000000002965	12.000000000035211	1.9999999999994773	-3.000000000000063	4.500000000027068	-0.5000000000033076	1.9999999999979778	2.0000000000008917	-0.4999999999852043	1.9999999999909428	-0.4999999999841631	6.999999999830999	-8.000000000122478	2.000000000013868	2.0000000000255826	1.9999999999940448	7.000000000005771	1.9999999999982399	2.000000000006642	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##O2-e0	-1.1958762886660534	2.0000000000138187	0.17173783715732727	2.000000000003755	0.0	-0.6666666666652713	-1.9999999999983316	-1.0000000000124858	1.0000000000011282	0.0	-4.0000000000292175	1.3333333333353317	0.0	0.0	0.0	0.0	0.0	-4.000000000015932	0.0	2.0000000000027947	-1.000000000013369	1.0000000000026266	0.0	0.0	0.9999999999984471	0.0	0.9999999999980513	-1.9999999999409697	4.000000000065168	0.0	0.0	0.0	-2.0000000000071854	0.0	0.0	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Sucrose	0.26804123711267647	-1.0000000000075182	3.656524325688011	0.0	3.9999999999912834	6.666666666654616	11.999999999989196	8.00000000004301	0.0	3.9999999999959965	29.000000000150035	-0.33333333333409243	7.000000000000471	6.999999999987781	6.999999999988104	7.000000000005999	7.000000000006324	29.000000000079673	6.999999999998623	-4.000000000001509	8.000000000045542	0.0	3.999999999997774	3.9999999999976614	4.500000000010967	3.9999999999995097	4.5000000000103215	5.999999999983635	0.0	4.0000000000119655	4.000000000023391	3.999999999991451	12.000000000013383	3.9999999999980984	4.000000000011083	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Folate	-4.883161512033121	-6.000000000014051	-6.570655407108683	-2.0000000000146807	-1.6666666666560084	-1.1111111110902918	-1.999999999981016	-0.3333333333353964	-2.999999999998411	-1.6666666666753633	-10.333333333370344	-4.999999999998564	-6.333333333332889	-6.333333333330618	-6.333333333330801	-6.333333333333811	-6.3333333333339965	-10.33333333334863	-8.33333333333037	-7.33333333332465	-0.33333333331647463	-5.000000000000179	-2.666666666671606	-2.666666666660154	-13.499999999953086	-2.6666666667027163	-13.499999999948614	14.333333332672222	-36.66666666693508	-2.6666666666301744	-2.6666666666003174	-2.6666666666779033	4.99999999999775	-2.666666666671855	-2.666666666656348	Muribaculum_intestinale_YL27	H+-e0
