	0.5555	Source	Target
O2##bc1015##Metabolite##None	1.5379899521223486	O2	bc1015
bc1015##O2##Microbe##O2_e0	0.9999999999998326	bc1015	O2
bc1015##Mg##Microbe##O2_e0	-0.004315844591581179	bc1015	Mg
bc1015##NH3##Microbe##O2_e0	0.021579222957600147	bc1015	NH3
bc1015##AMP##Microbe##O2_e0	-0.16513333112874018	bc1015	AMP
bc1015##L-Asparagine##Microbe##O2_e0	-0.30887576313245746	bc1015	L-Asparagine
bc1015##4-Hydroxybenzoate##Microbe##O2_e0	-0.004315844590588679	bc1015	4-Hydroxybenzoate
bc1015##N-Acetyl-D-glucosamine##Microbe##O2_e0	-0.15818003649562162	bc1015	N-Acetyl-D-glucosamine
bc1015##ddca##Microbe##O2_e0	-0.10048096453233524	bc1015	ddca
bc1015##L-Isoleucine##Microbe##O2_e0	-0.37188367933686167	bc1015	L-Isoleucine
bc1015##CoA##Microbe##O2_e0	-0.008631689182688586	bc1015	CoA
bc1015##L-Glutamine##Microbe##O2_e0	-0.3283236887796623	bc1015	L-Glutamine
bc1015##BET##Microbe##O2_e0	-0.008631689182202978	bc1015	BET
bc1015##Glycine##Microbe##O2_e0	-0.7712270755091554	bc1015	Glycine
bc1015##dGTP##Microbe##O2_e0	-0.018169329221125387	bc1015	dGTP
bc1015##fe3##Microbe##O2_e0	-0.012947533774278602	bc1015	fe3
bc1015##Arsenate##Microbe##O2_e0	0.0021579222958096893	bc1015	Arsenate
bc1015##meso-2,6-Diaminopimelate##Microbe##O2_e0	-0.03846604797594522	bc1015	meso-2,6-Diaminopimelate
bc1015##Deoxycytidine##Microbe##O2_e0	-0.02248517381270255	bc1015	Deoxycytidine
bc1015##D-Glucose##Microbe##O2_e0	0.0	bc1015	D-Glucose
bc1015##Heme##Microbe##O2_e0	-0.004315844591568256	bc1015	Heme
bc1015##Nicotinamide ribonucleotide##Microbe##O2_e0	-0.004315844591486934	bc1015	Nicotinamide ribonucleotide
bc1015##Mn2+##Microbe##O2_e0	-0.0043158445914850685	bc1015	Mn2+
bc1015##Co2+##Microbe##O2_e0	-0.004315844591569481	bc1015	Co2+
bc1015##L-Glutamate##Microbe##O2_e0	-0.39268480430443486	bc1015	L-Glutamate
bc1015##L-Serine##Microbe##O2_e0	-0.3282191398908472	bc1015	L-Serine
bc1015##Ala-Ala##Microbe##O2_e0	-0.038466047975937265	bc1015	Ala-Ala
bc1015##Thiamin##Microbe##O2_e0	-0.004315844591411506	bc1015	Thiamin
bc1015##Spermidine##Microbe##O2_e0	-0.004315844591530022	bc1015	Spermidine
