	0.0000-0.0000	0.0000-0.0012	0.0012-0.0728	0.0728-0.0822	0.0822-0.0987	0.0987-0.0988	0.0988-0.1046	0.1046-0.2040	0.2040-0.2041	0.2041-0.2042	0.2042-0.2043	0.2043-0.2109	0.2118-0.2367	0.2367-0.2420	0.2420-0.2420	0.2420-0.2421	0.2421-6.4287	6.4287-20.0000	Source	Target
PAN##Phosphate-e0##Bacteroides_caecimuris_I48	-127.457754958994	-127.457754958994	-127.45775495904458	-127.45775495743553	-127.45775495759854	-127.45775496012031	-127.45775495826253	-127.45775495858668	-127.45775495889272	-127.45775495943232	-127.4577549592358	-127.45775495820499	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
PAN##Mn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603169239	-0.9241112603169239	-0.9241112603172033	-0.9241112603035079	-0.924111260305446	-0.9241112603258625	-0.9241112603096435	-0.9241112603124714	-0.9241112603146683	-0.9241112603202706	-0.9241112603188851	-0.9241112603094408	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603160194	-0.9241112603160194	-0.924111260316379	-0.9241112603021882	-0.9241112603042638	-0.9241112603269184	-0.92411126030854	-0.9241112603111966	-0.9241112603137551	-0.9241112603211681	-0.9241112603183497	-0.9241112603079801	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Zn2+-e0
PAN##Sulfate-e0##Bacteroides_caecimuris_I48	-0.9241112602928861	-0.9241112602928861	-0.9241112602466104	-0.9241112594587622	-0.9241112597365844	-0.9241112606521986	-0.9241112594827902	-0.9241112595601366	-0.9241112597085164	-0.9241112603740914	-0.9241112601489692	-0.9241112594684827	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Sulfate-e0
PAN##Co2+-e0##Bacteroides_caecimuris_I48	-0.9241112603165806	-0.9241112603165806	-0.9241112603171772	-0.9241112603011641	-0.9241112603034224	-0.9241112603277745	-0.9241112603081322	-0.9241112603111696	-0.9241112603147742	-0.9241112603215464	-0.9241112603187486	-0.9241112603074889	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Co2+-e0
Spermidine-e0##Spermidine-e0##Bacteroides_caecimuris_I48	-1.0000000000000022	-1.0000000000000022	-1.0000000000000002	-0.9999999999999987	-1.0	-1.0000000000000004	-1.0	-0.9999999999999991	-1.0000000000000009	-1.0000000000000004	-0.9999999999999988	-1.0000000000000002	-0.9999999999999992	-0.9999999999999988	-0.9999999999999987	-0.9999999999999997	-0.9999999999999992	-0.9999999999999994	Spermidine-e0	Spermidine-e0
PAN##fe3-e0##Bacteroides_caecimuris_I48	-0.9241112603157624	-0.9241112603157624	-0.9241112602980421	-0.9241112599924491	-0.9241112600949348	-0.9241112604638944	-0.9241112599901035	-0.9241112600179611	-0.9241112600921967	-0.9241112603586985	-0.924111260269956	-0.9241112599815072	0.0	0.0	0.0	0.0	0.0	0.0	PAN	fe3-e0
Spermidine-e0##H+-e0##Bacteroides_caecimuris_I48	4.000000000007177	4.000000000007177	4.000000000002795	5.6666666666626355	5.666666666661936	5.00000000001017	5.999999999982853	5.999999999984865	5.222222222232409	5.00000000001405	5.000000000016296	5.888888888888366	5.504964835861886	5.133333333336953	5.666666666677745	5.500000000007997	5.666666666680951	5.666666666682325	Spermidine-e0	H+-e0
O2-e0##H+-e0##Bacteroides_caecimuris_I48	2.0000000000224594	2.0000000000224594	2.0000000000149396	0.0	0.0	2.00000000003224	-1.0000000000040061	-1.0000000000090707	1.3333333333434667	2.0000000000272964	2.000000000024426	-0.6666666666633878	0.48510549244821594	1.6000000000041217	0.0	0.5000000000061874	0.0	0.0	O2-e0	H+-e0
Folate##H+-e0##Bacteroides_caecimuris_I48	-3.9999999999889977	-3.9999999999889977	-3.999999999985141	-1.666666666687269	-1.6666666666879482	-10.000000000086189	2.499999999983781	2.4999999999994067	-7.2222222222245005	-10.00000000004971	-10.000000000041029	1.1111111111043857	-3.687939551835151	-8.333333333326518	-1.6666666666484051	-3.7499999999966285	-1.6666666666300782	-2.6476704646684164	Folate	H+-e0
