	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
9	PAN	Phosphate-e0	Muribaculum_intestinale_YL27	-127.45775496010481	127.45775496010481	-1.0	11.289718993850325	-11.289718993850325
13	PAN	Mn2+-e0	Muribaculum_intestinale_YL27	-0.9241112603263472	0.9241112603263472	-1.0	0.9613070582942513	-0.9613070582942513
15	PAN	Zn2+-e0	Muribaculum_intestinale_YL27	-0.9241112603251546	0.9241112603251546	-1.0	0.9613070582936311	-0.9613070582936311
17	PAN	Co2+-e0	Muribaculum_intestinale_YL27	-0.9241112603253675	0.9241112603253675	-1.0	0.9613070582937419	-0.9613070582937419
26	PAN	fe3-e0	Muribaculum_intestinale_YL27	-0.9241112603247145	0.9241112603247145	-1.0	0.9613070582934021	-0.9613070582934021
33	Neu5Ac-e0	H+-e0	Muribaculum_intestinale_YL27	-3.0000000000271725	3.0000000000271725	-1.0	1.7320508075767214	-1.7320508075767214
44	O2-e0	H+-e0	Muribaculum_intestinale_YL27	2.000000000011615	2.000000000011615	1.0	1.4142135623772016	1.4142135623772016
48	Sucrose	H+-e0	Muribaculum_intestinale_YL27	-1.000000000007438	1.000000000007438	-1.0	1.000000000003719	-1.000000000003719
49	Folate	H+-e0	Muribaculum_intestinale_YL27	-6.000000000012509	6.000000000012509	-1.0	2.4494897427857314	-2.4494897427857314
50	Riboflavin	H+-e0	Muribaculum_intestinale_YL27	-3.9999999999924256	3.9999999999924256	-1.0	1.9999999999981064	-1.9999999999981064
51	PAN	H+-e0	Muribaculum_intestinale_YL27	1859.712946506979	1859.712946506979	1.0	43.12438923053843	43.12438923053843
71	Neu5Ac-e0	L-Aspartate-e0	Muribaculum_intestinale_YL27	3.0000000000240634	3.0000000000240634	1.0	1.7320508075758239	1.7320508075758239
89	Sucrose	L-Aspartate-e0	Muribaculum_intestinale_YL27	1.0000000000063498	1.0000000000063498	1.0	1.0000000000031748	1.0000000000031748
90	Folate	L-Aspartate-e0	Muribaculum_intestinale_YL27	5.000000000010956	5.000000000010956	1.0	2.2360679775022394	2.2360679775022394
91	Riboflavin	L-Aspartate-e0	Muribaculum_intestinale_YL27	0.9999999999936676	0.9999999999936676	1.0	0.9999999999968338	0.9999999999968338
92	PAN	L-Aspartate-e0	Muribaculum_intestinale_YL27	-1774.9224647759077	1774.9224647759077	-1.0	42.12982868201469	-42.12982868201469
103	PAN	L-Cysteine-e0	Muribaculum_intestinale_YL27	-13.013505963551726	13.013505963551726	-1.0	3.6074237294157343	-3.6074237294157343
113	PAN	L-Histidine-e0	Muribaculum_intestinale_YL27	-11.393282031294557	11.393282031294557	-1.0	3.3753936113132874	-3.3753936113132874
123	PAN	L-Arginine-e0	Muribaculum_intestinale_YL27	-36.57235834213837	36.57235834213837	-1.0	6.0475084408488735	-6.0475084408488735
133	PAN	L-Lysine-e0	Muribaculum_intestinale_YL27	-41.26899935778093	41.26899935778093	-1.0	6.4240952170543775	-6.4240952170543775
145	Folate	Inosine-e0	Muribaculum_intestinale_YL27	1.0000000000003892	1.0000000000003892	1.0	1.0000000000001945	1.0000000000001945
146	Riboflavin	Inosine-e0	Muribaculum_intestinale_YL27	0.9999999999997535	0.9999999999997535	1.0	0.9999999999998768	0.9999999999998768
147	PAN	Inosine-e0	Muribaculum_intestinale_YL27	-60.084785614415274	60.084785614415274	-1.0	7.751437648231151	-7.751437648231151
154	Neu5Ac-e0	NH3-e0	Muribaculum_intestinale_YL27	-2.0000000000197735	2.0000000000197735	-1.0	1.414213562380086	-1.414213562380086
172	Sucrose	NH3-e0	Muribaculum_intestinale_YL27	-1.0000000000052027	1.0000000000052027	-1.0	1.0000000000026013	-1.0000000000026013
173	Folate	NH3-e0	Muribaculum_intestinale_YL27	-6.000000000008843	6.000000000008843	-1.0	2.449489742784983	-2.449489742784983
174	Riboflavin	NH3-e0	Muribaculum_intestinale_YL27	-2.9999999999947566	2.9999999999947566	-1.0	1.7320508075673637	-1.7320508075673637
175	PAN	NH3-e0	Muribaculum_intestinale_YL27	1443.5502469835358	1443.5502469835358	1.0	37.9940817362854	37.9940817362854
178	Neu5Ac-e0	Neu5Ac-e0	Muribaculum_intestinale_YL27	-1.0	1.0	-1.0	1.0	-1.0
184	Neu5Ac-e0	Acetate-e0	Muribaculum_intestinale_YL27	-1.0000000000254434	1.0000000000254434	-1.0	1.0000000000127216	-1.0000000000127216
196	O2-e0	Acetate-e0	Muribaculum_intestinale_YL27	2.0000000000104197	2.0000000000104197	1.0	1.4142135623767789	1.4142135623767789
200	Sucrose	Acetate-e0	Muribaculum_intestinale_YL27	-1.0000000000068168	1.0000000000068168	-1.0	1.0000000000034084	-1.0000000000034084
201	Folate	Acetate-e0	Muribaculum_intestinale_YL27	-2.0000000000115223	2.0000000000115223	-1.0	1.4142135623771688	-1.4142135623771688
202	PAN	Acetate-e0	Muribaculum_intestinale_YL27	1822.2495611094205	1822.2495611094205	1.0	42.687815136282396	42.687815136282396
207	PAN	Ca2+-e0	Muribaculum_intestinale_YL27	-0.9241112603260722	0.9241112603260722	-1.0	0.9613070582941083	-0.9613070582941083
209	PAN	Cu2+-e0	Muribaculum_intestinale_YL27	-0.9241112603270489	0.9241112603270489	-1.0	0.9613070582946164	-0.9613070582946164
218	PAN	Fe2+-e0	Muribaculum_intestinale_YL27	-1.924111260328974	1.924111260328974	-1.0	1.3871233760300394	-1.3871233760300394
230	PAN	Galactose-e0	Muribaculum_intestinale_YL27	-6.992697026155155	6.992697026155155	-1.0	2.6443708185795645	-2.6443708185795645
