	0.78665	1.169	1.77515	Source	Target
bc1001##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	0.14391123	0.07226346	2.57e-06	bc1001	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1001##Metabolite	-0.14391123	-0.07226346	-2.57e-06	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1001
bc1001##4-Hydroxybenzoate##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	4-Hydroxybenzoate	bc1001
bc1001##5-Aminolevulinate##Microbe	0.02593247	0.013021709999999999	4.6e-07	bc1001	5-Aminolevulinate
5-Aminolevulinate##bc1001##Metabolite	-0.02593247	-0.013021709999999999	-4.6e-07	5-Aminolevulinate	bc1001
bc1001##AMP##Microbe	0.08958944000000002	0.04498636	1.6e-06	bc1001	AMP
AMP##bc1001##Metabolite	-0.08958944000000002	-0.04498636	-1.6e-06	AMP	bc1001
bc1001##Acetate##Microbe	-6.739728469999999	-3.38428173	-0.00012014000000000001	bc1001	Acetate
bc1001##Adenosine##Microbe	0.03443942999999999	0.01729339	6.1e-07	bc1001	Adenosine
Adenosine##bc1001##Metabolite	-0.03443942999999999	-0.01729339	-6.1e-07	Adenosine	bc1001
bc1001##Ala-Ala##Microbe	0.0288912	0.0145074	5.2e-07	bc1001	Ala-Ala
Ala-Ala##bc1001##Metabolite	-0.0288912	-0.0145074	-5.2e-07	Ala-Ala	bc1001
bc1001##BET##Microbe	0.00648312	0.0032554199999999998	1.2e-07	bc1001	BET
BET##bc1001##Metabolite	-0.00648312	-0.0032554199999999998	-1.2e-07	BET	bc1001
bc1001##BIOT##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	BIOT
BIOT##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	BIOT	bc1001
bc1001##CMP##Microbe	0.09715300000000002	0.04878433	1.73e-06	bc1001	CMP
CMP##bc1001##Metabolite	-0.09715300000000002	-0.04878433	-1.73e-06	CMP	bc1001
bc1001##CO2##Microbe	-8.37378899	-4.204807550000001	-0.00014927	bc1001	CO2
bc1001##Ca2+##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Ca2+
Ca2+##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Ca2+	bc1001
bc1001##Chorismate##Microbe	0.00648312	0.0032554199999999998	1.2e-07	bc1001	Chorismate
Chorismate##bc1001##Metabolite	-0.00648312	-0.0032554199999999998	-1.2e-07	Chorismate	bc1001
bc1001##Cl-##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Cl-
Cl-##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Cl-	bc1001
bc1001##Co2+##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Co2+
Co2+##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Co2+	bc1001
bc1001##CoA##Microbe	0.00648312	0.0032554199999999998	1.2e-07	bc1001	CoA
CoA##bc1001##Metabolite	-0.00648312	-0.0032554199999999998	-1.2e-07	CoA	bc1001
bc1001##Cu2+##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Cu2+
Cu2+##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Cu2+	bc1001
bc1001##D-Arabinose##Microbe	0.08667361000000001	0.04352221	1.55e-06	bc1001	D-Arabinose
D-Arabinose##bc1001##Metabolite	-0.08667361000000001	-0.04352221	-1.55e-06	D-Arabinose	bc1001
bc1001##D-Glucose##Microbe	4.1599799	2.0888889	7.415e-05	bc1001	D-Glucose
D-Glucose##bc1001##Metabolite	-4.1599799	-2.0888889	-7.415e-05	D-Glucose	bc1001
bc1001##Deoxycytidine##Microbe	0.02665945	0.01338675	4.8e-07	bc1001	Deoxycytidine
Deoxycytidine##bc1001##Metabolite	-0.02665945	-0.01338675	-4.8e-07	Deoxycytidine	bc1001
bc1001##Deoxyguanosine##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Deoxyguanosine
Deoxyguanosine##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Deoxyguanosine	bc1001
bc1001##Folate##Microbe	0.00972468	0.00488314	1.7e-07	bc1001	Folate
Folate##bc1001##Metabolite	-0.00972468	-0.00488314	-1.7e-07	Folate	bc1001
bc1001##Formate##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Formate
Formate##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Formate	bc1001
bc1001##GTP##Microbe	0.15641633	0.07854276	2.79e-06	bc1001	GTP
GTP##bc1001##Metabolite	-0.15641633	-0.07854276	-2.79e-06	GTP	bc1001
bc1001##Glycerol##Microbe	0.07195561	0.03613174	1.28e-06	bc1001	Glycerol
Glycerol##bc1001##Metabolite	-0.07195561	-0.03613174	-1.28e-06	Glycerol	bc1001
bc1001##Glycine##Microbe	0.5792556900000001	0.29086698	1.033e-05	bc1001	Glycine
Glycine##bc1001##Metabolite	-0.5792556900000001	-0.29086698	-1.033e-05	Glycine	bc1001
bc1001##H+##Microbe	-5.93926564	-2.98233798	-0.00010587	bc1001	H+
bc1001##H2O##Microbe	-15.302290150000001	-7.68387944	-0.00027278000000000003	bc1001	H2O
bc1001##Heme##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Heme
Heme##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Heme	bc1001
bc1001##K+##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	K+
K+##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	K+	bc1001
bc1001##L-Alanine##Microbe	0.5232231900000001	0.26273087	9.33e-06	bc1001	L-Alanine
L-Alanine##bc1001##Metabolite	-0.5232231900000001	-0.26273087	-9.33e-06	L-Alanine	bc1001
bc1001##L-Arginine##Microbe	0.28497391000000005	0.14309656	5.08e-06	bc1001	L-Arginine
L-Arginine##bc1001##Metabolite	-0.28497391000000005	-0.14309656	-5.08e-06	L-Arginine	bc1001
bc1001##L-Asparagine##Microbe	0.23199140000000001	0.11649196	4.14e-06	bc1001	L-Asparagine
L-Asparagine##bc1001##Metabolite	-0.23199140000000001	-0.11649196	-4.14e-06	L-Asparagine	bc1001
bc1001##L-Aspartate##Microbe	0.23199140000000001	0.11649196	4.14e-06	bc1001	L-Aspartate
L-Aspartate##bc1001##Metabolite	-0.23199140000000001	-0.11649196	-4.14e-06	L-Aspartate	bc1001
bc1001##L-Cysteine##Microbe	0.08796126000000001	0.04416879	1.57e-06	bc1001	L-Cysteine
L-Cysteine##bc1001##Metabolite	-0.08796126000000001	-0.04416879	-1.57e-06	L-Cysteine	bc1001
bc1001##L-Glutamate##Microbe	0.29493896	0.1481004	5.26e-06	bc1001	L-Glutamate
L-Glutamate##bc1001##Metabolite	-0.29493896	-0.1481004	-5.26e-06	L-Glutamate	bc1001
bc1001##L-Glutamine##Microbe	0.2465984	0.12382672	4.4e-06	bc1001	L-Glutamine
L-Glutamine##bc1001##Metabolite	-0.2465984	-0.12382672	-4.4e-06	L-Glutamine	bc1001
bc1001##L-Histidine##Microbe	0.09156201	0.04597688	1.63e-06	bc1001	L-Histidine
L-Histidine##bc1001##Metabolite	-0.09156201	-0.04597688	-1.63e-06	L-Histidine	bc1001
bc1001##L-Isoleucine##Microbe	0.27931558	0.1402553	4.98e-06	bc1001	L-Isoleucine
L-Isoleucine##bc1001##Metabolite	-0.27931558	-0.1402553	-4.98e-06	L-Isoleucine	bc1001
bc1001##L-Leucine##Microbe	0.43363357999999996	0.21774441	7.73e-06	bc1001	L-Leucine
L-Leucine##bc1001##Metabolite	-0.43363357999999996	-0.21774441	-7.73e-06	L-Leucine	bc1001
bc1001##L-Lysine##Microbe	0.32972612	0.16556841	5.88e-06	bc1001	L-Lysine
L-Lysine##bc1001##Metabolite	-0.32972612	-0.16556841	-5.88e-06	L-Lysine	bc1001
bc1001##L-Methionine##Microbe	0.14114777	0.07087581999999999	2.52e-06	bc1001	L-Methionine
L-Methionine##bc1001##Metabolite	-0.14114777	-0.07087581999999999	-2.52e-06	L-Methionine	bc1001
bc1001##L-Phenylalanine##Microbe	0.17849447999999996	0.08962908	3.18e-06	bc1001	L-Phenylalanine
L-Phenylalanine##bc1001##Metabolite	-0.17849447999999996	-0.08962908	-3.18e-06	L-Phenylalanine	bc1001
bc1001##L-Proline##Microbe	0.21295883999999998	0.10693497	3.8e-06	bc1001	L-Proline
L-Proline##bc1001##Metabolite	-0.21295883999999998	-0.10693497	-3.8e-06	L-Proline	bc1001
bc1001##L-Serine##Microbe	0.24651987999999997	0.12378729	4.39e-06	bc1001	L-Serine
L-Serine##bc1001##Metabolite	-0.24651987999999997	-0.12378729	-4.39e-06	L-Serine	bc1001
bc1001##L-Threonine##Microbe	0.24382244000000003	0.1224328	4.35e-06	bc1001	L-Threonine
L-Threonine##bc1001##Metabolite	-0.24382244000000003	-0.1224328	-4.35e-06	L-Threonine	bc1001
bc1001##L-Tryptophan##Microbe	0.05452569	0.02737949	9.7e-07	bc1001	L-Tryptophan
L-Tryptophan##bc1001##Metabolite	-0.05452569	-0.02737949	-9.7e-07	L-Tryptophan	bc1001
bc1001##L-Tyrosine##Microbe	0.13940059	0.0699985	2.49e-06	bc1001	L-Tyrosine
L-Tyrosine##bc1001##Metabolite	-0.13940059	-0.0699985	-2.49e-06	L-Tyrosine	bc1001
bc1001##L-Valine##Microbe	0.40688513	0.20431297	7.25e-06	bc1001	L-Valine
L-Valine##bc1001##Metabolite	-0.40688513	-0.20431297	-7.25e-06	L-Valine	bc1001
bc1001##Mg##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Mg
Mg##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Mg	bc1001
bc1001##Mn2+##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Mn2+
Mn2+##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Mn2+	bc1001
bc1001##Myristic acid##Microbe	0.08720117	0.04378713	1.55e-06	bc1001	Myristic acid
Myristic acid##bc1001##Metabolite	-0.08720117	-0.04378713	-1.55e-06	Myristic acid	bc1001
bc1001##N-Acetyl-D-glucosamine##Microbe	0.11880637	0.05965733	2.12e-06	bc1001	N-Acetyl-D-glucosamine
N-Acetyl-D-glucosamine##bc1001##Metabolite	-0.11880637	-0.05965733	-2.12e-06	N-Acetyl-D-glucosamine	bc1001
bc1001##NADP##Microbe	0.00648312	0.0032554199999999998	1.2e-07	bc1001	NADP
NADP##bc1001##Metabolite	-0.00648312	-0.0032554199999999998	-1.2e-07	NADP	bc1001
bc1001##Niacin##Microbe	-0.00324156	-0.0016277099999999999	-6e-08	bc1001	Niacin
bc1001##Nicotinamide ribonucleotide##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Nicotinamide ribonucleotide
Nicotinamide ribonucleotide##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Nicotinamide ribonucleotide	bc1001
bc1001##Nitrite##Microbe	-0.01620779	-0.00813857	-2.9e-07	bc1001	Nitrite
bc1001##O2##Microbe	7.58170144	3.80706935	0.00013515	bc1001	O2
O2##bc1001##Metabolite	-7.58170144	-3.80706935	-0.00013515	O2	bc1001
bc1001##Oxidized glutathione##Microbe	0.0016207700000000001	0.0008138599999999999	3e-08	bc1001	Oxidized glutathione
Oxidized glutathione##bc1001##Metabolite	-0.0016207700000000001	-0.0008138599999999999	-3e-08	Oxidized glutathione	bc1001
bc1001##Putrescine##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Putrescine
Putrescine##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Putrescine	bc1001
bc1001##Pyridoxal##Microbe	0.00324156	0.0016277099999999999	6e-08	bc1001	Pyridoxal
Pyridoxal##bc1001##Metabolite	-0.00324156	-0.0016277099999999999	-6e-08	Pyridoxal	bc1001
bc1001##Riboflavin##Microbe	0.00972468	0.00488314	1.7e-07	bc1001	Riboflavin
