	Avg_bc1011	Var_bc1011	Avg_bc1012	Var_bc1012	Avg_bc1015	Var_bc1015	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.992689162357488	5.331809630602796e-05	0.0	0.0	2.992689162357488	5.331809630602796e-05	bc1011.bc1012.bc1015	1		1	bc1011.bc1012.bc1015	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.992689162357488	5.331809630602796e-05	0.0	0.0	2.992689162357488	5.331809630602796e-05	bc1011.bc1012.bc1015	1		1	bc1011.bc1012.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.992689162357488	5.331809630602796e-05	0.0	0.0	2.992689162357488	5.331809630602796e-05	bc1011.bc1012.bc1015	1		1	bc1011.bc1012.bc1015	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.992689162357488	5.331809630602796e-05	0.0	0.0	2.992689162357488	5.331809630602796e-05	bc1011.bc1012.bc1015	1		1	bc1011.bc1012.bc1015	1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.992689162357488	5.331809630602796e-05	0.0	0.0	2.992689162357488	5.331809630602796e-05	bc1011.bc1012.bc1015	1		1	bc1011.bc1012.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.9975630541191627	5.924232922891635e-06	0.0	0.0	0.9975630541191627	5.924232922891635e-06	bc1011	1		1	bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	1.9951261082383254	2.369693169156654e-05	0.0	0.0	1.9951261082383254	2.369693169156654e-05	bc1012.bc1015	1		1	bc1012.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.9975630541191627	5.924232922891635e-06	0.0	0.0	0.9975630541191627	5.924232922891635e-06	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.9975630541191627	5.924232922891635e-06	0.0	0.0	0.9975630541191627	5.924232922891635e-06	bc1015	1		1	bc1015	1
