	0.1302	0.26470000000000005	0.2707	0.3206	0.3723	0.7894000000000001	1.6015000000000001	Source	Target
bc1008##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.65083152	-0.30686499	-0.27035913	-0.12258189	-0.04445679	-2.58e-06	0.0	bc1008	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1008##Metabolite	0.65083152	0.30686499	0.27035913	0.12258189	0.04445679	2.58e-06	0.0	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1008
bc1008##2-Oxoglutarate##Microbe	-0.02931958	-0.01382409	-0.01217952	-0.00552224	-0.00200275	-1.2e-07	0.0	bc1008	2-Oxoglutarate
2-Oxoglutarate##bc1008##Metabolite	0.02931958	0.01382409	0.01217952	0.00552224	0.00200275	1.2e-07	0.0	2-Oxoglutarate	bc1008
bc1008##4-Hydroxybenzoate##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	4-Hydroxybenzoate	bc1008
bc1008##5-Aminolevulinate##Microbe	-0.11727832	-0.05529635	-0.04871808	-0.02208897	-0.00801101	-4.7e-07	0.0	bc1008	5-Aminolevulinate
5-Aminolevulinate##bc1008##Metabolite	0.11727832	0.05529635	0.04871808	0.02208897	0.00801101	4.7e-07	0.0	5-Aminolevulinate	bc1008
bc1008##AMP##Microbe	-0.55358462	-0.26101339	-0.22996222	-0.10426577	-0.03781408	-2.2e-06	0.0	bc1008	AMP
AMP##bc1008##Metabolite	0.55358462	0.26101339	0.22996222	0.10426577	0.03781408	2.2e-06	0.0	AMP	bc1008
bc1008##Acetate##Microbe	136.0731124	64.15803938	56.52554881	25.62890543	9.29483858	0.00053988	-2.1e-07	bc1008	Acetate
bc1008##BET##Microbe	-0.02931958	-0.01382409	-0.01217952	-0.00552224	-0.00200275	-1.2e-07	0.0	bc1008	BET
BET##bc1008##Metabolite	0.02931958	0.01382409	0.01217952	0.00552224	0.00200275	1.2e-07	0.0	BET	bc1008
bc1008##BIOT##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	BIOT
BIOT##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	BIOT	bc1008
bc1008##CMP##Microbe	-0.12438457	-0.05864693	-0.05167006	-0.02342741	-0.00849642	-4.9e-07	0.0	bc1008	CMP
CMP##bc1008##Metabolite	0.12438457	0.05864693	0.05167006	0.02342741	0.00849642	4.9e-07	0.0	CMP	bc1008
bc1008##CO2##Microbe	2.71705306	1.28108187	1.12867938	0.51174765	0.18559559	1.078e-05	0.0	bc1008	CO2
bc1008##Ca2+##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Ca2+
Ca2+##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Ca2+	bc1008
bc1008##Chitobiose##Microbe	-0.268648	-0.12666668	-0.11159792	-0.05059893	-0.01835072	-1.07e-06	0.0	bc1008	Chitobiose
Chitobiose##bc1008##Metabolite	0.268648	0.12666668	0.11159792	0.05059893	0.01835072	1.07e-06	0.0	Chitobiose	bc1008
bc1008##Chorismate##Microbe	-0.02931958	-0.01382409	-0.01217952	-0.00552224	-0.00200275	-1.2e-07	0.0	bc1008	Chorismate
Chorismate##bc1008##Metabolite	0.02931958	0.01382409	0.01217952	0.00552224	0.00200275	1.2e-07	0.0	Chorismate	bc1008
bc1008##Citrate##Microbe	-0.65329527	-0.30802664	-0.27138259	-0.12304593	-0.04462508	-2.59e-06	0.0	bc1008	Citrate
Citrate##bc1008##Metabolite	0.65329527	0.30802664	0.27138259	0.12304593	0.04462508	2.59e-06	0.0	Citrate	bc1008
bc1008##Cl-##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Cl-
Cl-##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Cl-	bc1008
bc1008##Co2+##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Co2+
Co2+##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Co2+	bc1008
bc1008##CoA##Microbe	-0.02931958	-0.01382409	-0.01217952	-0.00552224	-0.00200275	-1.2e-07	0.0	bc1008	CoA
CoA##bc1008##Metabolite	0.02931958	0.01382409	0.01217952	0.00552224	0.00200275	1.2e-07	0.0	CoA	bc1008
bc1008##Cu2+##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Cu2+
Cu2+##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Cu2+	bc1008
bc1008##Cytidine##Microbe	-0.31498513	-0.14851449	-0.13084662	-0.05932637	-0.0215159	-1.25e-06	0.0	bc1008	Cytidine
Cytidine##bc1008##Metabolite	0.31498513	0.14851449	0.13084662	0.05932637	0.0215159	1.25e-06	0.0	Cytidine	bc1008
bc1008##D-Alanine##Microbe	-0.26131811	-0.12321066	-0.10855304	-0.04921837	-0.01785003	-1.04e-06	0.0	bc1008	D-Alanine
D-Alanine##bc1008##Metabolite	0.26131811	0.12321066	0.10855304	0.04921837	0.01785003	1.04e-06	0.0	D-Alanine	bc1008
bc1008##D-Arabinose##Microbe	-0.39197716	-0.18481598	-0.16282955	-0.07382756	-0.02677505	-1.56e-06	0.0	bc1008	D-Arabinose
D-Arabinose##bc1008##Metabolite	0.39197716	0.18481598	0.16282955	0.07382756	0.02677505	1.56e-06	0.0	D-Arabinose	bc1008
bc1008##D-Glucose##Microbe	-90.92860944	-42.87254993	-37.77226419	-17.12609267	-6.21112233	-0.00036076	1.4e-07	bc1008	D-Glucose
D-Glucose##bc1008##Metabolite	90.92860944	42.87254993	37.77226419	17.12609267	6.21112233	0.00036076	0.0	D-Glucose	bc1008
bc1008##Deoxycytidine##Microbe	-0.06310687	-0.02975469	-0.02621496	-0.01188596	-0.00431068	-2.5e-07	0.0	bc1008	Deoxycytidine
Deoxycytidine##bc1008##Metabolite	0.06310687	0.02975469	0.02621496	0.01188596	0.00431068	2.5e-07	0.0	Deoxycytidine	bc1008
bc1008##Folate##Microbe	-0.04397937	-0.02073613	-0.01826928	-0.00828336	-0.00300413	-1.7e-07	0.0	bc1008	Folate
Folate##bc1008##Metabolite	0.04397937	0.02073613	0.01826928	0.00828336	0.00300413	1.7e-07	0.0	Folate	bc1008
bc1008##Formate##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Formate
Formate##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Formate	bc1008
bc1008##Fumarate##Microbe	-0.3132669	-0.14770435	-0.13013286	-0.05900275	-0.02139853	-1.24e-06	0.0	bc1008	Fumarate
Fumarate##bc1008##Metabolite	0.3132669	0.14770435	0.13013286	0.05900275	0.02139853	1.24e-06	0.0	Fumarate	bc1008
bc1008##GTP##Microbe	-0.72204501	-0.34044192	-0.29994162	-0.13599471	-0.04932122	-2.86e-06	0.0	bc1008	GTP
GTP##bc1008##Metabolite	0.72204501	0.34044192	0.29994162	0.13599471	0.04932122	2.86e-06	0.0	GTP	bc1008
bc1008##Glucose-1-phosphate##Microbe	-0.34386022	-0.162129	-0.1428415	-0.0647649	-0.02348829	-1.36e-06	0.0	bc1008	Glucose-1-phosphate
Glucose-1-phosphate##bc1008##Metabolite	0.34386022	0.162129	0.1428415	0.0647649	0.02348829	1.36e-06	0.0	Glucose-1-phosphate	bc1008
bc1008##Glycerol##Microbe	-0.32541576	-0.15343249	-0.13517957	-0.06129095	-0.0222284	-1.29e-06	0.0	bc1008	Glycerol
Glycerol##bc1008##Metabolite	0.32541576	0.15343249	0.13517957	0.06129095	0.0222284	1.29e-06	0.0	Glycerol	bc1008
bc1008##Glycine##Microbe	-2.61965565	-1.2351593	-1.08821993	-0.49340318	-0.1789426	-1.039e-05	0.0	bc1008	Glycine
Glycine##bc1008##Metabolite	2.61965565	1.2351593	1.08821993	0.49340318	0.1789426	1.039e-05	0.0	Glycine	bc1008
bc1008##H+##Microbe	220.83782858	104.12433326	91.7372965	41.59404988	15.08491966	0.00087619	-3.4e-07	bc1008	H+
bc1008##H2O##Microbe	31.57726451	14.88857971	13.1173762	5.9474698	2.15696967	0.00012528	-5e-08	bc1008	H2O
bc1008##Heme##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	Heme
Heme##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	Heme	bc1008
bc1008##K+##Microbe	-0.01465979	-0.00691204	-0.00608976	-0.00276112	-0.00100138	-6e-08	0.0	bc1008	K+
K+##bc1008##Metabolite	0.01465979	0.00691204	0.00608976	0.00276112	0.00100138	6e-08	0.0	K+	bc1008
bc1008##L-Alanine##Microbe	-2.36625142	-1.11568001	-0.98295437	-0.44567536	-0.16163314	-9.39e-06	0.0	bc1008	L-Alanine
