	0.0000-0.0009	0.0009-0.0010	0.0010-0.0017	0.0017-0.0019	0.0019-0.0025	0.0029-0.0030	0.0030-0.0031	0.0031-0.0031	0.0031-0.0043	0.0043-0.0044	0.0045-0.0321	0.0321-0.4541	0.4541-0.9787	0.9787-5.1447	5.1447-6.3270	6.3270-6.5371	6.5371-7.3519	7.3519-7.9983	7.9983-10.2915	10.2915-17.3043	17.3043-19.8381	19.8381-20.0000	Source	Target
Acutalibacter_muris_KB1##Clostridium_innocuum_I46##PAN	-253.37814823415295	-253.37814823853589	-253.3781482397023	-253.37814822598116	-253.3781482394049	-253.3781482359666	-253.37814823584728	-253.37814823593635	-253.378148236063	-253.37814823431376	-253.37814823413095	-253.37814823574757	-253.37814823546051	-253.37814823714342	-253.37814823714928	-126.68907411774231	-126.68907411773517	-126.68907411773638	-126.6890741177391	-126.68907411772183	-126.68907411772621	0	Acutalibacter_muris_KB1	Clostridium_innocuum_I46
Clostridium_innocuum_I46##Acutalibacter_muris_KB1##PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-96.79614651611843	-96.79614651611202	-96.79614651611108	-96.79614651611271	-96.79614651609306	-96.79614651609336	0	Clostridium_innocuum_I46	Acutalibacter_muris_KB1
