	Avg_bc1003	Var_bc1003	Avg_bc1016	Var_bc1016	Avg_bc1012	Var_bc1012	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9780232774933038	0.00048032277292916375	0.0	0.0	3.9780232774933038	0.00048032277292916375	bc1003.bc1011.bc1012.bc1016	1		1	bc1003.bc1011.bc1012.bc1016	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9945058193733259	3.0020173308072734e-05	0.0	0.0	0.9945058193733259	3.0020173308072734e-05	bc1016	1		1	bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9780232774933038	0.00048032277292916375	0.0	0.0	3.9780232774933038	0.00048032277292916375	bc1003.bc1011.bc1012.bc1016	1		1	bc1003.bc1011.bc1012.bc1016	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9780232774933038	0.00048032277292916375	0.0	0.0	3.9780232774933038	0.00048032277292916375	bc1003.bc1011.bc1012.bc1016	1		1	bc1003.bc1011.bc1012.bc1016	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9780232774933038	0.00048032277292916375	0.0	0.0	3.9780232774933038	0.00048032277292916375	bc1003.bc1011.bc1012.bc1016	1		1	bc1003.bc1011.bc1012.bc1016	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9780232774933038	0.00048032277292916375	0.0	0.0	3.9780232774933038	0.00048032277292916375	bc1003.bc1011.bc1012.bc1016	1		1	bc1003.bc1011.bc1012.bc1016	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9945058193733259	3.0020173308072734e-05	0.0	0.0	0.9945058193733259	3.0020173308072734e-05	bc1011	1		1	bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9890116387466519	0.00012008069323229094	0.0	0.0	1.9890116387466519	0.00012008069323229094	bc1003.bc1012	1		1	bc1003.bc1012	1
