	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
186	N-Acetyl-D-glucosamine-e0	Uracil-e0	Clostridium_innocuum_I46	-5.6690902993866175	5.6690902993866175	-1.0	2.380985153121837	-2.380985153121837
193	L-Glutamine-e0	XAN-e0	Clostridium_innocuum_I46	-1.9999999999955886	1.9999999999955886	-1.0	1.4142135623715355	-1.4142135623715355
195	Spermidine-e0	XAN-e0	Clostridium_innocuum_I46	-2.9999999999955027	2.9999999999955027	-1.0	1.7320508075675791	-1.7320508075675791
196	Thiamin-e0	XAN-e0	Clostridium_innocuum_I46	0.9999999999961526	0.9999999999961526	1.0	0.9999999999980763	0.9999999999980763
199	N-Acetyl-D-glucosamine-e0	XAN-e0	Clostridium_innocuum_I46	16.139995132105643	16.139995132105643	1.0	4.017461279478079	4.017461279478079
205	Folate-e0	XAN-e0	Clostridium_innocuum_I46	-0.999999999993615	0.999999999993615	-1.0	0.9999999999968074	-0.9999999999968074
207	O2-e0	XAN-e0	Clostridium_innocuum_I46	1.9999999999959888	1.9999999999959888	1.0	1.414213562371677	1.414213562371677
216	Riboflavin	XAN-e0	Clostridium_innocuum_I46	-1.9999999999991083	1.9999999999991083	-1.0	1.4142135623727798	-1.4142135623727798
220	L-Aspartate-e0	L-Malate-e0	Clostridium_innocuum_I46	0.9999999999995698	0.9999999999995698	1.0	0.9999999999997848	0.9999999999997848
221	L-Glutamine-e0	L-Malate-e0	Clostridium_innocuum_I46	3.9999999999914566	3.9999999999914566	1.0	1.9999999999978642	1.9999999999978642
223	Spermidine-e0	L-Malate-e0	Clostridium_innocuum_I46	3.999999999991583	3.999999999991583	1.0	1.9999999999978957	1.9999999999978957
224	Thiamin-e0	L-Malate-e0	Clostridium_innocuum_I46	-5.999999999992116	5.999999999992116	-1.0	2.4494897427815685	-2.4494897427815685
227	N-Acetyl-D-glucosamine-e0	L-Malate-e0	Clostridium_innocuum_I46	-34.32637134608368	34.32637134608368	-1.0	5.858871166537432	-5.858871166537432
233	Folate-e0	L-Malate-e0	Clostridium_innocuum_I46	3.999999999987192	3.999999999987192	1.0	1.999999999996798	1.999999999996798
235	O2-e0	L-Malate-e0	Clostridium_innocuum_I46	-3.999999999992208	3.999999999992208	-1.0	1.999999999998052	-1.999999999998052
258	L-Aspartate-e0	L-Alanine-e0	Clostridium_innocuum_I46	0.9999999999990012	0.9999999999990012	1.0	0.9999999999995006	0.9999999999995006
259	L-Glutamine-e0	L-Alanine-e0	Clostridium_innocuum_I46	7.999999999977633	7.999999999977633	1.0	2.828427124742236	2.828427124742236
261	Spermidine-e0	L-Alanine-e0	Clostridium_innocuum_I46	7.999999999976917	7.999999999976917	1.0	2.8284271247421096	2.8284271247421096
262	Thiamin-e0	L-Alanine-e0	Clostridium_innocuum_I46	-7.999999999980908	7.999999999980908	-1.0	2.828427124742815	-2.828427124742815
265	N-Acetyl-D-glucosamine-e0	L-Alanine-e0	Clostridium_innocuum_I46	-87.1277803010562	87.1277803010562	-1.0	9.33422628293616	-9.33422628293616
271	Folate-e0	L-Alanine-e0	Clostridium_innocuum_I46	9.999999999967818	9.999999999967818	1.0	3.1622776601632907	3.1622776601632907
272	N-Acetyl-D-chondrosamine-e0	L-Alanine-e0	Clostridium_innocuum_I46	0.9999999999987951	0.9999999999987951	1.0	0.9999999999993975	0.9999999999993975
274	O2-e0	L-Alanine-e0	Clostridium_innocuum_I46	-5.999999999979573	5.999999999979573	-1.0	2.4494897427790083	-2.4494897427790083
285	Spermidine-e0	L-Methionine-e0	Clostridium_innocuum_I46	0.999999999998893	0.999999999998893	1.0	0.9999999999994464	0.9999999999994464
287	N-Acetyl-D-glucosamine-e0	L-Methionine-e0	Clostridium_innocuum_I46	-2.9291180811100346	2.9291180811100346	-1.0	1.711466646216056	-1.711466646216056
294	Thiamin-e0	L-Cysteine-e0	Clostridium_innocuum_I46	1.0000000000003477	1.0000000000003477	1.0	1.0000000000001739	1.0000000000001739
296	N-Acetyl-D-glucosamine-e0	L-Cysteine-e0	Clostridium_innocuum_I46	-1.8610138426986862	1.8610138426986862	-1.0	1.364189811829236	-1.364189811829236
301	N-Acetyl-D-glucosamine-e0	N-Acetyl-D-glucosamine-e0	Clostridium_innocuum_I46	-0.9999999999999925	0.9999999999999925	-1.0	0.9999999999999962	-0.9999999999999962
305	N-Acetyl-D-glucosamine-e0	L-Asparagine-e0	Clostridium_innocuum_I46	-4.1456927219766335	4.1456927219766335	-1.0	2.0360974244806247	-2.0360974244806247
313	N-Acetyl-D-glucosamine-e0	Ca2+-e0	Clostridium_innocuum_I46	-0.13215376797559292	0.13215376797559292	-1.0	0.363529597110872	-0.363529597110872
327	N-Acetyl-D-glucosamine-e0	Cu2+-e0	Clostridium_innocuum_I46	-0.13215376797565706	0.13215376797565706	-1.0	0.3635295971109602	-0.3635295971109602
336	N-Acetyl-D-glucosamine-e0	Fe2+-e0	Clostridium_innocuum_I46	-0.2751601067684943	0.2751601067684943	-1.0	0.5245570576862867	-0.5245570576862867
346	N-Acetyl-D-glucosamine-e0	Fumarate-e0	Clostridium_innocuum_I46	6.524691285650118	6.524691285650118	1.0	2.55434752640476	2.55434752640476
357	Thiamin-e0	Glycine-e0	Clostridium_innocuum_I46	1.0000000000032534	1.0000000000032534	1.0	1.0000000000016267	1.0000000000016267
359	N-Acetyl-D-glucosamine-e0	Glycine-e0	Clostridium_innocuum_I46	-14.741424774042306	14.741424774042306	-1.0	3.8394563122976546	-3.8394563122976546
363	Folate-e0	Glycine-e0	Clostridium_innocuum_I46	-1.0000000000058882	1.0000000000058882	-1.0	1.000000000002944	-1.000000000002944
374	N-Acetyl-D-glucosamine-e0	K+-e0	Clostridium_innocuum_I46	-0.13215376797569567	0.13215376797569567	-1.0	0.36352959711101335	-0.36352959711101335
379	D-Mannose-e0	D-Mannose-e0	Clostridium_innocuum_I46	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
382	L-Glutamine-e0	Succinate-e0	Clostridium_innocuum_I46	-1.0000000000016913	1.0000000000016913	-1.0	1.0000000000008455	-1.0000000000008455
384	Spermidine-e0	Succinate-e0	Clostridium_innocuum_I46	-1.00000000000216	1.00000000000216	-1.0	1.00000000000108	-1.00000000000108
385	Thiamin-e0	Succinate-e0	Clostridium_innocuum_I46	3.0000000000010547	3.0000000000010547	1.0	1.7320508075691818	1.7320508075691818
388	N-Acetyl-D-glucosamine-e0	Succinate-e0	Clostridium_innocuum_I46	-3.5194212035852286	3.5194212035852286	-1.0	1.876012047825181	-1.876012047825181
395	Folate-e0	Succinate-e0	Clostridium_innocuum_I46	-1.0000000000018896	1.0000000000018896	-1.0	1.0000000000009448	-1.0000000000009448
397	O2-e0	Succinate-e0	Clostridium_innocuum_I46	2.00000000000158	2.00000000000158	1.0	1.4142135623736536	1.4142135623736536
408	N-Acetyl-D-glucosamine-e0	Sucrose-e0	Clostridium_innocuum_I46	-0.9999999999921294	0.9999999999921294	-1.0	0.9999999999960647	-0.9999999999960647
417	N-Acetyl-D-glucosamine-e0	Cl--e0	Clostridium_innocuum_I46	-0.13215376797567654	0.13215376797567654	-1.0	0.36352959711098703	-0.36352959711098703
426	N-Acetyl-D-glucosamine-e0	Mg-e0	Clostridium_innocuum_I46	-0.1321537679755829	0.1321537679755829	-1.0	0.3635295971108582	-0.3635295971108582
434	Folate-e0	Folate-e0	Clostridium_innocuum_I46	-0.9999999999999997	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
437	L-Glutamine-e0	H2O-e0	Clostridium_innocuum_I46	-12.999999999932024	12.999999999932024	-1.0	3.605551275454563	-3.605551275454563
439	Spermidine-e0	H2O-e0	Clostridium_innocuum_I46	-12.499999999929098	12.499999999929098	-1.0	3.5355339059227107	-3.5355339059227107
440	Thiamin-e0	H2O-e0	Clostridium_innocuum_I46	15.499999999943622	15.499999999943622	1.0	3.9370039369987455	3.9370039369987455
443	N-Acetyl-D-glucosamine-e0	H2O-e0	Clostridium_innocuum_I46	266.36160828627783	266.36160828627783	1.0	16.320588478553027	16.320588478553027
450	Folate-e0	H2O-e0	Clostridium_innocuum_I46	-19.499999999902393	19.499999999902393	-1.0	4.415880433152871	-4.415880433152871
451	N-Acetyl-D-chondrosamine-e0	H2O-e0	Clostridium_innocuum_I46	-0.9999999999967081	0.9999999999967081	-1.0	0.999999999998354	-0.999999999998354
453	O2-e0	H2O-e0	Clostridium_innocuum_I46	13.999999999938039	13.999999999938039	1.0	3.7416573867656613	3.7416573867656613
463	Riboflavin	H2O-e0	Clostridium_innocuum_I46	-1.4999999999865516	1.4999999999865516	-1.0	1.2247448713860989	-1.2247448713860989
465	N-Acetyl-D-chondrosamine-e0	N-Acetyl-D-chondrosamine-e0	Clostridium_innocuum_I46	-0.9999999999999997	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
470	L-Glutamine-e0	CO2-e0	Clostridium_innocuum_I46	-0.9999999999822846	0.9999999999822846	-1.0	0.9999999999911423	-0.9999999999911423
472	Spermidine-e0	CO2-e0	Clostridium_innocuum_I46	-3.49999999998106	3.49999999998106	-1.0	1.8708286933819087	-1.8708286933819087
473	Thiamin-e0	CO2-e0	Clostridium_innocuum_I46	-0.5000000000138068	0.5000000000138068	-1.0	0.7071067811963104	-0.7071067811963104
476	N-Acetyl-D-glucosamine-e0	CO2-e0	Clostridium_innocuum_I46	67.06837081926963	67.06837081926963	1.0	8.18952811945045	8.18952811945045
483	Folate-e0	CO2-e0	Clostridium_innocuum_I46	-0.4999999999750381	0.4999999999750381	-1.0	0.7071067811688968	-0.7071067811688968
485	O2-e0	CO2-e0	Clostridium_innocuum_I46	1.999999999983837	1.999999999983837	1.0	1.4142135623673806	1.4142135623673806
494	Riboflavin	CO2-e0	Clostridium_innocuum_I46	-0.4999999999963281	0.4999999999963281	-1.0	0.7071067811839511	-0.7071067811839511
496	O2-e0	O2-e0	Clostridium_innocuum_I46	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
509	Spermidine-e0	Acetate-e0	Clostridium_innocuum_I46	-0.4999999999973743	0.4999999999973743	-1.0	0.7071067811846908	-0.7071067811846908
