	0.0000-0.0012	0.0727-0.0746	0.0750-0.0754	0.0754-0.0773	0.0858-0.0901	0.0901-0.0901	0.0901-0.1013	0.1013-0.1018	0.1018-0.2074	0.2074-20.0000	Source	Target
PAN##Phosphate-e0##Bacteroides_caecimuris_I48	-127.457754958994	-127.45775495832397	-127.45775495769176	-127.45775495772224	-127.45775495739103	-127.457754957367	-127.45775495761148	-127.45775495823092	-127.45775495858537	-127.45775495777427	PAN	Phosphate-e0
PAN##Mn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603169239	-0.9241112603106484	-0.9241112603050073	-0.9241112603051534	-0.9241112603046878	-0.9241112603038568	-0.9241112603057615	-0.9241112603096294	-0.9241112603126774	-0.9241112603044491	PAN	Mn2+-e0
PAN##Zn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603160194	-0.9241112603099716	-0.9241112603030444	-0.9241112603034322	-0.924111260304411	-0.9241112603035463	-0.9241112603047356	-0.9241112603087338	-0.9241112603116449	-0.9241112603036186	PAN	Zn2+-e0
PAN##Sulfate-e0##Bacteroides_caecimuris_I48	-0.9241112602928861	-0.9241112596823061	-0.9241112591886266	-0.9241112591731311	-0.9241112600593773	-0.9241112598165202	-0.9241112598300851	-0.9241112595698632	-0.9241112596486375	-0.9241112589127397	PAN	Sulfate-e0
PAN##Co2+-e0##Bacteroides_caecimuris_I48	-0.9241112603165806	-0.9241112603082581	-0.9241112603020118	-0.9241112603021727	-0.9241112603026517	-0.9241112603020418	-0.9241112603037622	-0.9241112603082862	-0.9241112603114054	-0.9241112603029722	PAN	Co2+-e0
Spermidine-e0##Spermidine-e0##Bacteroides_caecimuris_I48	-1.0000000000000022	-0.9999999999999996	-1.0000000000000009	-1.0000000000000007	-1.0000000000000004	-0.9999999999999998	-1.0000000000000007	-0.9999999999999994	-1.000000000000001	-1.0000000000000013	Spermidine-e0	Spermidine-e0
PAN##fe3-e0##Bacteroides_caecimuris_I48	-0.9241112603157624	-0.9241112600716321	-0.9241112598703604	-0.9241112598623927	-0.9241112602148137	-0.9241112601225003	-0.9241112601300211	-0.9241112600220561	-0.9241112600512671	-0.9241112597729367	PAN	fe3-e0
Spermidine-e0##H+-e0##Bacteroides_caecimuris_I48	4.000000000007177	4.833333333338277	5.666666666658698	5.666666666658763	5.666666666657356	5.666666666656805	5.666666666658839	5.999999999983778	5.999999999984894	5.6666666666605945	Spermidine-e0	H+-e0
O2-e0##H+-e0##Bacteroides_caecimuris_I48	2.0000000000224594	1.0000000000027893	0.0	0.0	0.0	0.0	0.0	-1.0000000000052	-1.0000000000105607	0.0	O2-e0	H+-e0
Folate##H+-e0##Bacteroides_caecimuris_I48	-3.9999999999889977	-2.8333333333285786	-1.6666666666866454	-1.6666666666863104	-1.6666666666889718	-1.6666666666886962	-1.6666666666870087	2.499999999978156	2.4999999999944813	-1.6666666666813692	Folate	H+-e0
Riboflavin##H+-e0##Bacteroides_caecimuris_I48	-4.999999999997711	-2.833333333325574	-0.6666666666875773	-0.6666666666868853	-0.6666666666907735	-0.6666666666915804	-0.6666666666875298	2.4999999999697025	2.4999999999855125	-0.6666666666810892	Riboflavin	H+-e0
PAN##H+-e0##Bacteroides_caecimuris_I48	1241.4349110991093	191.153732401537	-782.0779943374946	-782.0779943377223	-782.0779943359282	-782.0779943356614	-782.0779943369596	-2106.793504221725	-2106.793504227594	-721.7491575494859	PAN	H+-e0
PAN##Uracil-e0##Bacteroides_caecimuris_I48	-39.64223087747924	-39.642230877065	-39.64223087668586	-39.64223087669359	-39.64223087691048	-39.64223087681637	-39.64223087688516	-39.642230877001666	-39.642230877134395	-39.64223087661594	PAN	Uracil-e0
Folate##L-Aspartate-e0##Bacteroides_caecimuris_I48	1.999999999990071	0.8333333333315464	-0.3333333333065584	-0.3333333333069495	0.9999999999913065	0.9999999999911232	0.9999999999917845	0.9999999999954731	4.16666666666242	0.0	Folate	L-Aspartate-e0
Riboflavin##L-Aspartate-e0##Bacteroides_caecimuris_I48	0.9999999999978576	-1.1666666666703671	-3.3333333333002675	-3.3333333333010255	0.0	0.0	0.0	0.0	3.1666666666563557	0.0	Riboflavin	L-Aspartate-e0
PAN##L-Aspartate-e0##Bacteroides_caecimuris_I48	-1074.151328039443	-23.87014934386727	949.3615773913386	949.3615773915698	-301.50904917209846	-301.50904917167577	-301.5090491721949	-301.50904917339034	-1385.0443466736792	0.0	PAN	L-Aspartate-e0
Spermidine-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	0.8333333333272207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
O2-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	-1.000000000019118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	D-Glucose-e0
Folate##D-Glucose-e0##Bacteroides_caecimuris_I48	1.1666666666571794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate	D-Glucose-e0
Riboflavin##D-Glucose-e0##Bacteroides_caecimuris_I48	2.1666666666647134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Bacteroides_caecimuris_I48	-1050.2811786936154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##L-Cysteine-e0##Bacteroides_caecimuris_I48	-13.01350596349274	-13.013505963690932	-13.013505963825116	-13.013505963830342	-13.01350596343631	-13.013505963536897	-13.013505963559819	-13.013505963716042	-13.013505963721833	-13.013505963951609	PAN	L-Cysteine-e0
Folate##L-Glutamate-e0##Bacteroides_caecimuris_I48	0.9999999999993892	0.9999999999982295	-1.333333333278316	-1.333333333279052	0.9999999999982587	0.9999999999979189	0.9999999999980818	0.9999999999977124	0.9999999999985932	0.9999999999936173	Folate	L-Glutamate-e0
PAN##L-Glutamate-e0##Bacteroides_caecimuris_I48	-67.04418554084123	-67.04418553951773	1879.419267932492	1879.419267932954	-67.04418553967923	-67.04418553925626	-67.0441855393887	-67.04418553927965	-67.04418553958728	-67.04418553793883	PAN	L-Glutamate-e0
PAN##L-Histidine-e0##Bacteroides_caecimuris_I48	-11.393282031193825	-11.393282031206173	-11.393282031210386	-11.393282031215533	-11.393282031070797	-11.393282031098142	-11.393282031116938	-11.393282031215655	-11.39328203123939	-11.393282031250097	PAN	L-Histidine-e0
Spermidine-e0##L-Arginine-e0##Bacteroides_caecimuris_I48	0.999999999999788	0.9999999999998928	0.9999999999998087	0.9999999999998163	0.9999999999995816	0.9999999999996271	0.9999999999997173	0.9999999999998206	0.999999999999837	0.9999999999997913	Spermidine-e0	L-Arginine-e0
