	0.0000-0.0000	0.0000-12.3347	12.3347-20.0000	Source	Target
O2-e0##H2O-e0##Akkermansia_muciniphilaYL44	2.5925925925937516	0.0	0.0	O2-e0	H2O-e0
Folate##H2O-e0##Akkermansia_muciniphilaYL44	4.3333333333382225	4.333333333338231	4.333333333338231	Folate	H2O-e0
Riboflavin##H2O-e0##Akkermansia_muciniphilaYL44	-2356.873604597686	-2356.2746435954764	-2356.2746435954764	Riboflavin	H2O-e0
Riboflavin##Phosphate-e0##Akkermansia_muciniphilaYL44	-127.457754959254	-127.45775495924616	-127.45775495924616	Riboflavin	Phosphate-e0
O2-e0##L-Glutamate-e0##Akkermansia_muciniphilaYL44	0.1481481481487858	0.0	0.0	O2-e0	L-Glutamate-e0
Folate##L-Glutamate-e0##Akkermansia_muciniphilaYL44	1.3333333333375974	1.333333333337686	1.333333333337686	Folate	L-Glutamate-e0
Riboflavin##L-Glutamate-e0##Akkermansia_muciniphilaYL44	-1819.4775094583138	-1819.4432831151844	-1819.4432831151844	Riboflavin	L-Glutamate-e0
Riboflavin##Mn2+-e0##Akkermansia_muciniphilaYL44	-0.9241112603184295	-0.9241112603183633	-0.9241112603183633	Riboflavin	Mn2+-e0
Riboflavin##Zn2+-e0##Akkermansia_muciniphilaYL44	-0.9241112603199275	-0.9241112603202792	-0.9241112603202792	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Akkermansia_muciniphilaYL44	-41.268999357466235	-41.268999357466406	-41.268999357466406	Riboflavin	L-Lysine-e0
Riboflavin##L-Aspartate-e0##Akkermansia_muciniphilaYL44	-333.91602467723874	-333.9160246772211	-333.9160246772211	Riboflavin	L-Aspartate-e0
Riboflavin##L-Arginine-e0##Akkermansia_muciniphilaYL44	-35.5723583418762	-35.57235834187336	-35.57235834187336	Riboflavin	L-Arginine-e0
Riboflavin##L-Histidine-e0##Akkermansia_muciniphilaYL44	-11.393282031208072	-11.39328203120752	-11.39328203120752	Riboflavin	L-Histidine-e0
Riboflavin##L-Proline-e0##Akkermansia_muciniphilaYL44	-26.584324739477978	-26.584324739478483	-26.584324739478483	Riboflavin	L-Proline-e0
Riboflavin##Co2+-e0##Akkermansia_muciniphilaYL44	-0.9241112603179403	-0.9241112603181328	-0.9241112603181328	Riboflavin	Co2+-e0
Riboflavin##L-Threonine-e0##Akkermansia_muciniphilaYL44	-74.9931301135713	-74.99313011356948	-74.99313011356948	Riboflavin	L-Threonine-e0
O2-e0##fe3-e0##Akkermansia_muciniphilaYL44	4.000000000000008	0.0	0.0	O2-e0	fe3-e0
Riboflavin##fe3-e0##Akkermansia_muciniphilaYL44	-0.9241112602830196	0.0	0.0	Riboflavin	fe3-e0
O2-e0##H+-e0##Akkermansia_muciniphilaYL44	-4.2962962962972	0.0	0.0	O2-e0	H+-e0
Folate##H+-e0##Akkermansia_muciniphilaYL44	-5.666666666667585	-5.666666666667529	-5.666666666667529	Folate	H+-e0
Riboflavin##H+-e0##Akkermansia_muciniphilaYL44	673.4002370010122	672.407673054774	672.407673054774	Riboflavin	H+-e0
Folate##L-Alanine-e0##Akkermansia_muciniphilaYL44	0.9999999999996013	0.9999999999996051	0.9999999999996051	Folate	L-Alanine-e0
Riboflavin##L-Alanine-e0##Akkermansia_muciniphilaYL44	163.69692364879378	163.69692364879018	163.69692364879018	Riboflavin	L-Alanine-e0
Riboflavin##L-Cysteine-e0##Akkermansia_muciniphilaYL44	-13.01350596348749	-13.01350596349711	-13.01350596349711	Riboflavin	L-Cysteine-e0
Folate##Inosine-e0##Akkermansia_muciniphilaYL44	1.000000000000147	1.0000000000001448	1.0000000000001448	Folate	Inosine-e0
Riboflavin##Inosine-e0##Akkermansia_muciniphilaYL44	-60.08478561400532	-60.084785614002016	-60.084785614002016	Riboflavin	Inosine-e0
Riboflavin##Neu5Ac-e0##Akkermansia_muciniphilaYL44	-6.992697026115231	-6.992697026115549	-6.992697026115549	Riboflavin	Neu5Ac-e0
Riboflavin##L-Asparagine-e0##Akkermansia_muciniphilaYL44	-28.989573168290903	-28.98957316828898	-28.98957316828898	Riboflavin	L-Asparagine-e0
Riboflavin##Ca2+-e0##Akkermansia_muciniphilaYL44	-0.924111260318052	-0.9241112603179049	-0.9241112603179049	Riboflavin	Ca2+-e0
Riboflavin##Cu2+-e0##Akkermansia_muciniphilaYL44	-0.9241112603195881	-0.9241112603198205	-0.9241112603198205	Riboflavin	Cu2+-e0
O2-e0##Fe2+-e0##Akkermansia_muciniphilaYL44	-4.000000000000015	0.0	0.0	O2-e0	Fe2+-e0
Riboflavin##Fe2+-e0##Akkermansia_muciniphilaYL44	-1.9241112603482684	-2.8482225206312224	-2.8482225206312224	Riboflavin	Fe2+-e0
Folate##Glycine-e0##Akkermansia_muciniphilaYL44	-0.9999999999998495	-0.9999999999998496	-0.9999999999998496	Folate	Glycine-e0
Riboflavin##Glycine-e0##Akkermansia_muciniphilaYL44	-69.54945194232495	-69.54945194232424	-69.54945194232424	Riboflavin	Glycine-e0
Riboflavin##L-Methionine-e0##Akkermansia_muciniphilaYL44	-19.98243529507667	-19.982435295073323	-19.982435295073323	Riboflavin	L-Methionine-e0
