	0.0000-0.0000	0.0000-7.5087	7.5087-7.5089	7.5089-7.5090	7.5090-10.1299	10.1299-10.8394	10.8394-12.3440	12.3440-12.6989	12.6989-13.4896	13.4896-15.8940	16.1627-16.1627	16.1627-16.1826	16.1826-16.3803	16.3803-16.3804	16.3804-16.4159	16.4159-16.4159	16.4185-16.4185	16.4185-16.6485	16.6485-20.0000	Source	Target
Putrescine-e0##H2O-e0##Enterococcus_faecalis_KB1	-0.812499999929842	-0.812499999929842	-0.812499999929842	-0.812499999929842	-0.812499999929842	-0.8124999999997724	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	-0.8125000000001027	Putrescine-e0	H2O-e0
Spermidine-e0##H2O-e0##Enterococcus_faecalis_KB1	0.2500000001024052	0.2500000001024052	0.2500000001024052	0.2500000001024052	0.2500000001024052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	H2O-e0
Thiamin-e0##H2O-e0##Enterococcus_faecalis_KB1	-3.1874999998261875	-3.1874999998261875	-3.1874999998261875	-3.1874999998261875	-3.1874999998261875	-3.1874999999877622	-3.1874999999890443	-3.1874999999890443	-3.1874999999890443	-3.1874999999890443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	H2O-e0
Riboflavin-e0##H2O-e0##Enterococcus_faecalis_KB1	-188.35278134027877	-188.35278134027877	-188.35278134027877	-188.35278134027877	-188.35278134027877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	H2O-e0
N-Acetyl-D-glucosamine-e0##H2O-e0##Enterococcus_faecalis_KB1	-0.6874999999724241	-0.6874999999724241	-0.6874999999724241	-0.6874999999724241	-0.6874999999724241	-0.6874999999997874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	H2O-e0
Folate-e0##H2O-e0##Enterococcus_faecalis_KB1	-4.562500000011975	-4.562500000011975	-4.562500000011975	-4.562500000011975	-4.562500000011975	-4.562500000000791	-4.562500000000961	-4.562500000000961	-4.562500000000961	-4.562500000000961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	H2O-e0
Riboflavin-e0##Phosphate-e0##Enterococcus_faecalis_KB1	-129.86418562632105	-129.86418562632105	-129.86418562632105	-129.86418562632105	-129.86418562632105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	Phosphate-e0
Thiamin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-1.9999999999846851	-1.9999999999846851	-1.9999999999846851	-1.9999999999846851	-1.9999999999846851	-1.999999999997695	-1.9999999999983422	-1.9999999999983422	-1.9999999999983422	-1.9999999999983422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	L-Glutamate-e0
Riboflavin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-16.852516679355986	-16.852516679355986	-16.852516679355986	-16.852516679355986	-16.852516679355986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	L-Glutamate-e0
N-Acetyl-D-glucosamine-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-0.9999999999975666	-0.9999999999975666	-0.9999999999975666	-0.9999999999975666	-0.9999999999975666	-0.9999999999998488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	L-Glutamate-e0
Riboflavin-e0##D-Glucose-e0##Enterococcus_faecalis_KB1	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	D-Glucose-e0
Riboflavin-e0##Mn2+-e0##Enterococcus_faecalis_KB1	-0.7060625360130597	-0.7060625360130597	-0.7060625360130597	-0.7060625360130597	-0.7060625360130597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	Mn2+-e0
Riboflavin-e0##Zn2+-e0##Enterococcus_faecalis_KB1	-0.7060625360102238	-0.7060625360102238	-0.7060625360102238	-0.7060625360102238	-0.7060625360102238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	Zn2+-e0
Riboflavin-e0##L-Lysine-e0##Enterococcus_faecalis_KB1	-36.35966193658258	-36.35966193658258	-36.35966193658258	-36.35966193658258	-36.35966193658258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin-e0	L-Lysine-e0
Putrescine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.0000000000109304	1.0000000000109304	1.0000000000109304	1.0000000000109304	1.0000000000109304	0.9999999999996086	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	0.9999999999996114	Putrescine-e0	L-Aspartate-e0
Spermidine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.0000000000158786	1.0000000000158786	1.0000000000158786	1.0000000000158786	1.0000000000158786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Aspartate-e0
Thiamin-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	1.00000000002707	1.00000000002707	1.00000000002707	1.00000000002707	1.00000000002707	0.9999999999999329	0.9999999999999098	0.9999999999999098	0.9999999999999098	0.9999999999999098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	L-Aspartate-e0
