	bc1002	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
2-Oxoglutarate	0.0	0.0	bc1010	1		0	bc1010	1
4-Hydroxybenzoate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
5-Aminolevulinate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
AMP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
ARSENOBETAINE	0.0	0.0		0		0		0
Acetate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Adenosine	0.0	0.0	bc1010	1		0	bc1010	1
Ala-Ala	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
BET	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
BIOT	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
CMP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
CO2	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Ca2+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Carnitine	0.0	0.0		0		0		0
Cbl	0.0	0.0		0		0		0
Chorismate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Cl-	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Co2+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
CoA	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Cu2+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
D-Arabinose	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
D-Glucose	0.27087086964738327	2.327193909958926	bc1002.bc1010	2	bc1002.bc1010	2	bc1002.bc1010bc1002.bc1010	4
Deoxycytidine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Deoxyguanosine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Enterobactin	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0		0		0		0
Folate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Fumarate	0.0	0.0	bc1010	1		0	bc1010	1
GTP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Glycerol	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Glycine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
H+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
H2O	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Heme	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
K+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Alanine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Arginine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Asparagine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Aspartate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Cysteine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Glutamate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Glutamine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Histidine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Inositol	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Leucine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Lysine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Malate	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Phenylalanine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Proline	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Serine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Threonine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Tryptophan	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
L-Tyrosine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
