	0.0000-0.2690	0.2690-0.2759	0.2787-0.3913	0.3914-0.3921	0.3940-1.1675	1.1675-2.0000	Source	Target
bc1003##Oxidized glutathione##Microbe	-0.00021463796547111584	-0.00021463796547111584	-0.00021463796547111584	-0.0003908913096243489	-0.0003908913096243489	-0.0003908913096243489	bc1003	Oxidized glutathione
bc1015##L-Aspartate##Microbe	-0.030777027205217453	-0.030777027205217453	-0.030777027205217453	-0.30887576313211057	-0.05026840923990932	-0.05026840923990932	bc1015	L-Aspartate
bc1003##CoA##Microbe	-0.0008585518618831928	-0.0008585518618831928	-0.0008585518618831928	-0.0015635652384950694	-0.0015635652384950694	-0.0015635652384950694	bc1003	CoA
bc1003##L-Glutamine##Microbe	-0.03265674983488622	-0.03265674983488622	-0.03265674983488622	-0.059473354040673304	-0.059473354040673304	-0.059473354040673304	bc1003	L-Glutamine
bc1015##CO2##Microbe	1.1067833153116753	1.1067833153116753	1.1067833153116753	2.0716687413110684	2.0116638274941367	2.0116638274941367	bc1015	CO2
bc1015##Deoxycytidine##Microbe	-0.0022404697575750814	-0.0022404697575750814	-0.0022404697575750814	-0.02248517381266782	-0.0036593804174918578	-0.0036593804174918578	bc1015	Deoxycytidine
bc1015##Pyridoxal##Microbe	-0.00043003978382489866	-0.00043003978382489866	-0.00043003978382489866	-0.004315844591546326	-0.0007023880408779383	-0.0007023880408779383	bc1015	Pyridoxal
bc1015##UMP##Microbe	-0.01434989625991365	-0.01434989625991365	-0.01434989625991365	-0.14401440167014218	-0.023437821103831268	-0.023437821103831268	bc1015	UMP
bc1012##Fumarate##Microbe	-0.9999999999999988	-0.9999999999999919	-1.7987682410884713	-1.7987682410884713	-0.0010188998017524801	-0.0010188998017524801	bc1012	Fumarate
bc1015##L-Lysine##Microbe	-0.04374295884378097	-0.04374295884378097	-0.04374295884378097	-0.4390008074671263	-0.07144578785539621	-0.07144578785539621	bc1015	L-Lysine
bc1008##TRHL##Microbe	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	bc1008	TRHL
bc1008##Cl-##Microbe	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	bc1008	Cl-
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.019058002322127163	-0.019058002322127163	-0.019058002322127163	-0.03470778093786329	-0.03470778093786329	-0.03470778093786329	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1003##Deoxycytidine##Microbe	-0.0031688731750682303	-0.0031688731750682303	-0.0031688731750682303	-0.005771043266819352	-0.005771043266819352	-0.005771043266819352	bc1003	Deoxycytidine
bc1012##L-Asparagine##Microbe	-0.03755367335820289	-0.1572330943938814	-0.03164029214401537	-0.03164029214401537	-0.03646023937682956	-0.03646023937682956	bc1012	L-Asparagine
bc1015##Mn2+##Microbe	-0.00043003978382575604	-0.00043003978382575604	-0.00043003978382575604	-0.0043158445914849575	-0.0007023880408804777	-0.0007023880408804777	bc1015	Mn2+
bc1012##ddca##Microbe	-0.004676771613351948	-0.019581127670970283	-0.003940344762703997	-0.003940344762703997	-0.004540600087427665	-0.004540600087427665	bc1012	ddca
bc1003##Mg##Microbe	-0.0004292759309417511	-0.0004292759309417511	-0.0004292759309417511	-0.000781782619247819	-0.000781782619247819	-0.000781782619247819	bc1003	Mg
bc1008##L-Valine##Microbe	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	bc1008	L-Valine
bc1012##L-Glutamate##Microbe	-0.04774332801006928	-0.19989605618821948	-0.04022543498627857	-0.04022543498627857	-0.04635320628397941	-0.04635320628397941	bc1012	L-Glutamate
bc1015##TRHL##Microbe	-0.009077168470639434	-0.009077168470639434	-0.009077168470639434	-0.09109773077688461	-0.014825825001844463	-0.014825825001844463	bc1015	TRHL
bc1008##S-Adenosyl-L-methionine##Microbe	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	bc1008	S-Adenosyl-L-methionine
bc1008##L-Methionine##Microbe	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	bc1008	L-Methionine
bc1012##Myristic acid##Microbe	-0.02338385806675118	-0.09790563835483546	-0.01970172381350971	-0.01970172381350971	-0.022703000437130656	-0.022703000437130656	bc1012	Myristic acid
