	0.2729	0.3336	0.3908	0.3917	0.39344999999999997	0.3941	0.8152	Source	Target
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	1.3193210999999998	0.56517182	0.2491432	0.0	0.0	0.0	0.14669673	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1012##Metabolite	-1.3193210999999998	-0.56517182	-0.2491432	0.0	0.0	0.0	-0.14669673	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012
bc1012##4-Hydroxybenzoate##Microbe	0.02971733	0.01273033	0.00561187	0.0	0.0	0.0	0.0033043	bc1012	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1012##Metabolite	-0.02971733	-0.01273033	-0.00561187	0.0	0.0	0.0	-0.0033043	4-Hydroxybenzoate	bc1012
bc1012##5-Aminolevulinate##Microbe	0.23773857	0.10184264000000001	0.044895019999999994	0.0	0.0	0.0	0.026434410000000002	bc1012	5-Aminolevulinate
5-Aminolevulinate##bc1012##Metabolite	-0.23773857	-0.10184264000000001	-0.044895019999999994	0.0	0.0	0.0	-0.026434410000000002	5-Aminolevulinate	bc1012
bc1012##AMP##Microbe	1.13704752	0.48708932	0.2147223	0.0	0.0	0.0	0.12642953	bc1012	AMP
AMP##bc1012##Metabolite	-1.13704752	-0.48708932	-0.2147223	0.0	0.0	0.0	-0.12642953	AMP	bc1012
bc1012##Acetate##Microbe	-73.04004524	-35.935754519999996	-16.84737423	0.0	0.0	0.0	-6.84738485	bc1012	Acetate
bc1012##Ala-Ala##Microbe	0.26486309	0.11346225999999998	0.05001727	0.0	0.0	0.0	0.02945041	bc1012	Ala-Ala
Ala-Ala##bc1012##Metabolite	-0.26486309	-0.11346225999999998	-0.05001727	0.0	0.0	0.0	-0.02945041	Ala-Ala	bc1012
bc1012##BET##Microbe	0.059434640000000004	0.025460660000000003	0.01122376	0.0	0.0	0.0	0.0066086	bc1012	BET
