	Avg_bc1012	Var_bc1012	Avg_bc1010	Var_bc1010	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.9994052826015369	3.534784391611666e-07	0.0	0.0	0.9994052826015369	3.534784391611666e-07	bc1010	1		1	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
AMP	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Acetate	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Adenosine	0.0	0.0	0.0	0.0	0.9994052826015369	3.534784391611666e-07	0.0	0.0	0.9994052826015369	3.534784391611666e-07	bc1010	1		1	bc1010	1
Ala-Ala	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
BET	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
BIOT	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
CMP	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
CO2	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Ca2+	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Cl-	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Co2+	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
CoA	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
Cu2+	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
D-Arabinose	0.0	0.0	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	0.0	0.0	1.9988105652030739	1.4139137566446665e-06	bc1010.bc1012	1		1	bc1010.bc1012	1
