	0.0000-0.0000	0.0000-0.0020	0.0084-0.0085	0.0085-0.0251	0.0252-0.0332	0.0332-0.0333	0.0465-0.0466	0.0490-0.0491	0.0491-0.0747	0.0749-0.0753	0.0753-0.0754	0.0755-0.0790	0.0790-0.0806	0.0809-0.0810	0.0810-0.0813	0.0813-0.0818	0.0818-0.0843	0.0867-0.1090	0.1090-0.1098	0.1134-0.1135	0.1135-0.1226	0.1226-0.1235	0.1235-0.1238	0.1238-0.1243	0.1514-0.1515	0.1515-0.1515	0.1516-0.1571	0.1571-0.1574	0.1580-0.1895	0.1916-0.2233	0.2233-0.2234	0.2234-0.2267	0.2496-0.2496	0.2496-0.2535	0.2611-0.4877	0.4877-0.4877	0.4877-0.4924	0.4942-0.5557	0.5557-0.5575	0.5575-0.5699	0.5699-0.5955	0.6228-0.6687	0.6688-0.7125	0.7125-0.8888	0.8888-1.1439	1.1439-3.4316	3.4316-20.0000	Source	Target
Riboflavin##Phosphate-e0##Flavonifractor_plautii_YL31	-127.45775495902069	-127.45775495902069	-127.45775495963382	-127.4577549596522	-127.45775495998306	-127.4577549591193	-127.45775495819275	-127.45775495891858	-127.45775495951165	-127.4577549593288	-127.45775495910021	-127.45775495926883	-127.4577549591058	319.9448706551757	-125.45775495861467	-125.45775495861467	-125.4577549595078	-125.45775495953497	-125.45775495807284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	Phosphate-e0
Riboflavin##L-Glutamate-e0##Flavonifractor_plautii_YL31	-68.22864673321136	-68.22864673321136	-244.80497259627347	-151.51005207099018	-174.16126354846878	-402.6645860184274	-2064.5341744098823	-713.5363579053527	-245.03388921689952	-245.03388921659962	-245.03388921617287	-225.4997892318225	-225.49978923153975	-1.798476425531528	-595.6686439055782	-595.6686439055782	286.4143167834513	286.4143167835081	-1098.8889979794585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Glutamate-e0
Riboflavin##D-Glucose-e0##Flavonifractor_plautii_YL31	-8.74087128262952	-8.74087128262952	-8.740871282643006	-8.740871282645172	-8.740871282665962	-8.740871282611861	-8.740871282531938	-8.740871282605045	-8.740871282633213	-8.740871282628266	-8.74087128261763	-8.7408712826275	-8.740871282617883	-8.740871282681564	-8.740871282582843	-8.740871282582843	-8.74087128264415	-8.74087128264626	-8.740871282548381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
Riboflavin##Mn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603171568	-0.9241112603171568	-0.9241112603207625	-0.9241112603209	-0.9241112603233199	-0.9241112603168833	-0.9241112603089805	-0.9241112603162798	-0.9241112603203684	-0.9241112603185035	-0.9241112603173568	-0.9241112603186827	-0.9241112603175098	-0.9241112603249221	-0.9241112603132439	-0.9241112603132439	-0.9241112603206554	-0.9241112603208409	-0.9241112603087624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	Mn2+-e0
Riboflavin##Zn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603186566	-0.9241112603186566	-0.924111260320938	-0.9241112603210652	-0.9241112603234255	-0.9241112603172731	-0.9241112603121714	-0.9241112603171443	-0.9241112603212727	-0.9241112603196533	-0.9241112603180477	-0.9241112603194829	-0.9241112603183618	-0.9241112603250214	-0.9241112603143748	-0.9241112603143748	-0.9241112603212224	-0.9241112603215127	-0.9241112603102799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Flavonifractor_plautii_YL31	-41.26899935742503	-41.26899935742503	-41.2689993576596	-41.268999357666225	-41.268999357766646	-41.26899935750179	-41.26899935720507	-41.268999357437345	-41.26899935762242	-41.26899935755886	-41.26899935749693	-41.26899935754448	-41.26899935749229	-41.268999357802144	-41.26899935732765	-41.26899935732765	-41.26899935761375	-41.26899935762329	-41.268999357152566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Lysine-e0
Riboflavin##L-Aspartate-e0##Flavonifractor_plautii_YL31	-57.82883678995313	-57.82883678995313	-57.82883679005994	-57.82883679006783	-57.828836790214645	-57.828836789834924	-1925.5505361763164	-86.81840995803442	-86.81840995840247	-86.81840995826464	-86.81840995814332	-86.81840995826826	-86.81840995816349	136.8829028487848	-85.81840995781677	-85.81840995781677	-85.81840995844139	-85.81840995845856	-85.81840995744072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Aspartate-e0
Riboflavin##Sulfate-e0##Flavonifractor_plautii_YL31	-0.9241112603196637	-0.9241112603196637	-0.9241112603205579	-0.924111260320704	-0.9241112603231029	-0.924111260316675	-0.9241112603066842	-0.924111260314766	-0.9241112603194698	-0.924111260318684	-0.9241112603172021	-0.9241112603189835	-0.9241112603178622	-0.9241112603255776	-0.9241112603132604	-0.9241112603132604	-0.9241112603213133	-0.924111260321513	-0.9241112603084218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	Sulfate-e0
Putrescine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999856	0.9999999999999856	0.9999999999999735	0.9999999999999737	0.9999999999997602	1.0000000000000193	1.0000000000001352	0.2500000000003821	0.49999999999805467	0.0	0.0	0.0	0.0	5.200000000000485	0.6666666666842319	0.6666666666842319	0.0	0.0	0.33333333333618126	-0.9999999999681476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Putrescine-e0	L-Arginine-e0
Spermidine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999944	0.9999999999999944	1.0000000000003082	1.0000000000002571	1.000000000000045	1.0000000000000508	0.9999999999998644	1.4999999999972105	1.000000000002735	2.0000000000031126	1.9999999999942613	1.0000000000007778	0.9999999999796073	14.000000000002064	2.6666666666973122	2.6666666666973122	0.9999999999512151	0.9999999999524766	1.333333333308943	0.0	0.9999999998871468	0.9999999998871468	0.9999999998871468	0.9999999998871468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Arginine-e0
