	IntegralDiff	MaxDiff	MaxTime
1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	1.3840918136707092e-05	1.908257678210447e-05	1.2813345263175488
4-Hydroxybenzoate_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
5-Aminolevulinate_e0	2.4245907005551604e-06	3.3421248723970104e-06	1.2309112840101515
AMP_e0	1.1791730821875426e-05	1.631688499075044e-05	1.2996283245937081
Acetate_e0	6.399170412979343e-05	9.193389823979118e-05	0.2968514661450734
Adenine_e0	0.0	0.0	0.0
Adenosine_e0	5.599850178968068e-08	4.1748861766984146e-07	0.29700519554235205
Ala-Ala_e0	2.6699240108384247e-06	3.7294374747763883e-06	1.2585825755203086
Arsenate_e0	1.4922143116019438e-07	2.0852828421953e-07	1.1337543049300447
Arsenite_e0	1.4927890172247393e-07	2.0860912650912887e-07	1.1337543049300447
BET_e0	6.033760869366924e-07	8.318342856970202e-07	1.2788748559610903
BIOT_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
CMP_e0	9.239021082079309e-06	1.2736332349341974e-05	1.3938644451255207
CO2_e0	1.2313453512544862e-05	0.00010410591726001415	0.2968514661450734
Ca2+_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
Cbl_e0	0.0	0.0	0.0
Chorismate_e0	6.033760869366924e-07	8.318342856970202e-07	1.2788748559610903
Cl-_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
Co2+_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
CoA_e0	6.033760869366924e-07	8.318342856970202e-07	1.2788748559610903
Cu2+_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
Cytosine_e0	0.0	0.0	0.0
D-Alanine_e0	9.20214399577941e-08	6.861458083225501e-07	0.29700519554235205
D-Arabinose_e0	8.221702086184994e-06	1.1333398830651488e-05	1.1940162286632756
D-Glucose_e0	0.09861868319904811	290.3697266524578	1.5349880318273215
D-Serine_e0	0.0	0.0	0.0
Deoxycytidine_e0	1.5854469966417783e-06	2.168773051720811e-06	1.1654225607694466
Deoxyguanosine_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
Enterobactin_e0	0.0	0.0	0.0
Fe-enterochlin_e0	0.0	0.0	0.0
Folate_e0	9.057730963004738e-07	1.2484642580256125e-06	1.153892855973548
Formate_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
GTP_e0	1.5089329826278488e-05	2.080466723234471e-05	1.3500515669011055
Glycerol_e0	6.801588975991973e-06	9.375334225841524e-06	1.1844850060319991
Glycine_e0	6.230133387136805e-05	8.601278035800317e-05	1.2899433725651532
H+_e0	9.888758160365902e-05	0.000128067859332673	1.360812624710611
H2O_e0	0.0001497374016467342	0.00019133628505119384	1.3020879949501665
Heme_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
K+_e0	3.0153151127901223e-07	4.1587396989128907e-07	1.273801785850895
L-Alanine_e0	5.5430239535404644e-05	7.651246708958378e-05	1.2967074660454139
L-Arginine_e0	2.8380037223940123e-05	3.9144226475307695e-05	1.2455155767516233
L-Asparagine_e0	2.279982171224488e-05	3.144257057634653e-05	1.2555079875747357
