	0.0000-0.2694	0.2694-0.2764	0.2764-0.3908	0.3908-0.3908	0.3908-0.3926	0.3933-0.3936	0.3936-0.3946	0.3946-1.2358	1.2358-2.0000	Source	Target
Fumarate##L-Proline##bc1012	-0.0062677769684706805	0.14433370527564707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	L-Proline
O2##L-Proline##bc1012	-0.028204996358131198	0.28866741055126727	-0.008011366870831987	-0.008011366870831987	-0.008011366870831987	0.2886674105458877	0.0	0.0	0.0	O2	L-Proline
Fumarate##ddca##bc1012	-0.0008503221115188308	0.019581127671021884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	ddca
O2##ddca##bc1012	-0.003826449501833117	0.03916225534204011	-0.001086867389828124	-0.001086867389828124	-0.001086867389828124	0.039162255341199076	0.0	0.0	0.0	O2	ddca
Fumarate##Fumarate##bc1012	-0.9999999999999988	-0.9999999999999718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	Fumarate
Fumarate##Mg##bc1012	-9.540512423652745e-05	0.0021969791127833655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	Mg
O2##Mg##bc1012	-0.0004293230590644204	0.0043939582255654395	-0.00012194522164097421	-0.00012194522164097421	-0.00012194522164097421	0.004393958225463493	0.0	0.0	0.0	O2	Mg
Fumarate##L-Glutamate##bc1012	-0.008680605092736644	0.1998960561890245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	L-Glutamate
O2##L-Glutamate##bc1012	-0.039062722917332635	0.399792112378018	-0.011095403108396741	-0.011095403108396741	-0.011095403108396741	0.39979211237083984	0.0	0.0	0.0	O2	L-Glutamate
Fumarate##CoA##bc1012	-0.00019081024847205676	0.004393958225582805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	CoA
O2##CoA##bc1012	-0.0008586461181240802	0.008787916451168547	-0.0002438904432785464	-0.0002438904432785464	-0.0002438904432785464	0.008787916450873031	0.0	0.0	0.0	O2	CoA
O2##O2##bc1012	-0.999999999999991	-1.0000000000000475	-0.9999999999999959	-0.9999999999999959	-0.9999999999999959	-0.999999999999887	0.0	0.0	0.0	O2	O2
Fumarate##Spermidine##bc1012	-9.540512423628146e-05	0.002196979112789095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	Spermidine
O2##Spermidine##bc1012	-0.0004293230590618204	0.004393958225580172	-0.00012194522163855695	-0.00012194522163855695	-0.00012194522163855695	0.004393958225239277	0.0	0.0	0.0	O2	Spermidine
Fumarate##L-Leucine##bc1012	-0.012762647305363105	0.29389689262646407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	L-Leucine
O2##L-Leucine##bc1012	-0.05743191287416118	0.5877937852528723	-0.016313000657273345	-0.016313000657273345	-0.016313000657273345	0.5877937852419555	0.0	0.0	0.0	O2	L-Leucine
Fumarate##TRHL##bc1012	-0.0020137866733023774	0.04637326657518094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	TRHL
O2##TRHL##bc1012	-0.009062040029862242	0.09274653315035954	-0.002573988181223828	-0.002573988181223828	-0.002573988181223828	0.09274653314705032	0.0	0.0	0.0	O2	TRHL
Fumarate##dATP##bc1012	-0.00040527426892556195	0.009332613011125812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	dATP
O2##dATP##bc1012	-0.0018237342101642998	0.018665226022249445	-0.0005180147391969409	-0.0005180147391969409	-0.0005180147391969409	0.01866522602217436	0.0	0.0	0.0	O2	dATP
Fumarate##Formate##bc1012	-9.540512423574562e-05	0.0021969791127730374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	Formate
O2##Formate##bc1012	-0.00042932305906156007	0.00439395822554552	-0.00012194522164028491	-0.00012194522164028491	-0.00012194522164028491	0.00439395822526502	0.0	0.0	0.0	O2	Formate
Fumarate##L-Valine##bc1012	-0.011975390294830017	0.27576802143243573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	L-Valine
O2##L-Valine##bc1012	-0.05388925632676275	0.5515360428648192	-0.015306742016492677	-0.015306742016492677	-0.015306742016492677	0.5515360428547122	0.0	0.0	0.0	O2	L-Valine
Fumarate##BIOT##bc1012	-9.540512423669488e-05	0.0021969791128056628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	BIOT
O2##BIOT##bc1012	-0.0004293230590664564	0.0043939582256112605	-0.00012194522164159681	-0.00012194522164159681	-0.00012194522164159681	0.004393958225354438	0.0	0.0	0.0	O2	BIOT
Fumarate##H2O##bc1012	-0.27391904430705194	-5.7061683419021785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fumarate	H2O
O2##H2O##bc1012	2.0173643006169804	-9.412336683804027	2.3167257982208045	2.3167257982208045	2.3167257982208045	-9.412336683671855	0.0	0.0	0.0	O2	H2O
