	bc1010	bc1015	bc1002	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
2-Oxoglutarate	0.0	0.0	0.0	0.0	bc1010	1		0	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
5-Aminolevulinate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
AMP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
ARSENOBETAINE	0.0	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Adenine	0.0	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Ala-Ala	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1015	3		0	bc1002.bc1010.bc1015	3
Arsenate	0.0	0.0	0.0	0.0	bc1015	1		0	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	bc1015	1		0	bc1015	1
BET	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
BIOT	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
CMP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
CO2	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Ca2+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Carnitine	0.0	0.0	0.0	0.0		0		0		0
Cbl	0.0	0.0	0.0	0.0		0		0		0
