	NumberEdges	SumWeight	SumAbsWeight	PositiveSumWeight	NegativeSumWeight
1,2-Diacyl-sn-glycerol dioctadecanoyl	12.0	-0.42237618377046776	0.8930048113427953	0.23531431378616374	0.6576904975566314
2-Oxoglutarate	3.5714285714285716	-0.004717739179126366	0.012181140900849667	0.0037317008608616516	0.008449440039988019
4-Hydroxybenzoate	12.0	-0.0095139000631787	0.020114672316972445	0.005300386126896873	0.014814286190075573
5-Aminolevulinate	12.0	-0.07611120050444005	0.1609173785333657	0.042403089014462825	0.11851428951890289
AMP	12.0	-0.3102078583680526	0.6351604622392634	0.16247630193560533	0.47268416030365795
Acetate	12.0	11.945171268170428	17.73834554386251	14.841758406016467	2.896587137846041
Adenosine	3.9285714285714284	-0.05304625820795577	0.1337015944845527	0.04032766813829849	0.09337392634625423
Ala-Ala	9.0	-0.07558372760419414	0.1700657705623925	0.04724102147909919	0.12282474908329334
Arsenate	1.2142857142857142	0.0006897164621002886	0.0016145403031292411	0.0011521283826147648	0.0004624119205144762
Arsenite	1.2142857142857142	-0.0006897164621081974	0.0016145403031576598	0.0004624119205247316	0.001152128382632929
BET	12.0	-0.019027800126249602	0.04022934463367871	0.010600772253714552	0.029628572379964156
BIOT	12.0	-0.009513900063165754	0.02011467231701841	0.0053003861269263295	0.014814286190092082
CMP	12.0	-0.27820060954845166	0.595917183900703	0.15885828717612574	0.4370588967245774
CO2	12.0	13.745332065125698	13.840568338249016	13.792950201687358	0.04761813656165885
Ca2+	12.0	-0.009513900063146395	0.020114672316949134	0.005300386126901367	0.014814286190047762
Chitobiose	2.0	-0.005908987354665218	0.005908987354665218	0.0	0.005908987354665218
Chorismate	12.0	-0.01902780012624874	0.040229344633755784	0.010600772253753521	0.029628572380002265
Citrate	2.0	-0.014369410711350084	0.014369410711350084	0.0	0.014369410711350084
Cl-	12.0	-0.009513900063116377	0.020114672316843003	0.0053003861268633165	0.014814286189979693
Co2+	12.0	-0.009513900063135728	0.02011467231693164	0.005300386126897954	0.014814286190033681
CoA	12.0	-0.019027800126241206	0.040229344633637844	0.010600772253698312	0.029628572379939527
Cu2+	12.0	-0.009513900063115305	0.020114672316835818	0.00530038612686026	0.014814286189975564
Cytidine	2.0	-0.006941233368740932	0.006941233368740932	0.0	0.006941233368740932
D-Alanine	3.0	-0.018422588412153534	0.018422588412153534	0.0	0.018422588412153534
