	bc1001	bc1002	bc1003	bc1008	bc1009	bc1010	bc1011	bc1012	bc1015	bc1016
0.0000-0.2268	0.15236136794858188	0.15290050085943374	0.1529763304674182	0	0.15319477863951841	0.15252946972194578	0.15278557913560092	0.1529931249968991	0.15324853629746107	0
0.2323-0.4202	0.15236136794858188	0.15290050085943374	0.1529763304674182	0	0.15319477863951841	0.15252946972194578	0.15278557913560092	0.04345627411189658	0.15324853629746107	0
0.4202-0.4202	0.15236136794858188	0.15290050085943374	0.1529763304674182	0	0.15319477863951841	0.15252946972194578	0.0	0.04345627411189658	0.15324853629746107	0
0.4202-0.4203	0.15236136794858188	0.15290050085943374	0.1529763304674182	0	0.15319477863951841	-1.163596954979373	0.0	0.04345627411189658	0.15324853629746107	0
0.4203-0.4217	0.15236136794858188	0.0	0.1529763304674182	0	0.15319477863951841	-1.163596954979373	0.0	0.04345627411189658	0.15324853629746107	0
0.4217-0.4217	0.15236136794858188	0.0	0.1529763304674182	0	0.15319477863951841	-1.163596954979373	0.0	0.04345627411189658	-1.537989952122115	0
0.4217-0.4218	0.15236136794858188	0.0	0.0	0	0.15319477863951841	-1.163596954979373	0.0	0.04345627411189658	-1.537989952122115	0
0.4218-0.4222	-1.5647074916564268	0.0	0.0	0	0.0	-1.163596954979373	0.0	0.04345627411189658	-1.537989952122115	0
0.4222-0.4229	-1.5647074916564268	0.0	0.0	0	0.0	-1.163596954979373	0.0	0.04345627411189658	0.0	0
0.4229-0.4234	-1.5647074916564268	0.0	0.0	0	0.0	-1.163596954979373	0.0	-1.5658264466344471	0.0	0
0.4234-0.4235	-1.5647074916564268	0.0	0.0	0	0.0	-1.163596954979373	0.0	-1.5658264466362295	0.0	0
0.4235-0.4236	-1.5647074916564268	0.0	0.0	0	0.0	0.0	0.0	-1.5658264466362295	0.0	0
0.4242-1.1763	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0
1.1763-2.5000	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0
Average	0.046370037601366244	0.04852310345174498	0.04871124575953416	0	0.04878351294563448	0.04551496825712901	0.04847526788668525	0.03208613011043906	0.04821257231241512	0
