	NumberEdges	SumWeight	SumAbsWeight	PositiveSumWeight	NegativeSumWeight
1,2-Diacyl-sn-glycerol dioctadecanoyl	1.4285714285714286	0.0417935540472313	0.3882487786285554	0.04399102442359548	0.17103014191429794
2-Oxoglutarate	0.24489795918367352	8.054802455054055e-06	8.651613049358479e-05	1.0444193486216692e-05	3.6841272988102726e-05
4-Hydroxybenzoate	1.4285714285714286	2.1204480197045016e-05	0.00019698285359085664	2.231939416252508e-05	8.677427273142575e-05
5-Aminolevulinate	1.4285714285714286	0.001357086732546636	0.012606902629241773	0.001428441226338336	0.0055535534545558705
AMP	1.4285714285714286	0.021554956556486652	0.19634338327402007	0.022067196132026956	0.08688197378322642
Acetate	1.4285714285714286	3.64320848440526	20.625559715633443	5.8015594251937035	6.332824674825646
Adenosine	0.6377551020408162	0.0010224914366155908	0.010456786193594322	0.0012351784684411198	0.004504460346663837
Ala-Ala	1.4285714285714286	0.0016429990274246322	0.015527084660680365	0.0017729886037076699	0.00681205324034483
Arsenate	0.16836734693877545	5.915109956821962e-07	6.4432713480797e-06	2.733366963023366e-06	7.840242088575828e-07
Arsenite	0.16836734693877545	5.91510995707106e-07	6.443271348361588e-06	7.840242088923593e-07	2.7333669631419874e-06
BET	1.4285714285714286	8.481792078653233e-05	0.0007879314143484439	8.927757664842807e-05	0.00034709709091906014
BIOT	1.4285714285714286	2.12044801970643e-05	0.00019698285359192748	2.2319394162695007e-05	8.677427273180091e-05
CMP	1.4285714285714286	0.019047253628329496	0.17694290724999803	0.02004874241179156	0.07794633802737223
CO2	1.4285714285714286	6.2085215194104055	6.5446616702860805	6.374025606217972	0.002565988630267155
Ca2+	1.4285714285714286	2.120448019677449e-05	0.00019698285358917523	2.2319394162382154e-05	8.677427273059271e-05
Chitobiose	0.0	0.0	0.0	0.0	0.0
Chorismate	1.4285714285714286	8.481792078695968e-05	0.00078793141435375	8.927757664910101e-05	0.00034709709092125386
Citrate	0.0	2.7083389842945504e-35	2.7083389842945504e-35	0.0	2.7083389842945504e-35
Cl-	1.4285714285714286	2.1204480196551934e-05	0.00019698285358670905	2.2319394162082687e-05	8.677427272954781e-05
Co2+	1.4285714285714286	2.1204480196774358e-05	0.00019698285358917206	2.2319394162381083e-05	8.677427273059216e-05
CoA	1.4285714285714286	8.481792078635101e-05	0.0007879314143471049	8.927757664829845e-05	0.00034709709091842956
Cu2+	1.4285714285714286	2.1204480196596762e-05	0.0001969828535870724	2.2319394162119564e-05	8.6774272729715e-05
Cytidine	0.0	0.0	0.0	0.0	0.0
D-Alanine	0.0	4.220685315117031e-06	4.220685315117031e-06	0.0	4.220685315117031e-06
D-Arabinose	1.4285714285714286	0.01515980734815055	0.14082977199095983	0.015956897433412557	0.06203789223614261
D-Glucose	0.06632653061224489	1.5504305722456841	1.5504305722456841	0.0	1.5504305722456841
Deoxycytidine	1.4285714285714286	0.0011498590314388284	0.010737399345444052	0.0012184444228238427	0.0047251847656175966
Deoxyguanosine	1.4285714285714286	2.1204480196644782e-05	0.0001969828535878523	2.23193941622259e-05	8.677427273002265e-05
Folate	1.4285714285714286	0.00019084032177053194	0.001772845682296895	0.0002008745474607067	0.0007809684545730069
Formate	0.673469387755102	1.3803232504142028e-05	0.0001262448248552964	1.4193620676349514e-05	5.583040800336967e-05
Fumarate	1.4540816326530612	0.6961850386665974	8.089302565078263	1.0360917824261473	3.356652019446283
GTP	1.4285714285714286	0.04937238613001072	0.45865370988286924	0.051968345205620756	0.20204470280081913
Glucose-1-phosphate	0.0	0.0	0.0	0.0	0.0
Glycerol	1.4285714285714286	0.010448388511805145	0.09706219465711018	0.01099775610589544	0.042757535478562224
Glycine	1.4285714285714286	0.6753974908780561	6.273566438453001	0.7107980625456946	2.7636839021198356
H+	1.4285714285714286	6.212329722970786	61.47076052589697	10.834781117542207	23.00676400689169
H2O	1.4285714285714286	144.05986975842293	1006.4352754495441	473.68751823982655	101.56005436415687
Heme	1.4285714285714286	2.120448019666257e-05	0.00019698285358778791	2.2319394162206073e-05	8.677427273001912e-05
K+	1.4285714285714286	2.1204480196649797e-05	0.000196982853587924	2.2319394162235218e-05	8.677427273005166e-05
L-Alanine	1.4285714285714286	0.5524512094987274	5.132095420680124	0.581498635469899	2.2607746796195274
L-Arginine	1.4285714285714286	0.16388158042624282	1.5224075791280518	0.17249833787670799	0.6706462419004392
L-Asparagine	1.4285714285714286	0.1086084705270414	1.0089380286534895	0.11431901374466914	0.4444542358455962
L-Aspartate	1.4285714285714286	0.10860847052707144	1.0089380286537895	0.11431901374470417	0.44445423584572613
L-Cysteine	1.4285714285714286	0.015613592296412146	0.14504528933422037	0.016434542017538745	0.06389489879777752
L-Glutamate	1.4285714285714286	0.14244114180672388	1.320174998052577	0.14937565010218118	0.5819324198274691
