	bc1001	bc1002	bc1003	bc1008	bc1009	bc1010	bc1011	bc1012	bc1015	bc1016
0.0000-0.2268	0.0	0.0	0.0	0.057453288118459005	0.0	0.0	0.0	0.0	0.0	0.05745328770557317
0.2323-0.4202	0.0	0.0	0.0	0.057453288118459005	0.0	0.0	0.0	0.13036882233570488	0.0	0.05745328770557317
0.4202-0.4202	0.0	0.0	0.0	0.057453288118459005	0.0	0.0	0.2701563170637666	0.13036882233570488	0.0	0.05745328770557317
0.4202-0.4203	0.0	0.0	0.0	0.057453288118459005	0.0	2.327193909958602	0.2701563170637666	0.13036882233570488	0.0	0.05745328770557317
0.4203-0.4217	0.0	0.2708708696473614	0.0	0.057453288118459005	0.0	2.327193909958602	0.2701563170637666	0.13036882233570488	0.0	0.05745328770557317
0.4217-0.4217	0.0	0.2708708696473614	0.0	0.057453288118459005	0.0	2.327193909958602	0.2701563170637666	0.13036882233570488	3.0759799042430687	0.05745328770557317
0.4217-0.4218	0.0	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.0	2.327193909958602	0.2701563170637666	0.13036882233570488	3.0759799042430687	0.05745328770557317
0.4218-0.4222	3.129414983312832	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	2.327193909958602	0.2701563170637666	0.13036882233570488	3.0759799042430687	0.05745328770557317
0.4222-0.4229	3.129414983312832	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	2.327193909958602	0.2701563170637666	0.13036882233570488	0.25030228184980635	0.05745328770557317
0.4229-0.4234	3.129414983312832	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	2.327193909958602	0.2701563170637666	3.1316528932689365	0.25030228184980635	0.05745328770557317
0.4234-0.4235	3.129414983312832	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	2.327193909958602	0.2701563170637666	3.131652893272296	0.25030228184980635	0.05745328770557317
0.4235-0.4236	3.129414983312832	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	0.13113491857070503	0.2701563170637666	3.131652893272296	0.25030228184980635	0.05745328770557317
0.4242-1.1763	0.13296422013010364	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	0.13113491857070503	0.2701563170637666	0.171471811439267	0.25030228184980635	0.05745328770557317
1.1763-2.5000	0.13296422013010364	0.2708708696473614	0.27859525236685867	0.057453288118459005	0.27912176357069735	0.13113491857070503	0.2701563170637666	0.171471811439267	0.25030228184980635	0.05745328770557317
Average	0.0941070239111878	0.1836272626156368	0.1885649201611492	0.057181260891836984	0.1889163506608943	0.09434165758835139	0.18316295289127887	0.136420385418119	0.170488915000733	0.05718126048090606
