	0.16755	0.33715	0.36685	0.39665	0.7971	Source	Target
bc1012##H+##Microbe	116.85877899	26.3785726	14.89204276	7.50290088	0.0004378	bc1012	H+
bc1012##H2O##Microbe	172.7010234	34.00059237	23.09886975	17.22582083	0.00113252	bc1012	H2O
bc1012##Heme##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Heme
Heme##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Heme	bc1012
bc1012##K+##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	K+
K+##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	K+	bc1012
bc1012##L-Alanine##Microbe	-8.16413987	-1.75751905	-1.05909009	-0.62932846	-3.89e-05	bc1012	L-Alanine
L-Alanine##bc1012##Metabolite	8.16413987	1.75751905	1.05909009	0.62932846	3.89e-05	L-Alanine	bc1012
bc1012##L-Arginine##Microbe	-4.44660492	-0.95723407	-0.57683421	-0.34276422	-2.119e-05	bc1012	L-Arginine
L-Arginine##bc1012##Metabolite	4.44660492	0.95723407	0.57683421	0.34276422	2.119e-05	L-Arginine	bc1012
bc1012##L-Asparagine##Microbe	-3.61988956	-0.77926456	-0.46958886	-0.2790373	-1.725e-05	bc1012	L-Asparagine
L-Asparagine##bc1012##Metabolite	3.61988956	0.77926456	0.46958886	0.2790373	1.725e-05	L-Asparagine	bc1012
bc1012##L-Aspartate##Microbe	-3.61988956	-0.77926456	-0.46958886	-0.2790373	-1.725e-05	bc1012	L-Aspartate
L-Aspartate##bc1012##Metabolite	3.61988956	0.77926456	0.46958886	0.2790373	1.725e-05	L-Aspartate	bc1012
bc1012##L-Cysteine##Microbe	-1.37250802	-0.29546395	-0.17804811	-0.10579906	-6.54e-06	bc1012	L-Cysteine
L-Cysteine##bc1012##Metabolite	1.37250802	0.29546395	0.17804811	0.10579906	6.54e-06	L-Cysteine	bc1012
bc1012##L-Glutamate##Microbe	-4.60209506	-0.99070691	-0.59700512	-0.3547501	-2.193e-05	bc1012	L-Glutamate
L-Glutamate##bc1012##Metabolite	4.60209506	0.99070691	0.59700512	0.3547501	2.193e-05	L-Glutamate	bc1012
bc1012##L-Glutamine##Microbe	-3.84781079	-0.82832985	-0.49915586	-0.29660649	-1.833e-05	bc1012	L-Glutamine
