	bc1001	bc1002	bc1003	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
5-Aminolevulinate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
AMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
ARSENOBETAINE	0.0	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Adenine	0.0	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	0.0	bc1001.bc1011	2		0	bc1001.bc1011	2
Ala-Ala	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Arsenate	0.0	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
BIOT	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
CMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
CO2	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Ca2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Cbl	0.0	0.0	0.0	0.0		0		0		0
Chorismate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Cl-	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Co2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
CoA	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Cu2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
D-Alanine	0.0	0.0	0.0	0.0	bc1011	1		0	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
D-Glucose	0.0	0.0	0.0	0.2701563170637754	bc1001.bc1002.bc1003.bc1011	4	bc1011	1	bc1011bc1001.bc1002.bc1003.bc1011	5
D-Serine	0.0	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Deoxyguanosine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Enterobactin	0.0	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Formate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1011	3		0	bc1001.bc1003.bc1011	3
GTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Glycerol	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
