	0.1347	0.2729	0.3336	0.3908	0.3917	0.39344999999999997	0.3941	0.8152	Source	Target
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-2.28033844	-0.96101734	-0.39584552	-0.14670232	-0.14670232	-0.14670232	-0.14670232	-5.59e-06	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1012##Metabolite	2.28033844	0.96101734	0.39584552	0.14670232	0.14670232	0.14670232	0.14670232	5.59e-06	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012
bc1012##4-Hydroxybenzoate##Microbe	-0.05136396	-0.02164663	-0.0089163	-0.00330443	-0.00330443	-0.00330443	-0.00330443	-1.3e-07	bc1012	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1012##Metabolite	0.05136396	0.02164663	0.0089163	0.00330443	0.00330443	0.00330443	0.00330443	1.3e-07	4-Hydroxybenzoate	bc1012
bc1012##5-Aminolevulinate##Microbe	-0.41091165	-0.17317308	-0.07133044	-0.02643542	-0.02643542	-0.02643542	-0.02643542	-1.01e-06	bc1012	5-Aminolevulinate
5-Aminolevulinate##bc1012##Metabolite	0.41091165	0.17317308	0.07133044	0.02643542	0.02643542	0.02643542	0.02643542	1.01e-06	5-Aminolevulinate	bc1012
bc1012##AMP##Microbe	-1.96529349	-0.82824597	-0.34115665	-0.12643435	-0.12643435	-0.12643435	-0.12643435	-4.82e-06	bc1012	AMP
AMP##bc1012##Metabolite	1.96529349	0.82824597	0.34115665	0.12643435	0.12643435	0.12643435	0.12643435	4.82e-06	AMP	bc1012
bc1012##Acetate##Microbe	132.67081986	59.63077462	23.6950201	6.84764587	6.84764587	6.84764587	6.84764587	0.00026102	bc1012	Acetate
bc1012##Ala-Ala##Microbe	-0.45779415	-0.19293106	-0.0794688	-0.02945153	-0.02945153	-0.02945153	-0.02945153	-1.12e-06	bc1012	Ala-Ala
Ala-Ala##bc1012##Metabolite	0.45779415	0.19293106	0.0794688	0.02945153	0.02945153	0.02945153	0.02945153	1.12e-06	Ala-Ala	bc1012
bc1012##BET##Microbe	-0.10272791	-0.04329327	-0.01783261	-0.00660885	-0.00660885	-0.00660885	-0.00660885	-2.5e-07	bc1012	BET
BET##bc1012##Metabolite	0.10272791	0.04329327	0.01783261	0.00660885	0.00660885	0.00660885	0.00660885	2.5e-07	BET	bc1012
bc1012##BIOT##Microbe	-0.05136396	-0.02164663	-0.0089163	-0.00330443	-0.00330443	-0.00330443	-0.00330443	-1.3e-07	bc1012	BIOT
BIOT##bc1012##Metabolite	0.05136396	0.02164663	0.0089163	0.00330443	0.00330443	0.00330443	0.00330443	1.3e-07	BIOT	bc1012
bc1012##CMP##Microbe	-1.53943317	-0.64877298	-0.26723126	-0.09903724	-0.09903724	-0.09903724	-0.09903724	-3.78e-06	bc1012	CMP
CMP##bc1012##Metabolite	1.53943317	0.64877298	0.26723126	0.09903724	0.09903724	0.09903724	0.09903724	3.78e-06	CMP	bc1012
bc1012##CO2##Microbe	157.91283839	70.26867684	28.07679945	8.47155514	8.47155514	8.47155514	8.47155514	0.00032292	bc1012	CO2
