	0.0009	0.0010	0.0019	0.0029	0.0040	0.0050	0.0051	0.0053	0.0067	0.0071	0.0101	0.0105	0.0113	0.0128	0.0161	0.0180	0.0181	0.0502	0.0863	0.0870	0.0969	0.1022	0.1708	0.1715	0.1721	0.1732	0.1736	0.1769	0.1776	0.1807	0.1914	0.2019	0.2056	0.2118	0.2154	0.2183	0.2238	0.2831	0.2856	0.3797	0.4153	0.5310	0.5374	0.7178	0.7199	0.7209	0.7572	0.7577	0.8098	0.8100	0.8173	0.8480	0.8493	2.0160	2.1866	3.8648	6.0006	6.3403	Source	Target
Riboflavin##D-Glucose-e0##Clostridium_innocuum_I46	-6.277777777681118	2.3541666666485774	3.2083333331574644	0.9375000001964116	-1.8750000000101892	-6.023868165377759	5.022312867137779	-421.7573780613782	0.0	0.0	3.072386789426673e-11	-1.1709744285326451e-11	0.0	0.0	99.01663628411052	-1358.6036599129159	138.2560983217836	3054.4294007567687	-32.54378151505195	36.24999999587566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Clostridium_innocuum_I46	2485.2779294548986	-934.1702756345308	-1943.2403509887245	3166.5927705004624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16721.43512992331	-16721.43512992331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##Mn2+-e0##Clostridium_innocuum_I46	-1.4119594382577816e-11	5.496936239524075e-12	2.6667446029193798e-11	0.9241112602958473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112602178356	-2.9509839016839123e-11	5.307865258430411e-12	0.0	8.023071096374679e-11	-1.576739849795672e-10	8.000267115448878e-13	-8.730483003205336e-11	6.723865908497828e-11	-2.1995205656821781e-10	5.038092165676744e-11	-3.429190265080706e-11	-1.074194067030021e-10	3.2367108993014426e-11	5.836153782468045e-11	0.9241112603334131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Clostridium_innocuum_I46	-1.5144663301214223e-11	6.25710594448492e-12	2.8123392503687228e-11	0.9241112602935009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112602060583	-5.0986215249793077e-11	4.016897925396279e-12	0.0	6.757827630821112e-11	-1.3350798244715634e-10	1.1844969449725795e-12	-9.03385144468416e-11	6.653833040104473e-11	-2.378433006100522e-10	4.385369845039122e-11	-2.4290014444261487e-11	-9.56147383490702e-11	2.148903277543468e-11	5.194611407688399e-11	0.9241112603368157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Zn2+-e0
L-Aspartate-e0##L-Aspartate-e0##Clostridium_innocuum_I46	-1.9984014443252818e-15	1.4432899320127035e-15	1.7763568394002505e-15	-3.219646771412954e-15	-4.440892098500626e-16	1.5543122344752192e-15	1.2212453270876722e-15	-1.1102230246251565e-16	0.0	0.0	-2.4424906541753444e-15	1.1102230246251565e-15	0.0	0.0	1.1102230246251565e-15	-1.3322676295501878e-15	-1.5543122344752192e-15	6.661338147750939e-16	1.1102230246251565e-15	1.0000000000000002	0.0	0.0	0.0	-1.000000000000002	3.552713678800501e-15	-2.6645352591003757e-15	1.5543122344752192e-15	-1.7763568394002505e-15	-1.2212453270876722e-15	1.1102230246251565e-15	2.220446049250313e-16	-1.1102230246251565e-15	1.3322676295501878e-15	-1.3322676295501878e-15	-4.440892098500626e-16	4.440892098500626e-16	-1.5543122344752192e-15	0.0	0.0	0.0	1.1102230246251565e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.220446049250313e-16	2.220446049250313e-16	1.887379141862766e-15	-1.2212453270876722e-15	-6.661338147750939e-16	L-Aspartate-e0	L-Aspartate-e0
PAN##Sulfate-e0##Clostridium_innocuum_I46	-7.382316979942516e-12	-6.47382147889175e-12	2.8662183737537816e-11	0.9241112602930631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112602190149	-8.714362564887779e-12	7.562617199141641e-12	0.0	9.88721327033204e-11	-1.9313040056090358e-10	1.871391930308164e-12	-1.0073308853719709e-10	1.5059153923857593e-10	-2.390990738732057e-10	5.7881033299622686e-11	-3.621880573234648e-11	-1.2858980547036936e-10	2.9049984640039384e-11	7.020484193986931e-11	0.9241112603419492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Sulfate-e0
PAN##L-Arginine-e0##Clostridium_innocuum_I46	-6.346425607262063e-10	3.327826902932429e-10	1.043218844642979e-09	35.57235834097999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.5723583377043	-1.6216858966799919e-09	1.8338397467232426e-10	0.0	2.8501005999714835e-09	-5.621267007427377e-09	2.602007498353487e-11	-3.289613914603251e-09	2.4288340227940353e-09	-8.540503415588319e-09	1.8144632463190646e-09	-1.1552643286449893e-09	-4.1933176930797345e-09	1.3025172052039125e-09	2.1218724555183144e-09	35.572358342537854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Arginine-e0
Spermidine-e0##L-Glutamine-e0##Clostridium_innocuum_I46	-0.4999999999974074	0.4999999999973006	-1.5927259511272496e-12	-1.4999999999986489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Glutamine-e0
Thiamin-e0##L-Glutamine-e0##Clostridium_innocuum_I46	11.20000000008173	-11.200000000079475	-9.633849273882333e-12	1.0000000000102025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	L-Glutamine-e0
N-Acetyl-D-glucosamine-e0##L-Glutamine-e0##Clostridium_innocuum_I46	3.6000000000394463	-3.600000000038756	-6.482592240786289e-13	1.0000000000005933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	L-Glutamine-e0
