	0.0000	Source	Target
Putrescine-e0##H2O-e0##Enterococcus_faecalis_KB1	-4.9038550997693164e-12	Putrescine-e0	H2O-e0
Spermidine-e0##H2O-e0##Enterococcus_faecalis_KB1	-1.64380176137513e-11	Spermidine-e0	H2O-e0
Thiamin-e0##H2O-e0##Enterococcus_faecalis_KB1	-1.106492675262416e-11	Thiamin-e0	H2O-e0
Riboflavin-e0##H2O-e0##Enterococcus_faecalis_KB1	0.5295469033205507	Riboflavin-e0	H2O-e0
N-Acetyl-D-glucosamine-e0##H2O-e0##Enterococcus_faecalis_KB1	1.4529488723269424e-12	N-Acetyl-D-glucosamine-e0	H2O-e0
Folate-e0##H2O-e0##Enterococcus_faecalis_KB1	-1.943334382303874e-12	Folate-e0	H2O-e0
Riboflavin-e0##Phosphate-e0##Enterococcus_faecalis_KB1	9.217728802468628e-10	Riboflavin-e0	Phosphate-e0
Thiamin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	-9.172662629453043e-13	Thiamin-e0	L-Glutamate-e0
Riboflavin-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	1.134594640461728e-10	Riboflavin-e0	L-Glutamate-e0
N-Acetyl-D-glucosamine-e0##L-Glutamate-e0##Enterococcus_faecalis_KB1	1.4133139103478243e-13	N-Acetyl-D-glucosamine-e0	L-Glutamate-e0
Riboflavin-e0##D-Glucose-e0##Enterococcus_faecalis_KB1	2.4941471110651037e-10	Riboflavin-e0	D-Glucose-e0
Riboflavin-e0##Mn2+-e0##Enterococcus_faecalis_KB1	5.082934073641354e-12	Riboflavin-e0	Mn2+-e0
Riboflavin-e0##Zn2+-e0##Enterococcus_faecalis_KB1	5.125677660089423e-12	Riboflavin-e0	Zn2+-e0
Riboflavin-e0##L-Lysine-e0##Enterococcus_faecalis_KB1	2.589857217571989e-10	Riboflavin-e0	L-Lysine-e0
Putrescine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	-7.409628466348295e-13	Putrescine-e0	L-Aspartate-e0
Spermidine-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	-2.5346391652192324e-12	Spermidine-e0	L-Aspartate-e0
Thiamin-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	-1.6646684031229597e-12	Thiamin-e0	L-Aspartate-e0
Riboflavin-e0##L-Aspartate-e0##Enterococcus_faecalis_KB1	2.034994395216927e-10	Riboflavin-e0	L-Aspartate-e0
