	bc1011	bc1009	bc1003	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
4-Hydroxybenzoate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
5-Aminolevulinate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
AMP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Acetate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Adenine	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	bc1011	1		0	bc1011	1
Ala-Ala	0.0	0.0	0.0	bc1003.bc1009	2		0	bc1003.bc1009	2
Arsenate	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
BIOT	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
CMP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
CO2	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Ca2+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Cbl	0.0	0.0	0.0		0		0		0
Chorismate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Cl-	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Co2+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
CoA	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Cu2+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Cytosine	0.0	0.0	0.0		0		0		0
D-Alanine	0.0	0.0	0.0	bc1011	1		0	bc1011	1
D-Arabinose	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
D-Glucose	0.2701563170637754	0.0	0.2785952523668638	bc1003.bc1009.bc1011	3	bc1003.bc1011	2	bc1003.bc1011bc1003.bc1009.bc1011	5
D-Serine	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Deoxyguanosine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Enterobactin	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Formate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
GTP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Glycerol	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Glycine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
H+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
H2O	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Heme	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
K+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Alanine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Arginine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Asparagine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Aspartate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Cysteine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Glutamate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Glutamine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Histidine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Isoleucine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Leucine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Lysine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Methionine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Phenylalanine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Proline	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Serine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Threonine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Tryptophan	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Tyrosine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
L-Valine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Mn2+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Myristic acid	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1003.bc1009	2		0	bc1003.bc1009	2
NADP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
NH3	0.0	0.0	0.0	bc1009	1		0	bc1009	1
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1003.bc1011	2		0	bc1003.bc1011	2
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1003.bc1011	2		0	bc1003.bc1011	2
O2	0.0	0.15319477863953596	0.0	bc1003.bc1009.bc1011	3	bc1009	1	bc1009bc1003.bc1009.bc1011	4
Oxidized glutathione	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1003.bc1009	2		0	bc1003.bc1009	2
Putrescine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Pyridoxal	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
