	0.0000-0.3467	0.3492-0.3503	0.3503-0.4328	0.4328-0.4328	0.4333-0.4333	0.4333-0.4345	0.4345-0.4354	0.4354-1.2104	1.2104-2.0000	Source	Target
bc1001##bc1003##O2	-0.15297633046741727	-0.15297633046741727	-0.15297633046741727	0.0	0.0	0.0	0.0	0.0	0.0	bc1001	bc1003
bc1009##bc1003##O2	-0.15297633046741788	-0.15297633046741788	-0.15297633046741788	0.0	0.0	0.0	0.0	0.0	0.0	bc1009	bc1003
bc1012##bc1003##O2	-0.15297633046741593	-0.15297633046741216	-0.15297633046741757	0.0	0.0	0.0	0.0	0.0	0.0	bc1012	bc1003
bc1001##bc1009##O2	-0.1531947786395359	-0.1531947786395359	-0.1531947786395359	0.0	0.0	0.0	0.0	0.0	0.0	bc1001	bc1009
bc1003##bc1009##O2	-0.15319477863953673	-0.15319477863953673	-0.15319477863953673	0.0	0.0	0.0	0.0	0.0	0.0	bc1003	bc1009
bc1012##bc1009##O2	-0.15319477863953457	-0.1531947786395308	-0.1531947786395362	0.0	0.0	0.0	0.0	0.0	0.0	bc1012	bc1009
bc1003##bc1001##O2	-0.15236136794857968	-0.15236136794857968	-0.15236136794857968	-0.27747530369501183	0.0	0.0	0.0	0.0	0.0	bc1003	bc1001
bc1009##bc1001##O2	-0.15236136794857946	-0.15236136794857946	-0.15236136794857946	-0.1523613679485772	0.0	0.0	0.0	0.0	0.0	bc1009	bc1001
bc1012##bc1001##O2	-0.15236136794857755	-0.15236136794857377	-0.15236136794857916	-0.15236136794857916	0.0	0.0	0.0	0.0	0.0	bc1012	bc1001
bc1001##bc1012##O2	-0.15299312499693193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1001	bc1012
bc1003##bc1012##O2	-0.15299312499693277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1003	bc1012
bc1009##bc1012##O2	-0.15299312499693254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1009	bc1012
bc1001##bc1012##D-Glucose.O2	0.0	-0.1524703247426178	-0.09870311430482312	-0.09870311430482312	-0.15754700500357727	-0.15754700500357727	0.0	0.0	0.0	bc1001	bc1012
bc1003##bc1012##O2.D-Glucose	0.0	-0.15376053067404705	-0.098756830941156	-0.1798525572873726	0.0	-0.1798525572873726	0.0	0.0	0.0	bc1003	bc1012
bc1009##bc1012##D-Glucose.O2	0.0	-0.15296776569397497	-0.0987238248394986	-0.15754700500360094	-0.15754700500350452	-0.1803692500516874	0.0	0.0	0.0	bc1009	bc1012
bc1001##bc1003##D-Glucose	0.0	0.0	0.0	-0.1528615523424695	-0.2785952523668837	-0.2785952523668837	-0.2785952523668837	-0.27859525236686344	-0.27859525236686344	bc1001	bc1003
bc1009##bc1003##D-Glucose	0.0	0.0	0.0	-0.27859525236693394	-0.2785952523667487	-0.27859525236686383	-0.27859525236686383	-0.27859525236686383	-0.27859525236686383	bc1009	bc1003
bc1012##bc1003##D-Glucose	0.0	0.0	0.0	-0.2785952523668621	-0.2785952523668621	-0.2785952523668621	-0.278595252366864	-0.278595252366864	-0.278595252366864	bc1012	bc1003
bc1001##bc1009##D-Glucose.O2	0.0	0.0	0.0	-0.15269659945725755	-1.568150223021509	0.0	0.0	0.0	0.0	bc1001	bc1009
bc1003##bc1009##O2.D-Glucose	0.0	0.0	0.0	-0.2804389817348354	0.0	0.0	0.0	0.0	0.0	bc1003	bc1009
bc1012##bc1009##O2.D-Glucose	0.0	0.0	0.0	-1.5681502229730058	0.0	0.0	0.0	0.0	0.0	bc1012	bc1009
bc1003##bc1009##D-Glucose.O2	0.0	0.0	0.0	0.0	-0.2804389817359305	0.0	0.0	0.0	0.0	bc1003	bc1009
bc1012##bc1009##D-Glucose.O2	0.0	0.0	0.0	0.0	-1.5681502230212376	0.0	0.0	0.0	0.0	bc1012	bc1009
bc1003##bc1001##D-Glucose.O2	0.0	0.0	0.0	0.0	-0.2798233034337261	0.0	0.0	0.0	0.0	bc1003	bc1001
bc1009##bc1001##D-Glucose.O2	0.0	0.0	0.0	0.0	-1.5647074916527313	-0.25005984568163475	-0.25005984568163475	0.0	0.0	bc1009	bc1001
bc1012##bc1001##D-Glucose.O2	0.0	0.0	0.0	0.0	-1.5647074916534234	0.0	0.0	0.0	0.0	bc1012	bc1001
bc1003##bc1012##D-Glucose.O2	0.0	0.0	0.0	0.0	-0.1798525572873726	0.0	0.0	0.0	0.0	bc1003	bc1012
bc1001##bc1009##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.2506100372456443	-0.2506100372456443	-0.2506100372456261	-0.2506100372456261	bc1001	bc1009
bc1003##bc1009##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.25061003724562686	-0.25061003724562686	-0.25061003724562686	-0.25061003724562686	bc1003	bc1009
bc1012##bc1009##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.25061003724562486	-0.2506100372456266	-0.2506100372456266	-0.2506100372456266	bc1012	bc1009
bc1003##bc1001##O2.D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.2798233034337261	-0.2798233034337261	0.0	0.0	bc1003	bc1001
bc1012##bc1001##O2.D-Glucose	0.0	0.0	0.0	0.0	0.0	-1.5647074916534234	-0.18143090151004282	0.0	0.0	bc1012	bc1001
bc1001##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	-0.1815606465343061	-0.1815606465342929	-0.1815606465342929	bc1001	bc1012
bc1003##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	-0.18156064653429346	-0.18156064653429346	-0.18156064653429346	bc1003	bc1012
bc1009##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	-0.18156064653429313	-0.18156064653429313	-0.18156064653429313	bc1009	bc1012
bc1003##bc1001##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13296422013011486	-0.13296422013011486	bc1003	bc1001
bc1009##bc1001##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1329642201301146	-0.1329642201301146	bc1009	bc1001
bc1012##bc1001##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1329642201301147	-0.1329642201301147	bc1012	bc1001
