	Type	Name
1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	Metabolite	1,2-Diacyl-sn-glycerol dioctadecanoyl
2-Oxoglutarate_e0	Metabolite	2-Oxoglutarate
4-Hydroxybenzoate_e0	Metabolite	4-Hydroxybenzoate
5-Aminolevulinate_e0	Metabolite	5-Aminolevulinate
AMP_e0	Metabolite	AMP
ARSENOBETAINE_e0	Metabolite	ARSENOBETAINE
Acetate_e0	Metabolite	Acetate
Adenine_e0	Metabolite	Adenine
Adenosine_e0	Metabolite	Adenosine
Ala-Ala_e0	Metabolite	Ala-Ala
Arsenate_e0	Metabolite	Arsenate
Arsenite_e0	Metabolite	Arsenite
BET_e0	Metabolite	BET
BIOT_e0	Metabolite	BIOT
CMP_e0	Metabolite	CMP
CO2_e0	Metabolite	CO2
Ca2+_e0	Metabolite	Ca2+
Cbl_e0	Metabolite	Cbl
Chitobiose_e0	Metabolite	Chitobiose
Chorismate_e0	Metabolite	Chorismate
Citrate_e0	Metabolite	Citrate
Cl-_e0	Metabolite	Cl-
Co2+_e0	Metabolite	Co2+
CoA_e0	Metabolite	CoA
Cu2+_e0	Metabolite	Cu2+
Cytidine_e0	Metabolite	Cytidine
Cytosine_e0	Metabolite	Cytosine
D-Alanine_e0	Metabolite	D-Alanine
D-Arabinose_e0	Metabolite	D-Arabinose
D-Galacturonate_e0	Metabolite	D-Galacturonate
D-Glucose_e0	Metabolite	D-Glucose
D-Serine_e0	Metabolite	D-Serine
Deoxyadenosine_e0	Metabolite	Deoxyadenosine
Deoxycytidine_e0	Metabolite	Deoxycytidine
Deoxyguanosine_e0	Metabolite	Deoxyguanosine
Deoxyinosine_e0	Metabolite	Deoxyinosine
Deoxyuridine_e0	Metabolite	Deoxyuridine
Enterobactin_e0	Metabolite	Enterobactin
Fe-enterochlin_e0	Metabolite	Fe-enterochlin
Folate_e0	Metabolite	Folate
Formate_e0	Metabolite	Formate
Fumarate_e0	Metabolite	Fumarate
GTP_e0	Metabolite	GTP
Galactose_e0	Metabolite	Galactose
Glucose-1-phosphate_e0	Metabolite	Glucose-1-phosphate
Glucuronate_e0	Metabolite	Glucuronate
Glycerol_e0	Metabolite	Glycerol
Glycine_e0	Metabolite	Glycine
H+_e0	Metabolite	H+
H2O_e0	Metabolite	H2O
HYXN_e0	Metabolite	HYXN
Heme_e0	Metabolite	Heme
Inosine_e0	Metabolite	Inosine
K+_e0	Metabolite	K+
L-Alanine_e0	Metabolite	L-Alanine
L-Arabinose_e0	Metabolite	L-Arabinose
L-Arginine_e0	Metabolite	L-Arginine
L-Ascorbate_e0	Metabolite	L-Ascorbate
L-Asparagine_e0	Metabolite	L-Asparagine
L-Aspartate_e0	Metabolite	L-Aspartate
L-Cysteine_e0	Metabolite	L-Cysteine
L-Glutamate_e0	Metabolite	L-Glutamate
L-Glutamine_e0	Metabolite	L-Glutamine
L-Histidine_e0	Metabolite	L-Histidine
L-Inositol_e0	Metabolite	L-Inositol
L-Isoleucine_e0	Metabolite	L-Isoleucine
L-Lactate_e0	Metabolite	L-Lactate
L-Leucine_e0	Metabolite	L-Leucine
L-Lysine_e0	Metabolite	L-Lysine
L-Malate_e0	Metabolite	L-Malate
L-Methionine_e0	Metabolite	L-Methionine
L-Phenylalanine_e0	Metabolite	L-Phenylalanine
L-Proline_e0	Metabolite	L-Proline
L-Serine_e0	Metabolite	L-Serine
L-Threonine_e0	Metabolite	L-Threonine
L-Tryptophan_e0	Metabolite	L-Tryptophan
L-Tyrosine_e0	Metabolite	L-Tyrosine
L-Valine_e0	Metabolite	L-Valine
Methanol_e0	Metabolite	Methanol
Mg_e0	Metabolite	Mg
Mn2+_e0	Metabolite	Mn2+
Myristic acid_e0	Metabolite	Myristic acid
N-Acetyl-D-glucosamine_e0	Metabolite	N-Acetyl-D-glucosamine
NADP_e0	Metabolite	NADP
NH3_e0	Metabolite	NH3
Na+_e0	Metabolite	Na+
Niacin_e0	Metabolite	Niacin
Nicotinamide ribonucleotide_e0	Metabolite	Nicotinamide ribonucleotide
O2_e0	Metabolite	O2
Oxidized glutathione_e0	Metabolite	Oxidized glutathione
PAN_e0	Metabolite	PAN
PPi_e0	Metabolite	PPi
Pimelate_e0	Metabolite	Pimelate
Putrescine_e0	Metabolite	Putrescine
Pyridoxal_e0	Metabolite	Pyridoxal
Riboflavin_e0	Metabolite	Riboflavin
S-Adenosyl-L-methionine_e0	Metabolite	S-Adenosyl-L-methionine
Spermidine_e0	Metabolite	Spermidine
Succinate_e0	Metabolite	Succinate
Sulfate_e0	Metabolite	Sulfate
TRHL_e0	Metabolite	TRHL
TTP_e0	Metabolite	TTP
Thiamin_e0	Metabolite	Thiamin
Thymidine_e0	Metabolite	Thymidine
UMP_e0	Metabolite	UMP
Uracil_e0	Metabolite	Uracil
Uridine_e0	Metabolite	Uridine
Xylose_e0	Metabolite	Xylose
Zn2+_e0	Metabolite	Zn2+
chromate_e0	Metabolite	chromate
dATP_e0	Metabolite	dATP
dGTP_e0	Metabolite	dGTP
ddca_e0	Metabolite	ddca
fe3_e0	Metabolite	fe3
hexadecenoate_e0	Metabolite	hexadecenoate
meso-2,6-Diaminopimelate_e0	Metabolite	meso-2,6-Diaminopimelate
bc1016	Microbe	bc1016
bc1015	Microbe	bc1015
