	Avg_bc1012	Var_bc1012	Avg_bc1002	Var_bc1002	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
AMP	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Ala-Ala	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
BET	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
BIOT	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
CMP	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
CO2	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Ca2+	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Cl-	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Co2+	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
CoA	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
Cu2+	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
D-Arabinose	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
D-Glucose	0.13815817406721778	0.04378559262408397	0.18879770033563173	0.015355597183445766	1.9921655143883912	6.113872770677241e-05	1.4389654055302121	0.7542380397467742	3.431130919918603	0.7543875009692464	bc1002.bc1012	1	.bc1012.bc1002.bc1012	3	bc1002.bc1012.bc1012bc1002.bc1012.bc1002.bc1012bc1002.bc1012	3
Deoxycytidine	0.0	0.0	0.0	0.0	1.9921655143883912	6.113872770677241e-05	0.0	0.0	1.9921655143883912	6.113872770677241e-05	bc1002.bc1012	1		1	bc1002.bc1012	1
